Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",ARI,Home,COL,W,16.0,1.0,9.0,1-0,1.0,Tied,Gallen,Freeland,None,2:37,N,49011.0,.98,1.0,
"Friday, Mar 29",ARI,Home,COL,W,7.0,3.0,9.0,2-0,1.0,Tied,Kelly,Quantrill,None,2:36,N,29480.0,1.00,2.0,
"Saturday, Mar 30",ARI,Home,COL,L,4.0,9.0,9.0,2-1,1.0,Tied,Lambert,Henry,None,3:17,N,32133.0,1.06,-1.0,
"Sunday, Mar 31",ARI,Home,COL,W,5.0,1.0,9.0,3-1,1.0,Tied,Pfaadt,Feltner,None,2:22,D,21824.0,1.00,1.0,
"Monday, Apr 1",ARI,Home,NYY,L,2.0,5.0,9.0,3-2,2.0,1.0,Weaver,Nelson,González,2:59,N,38608.0,.97,-1.0,
"Tuesday, Apr 2",ARI,Home,NYY,W,7.0,0.0,9.0,4-2,2.0,1.0,Gallen,Cortés,None,2:27,N,39863.0,.93,1.0,
"Wednesday, Apr 3",ARI,Home,NYY,L,5.0,6.0,11.0,4-3,2.0,2.0,Holmes,McGough,Ferguson,3:04,D,35038.0,.98,-1.0,
"Friday, Apr 5",ARI,@,ATL,L-wo,5.0,6.0,10.0,4-4,2.0,2.0,Johnson,McGough,None,3:10,N,41426.0,.98,-2.0,
"Saturday, Apr 6",ARI,@,ATL,L,8.0,9.0,9.0,4-5,2.0,3.0,Minter,Frías,Iglesias,2:49,N,41278.0,.95,-3.0,
"Sunday, Apr 7",ARI,@,ATL,L,2.0,5.0,9.0,4-6,2.0,3.0,Sale,Nelson,Johnson,2:30,D,40693.0,.93,-4.0,
"Monday, Apr 8",ARI,@,COL,L,5.0,7.0,9.0,4-7,3.0,4.0,Lambert,McGough,Bird,3:07,N,18870.0,.90,-5.0,
