Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Mar 29",ATL,@,PHI,W,9.0,3.0,9.0,1-0,1.0,up 1.0,Johnson,Alvarado,None,2:54,D,44452.0,1.02,1.0,
"Saturday, Mar 30",ATL,@,PHI,W,12.0,4.0,9.0,2-0,1.0,up 1.0,Chavez,Nola,None,2:58,D,44468.0,1.05,2.0,
"Sunday, Mar 31",ATL,@,PHI,L,4.0,5.0,9.0,2-1,1.0,up 1.0,Strahm,Bummer,Alvarado,2:39,D,42515.0,1.05,-1.0,
"Monday, Apr 1",ATL,@,CHW,W,9.0,0.0,8.0,3-1,1.0,up 2.0,Morton,Flexen,None,2:29,D,13781.0,.93,1.0,
"Tuesday, Apr 2",ATL,@,CHW,L,2.0,3.0,9.0,3-2,1.0,up 1.0,Crochet,Minter,Kopech,2:21,N,12300.0,1.05,-1.0,
"Friday, Apr 5",ATL,Home,ARI,W-wo,6.0,5.0,10.0,4-2,1.0,up 1.5,Johnson,McGough,None,3:10,N,41426.0,1.06,1.0,
"Saturday, Apr 6",ATL,Home,ARI,W,9.0,8.0,9.0,5-2,1.0,up 1.5,Minter,Frías,Iglesias,2:49,N,41278.0,1.05,2.0,
"Sunday, Apr 7",ATL,Home,ARI,W,5.0,2.0,9.0,6-2,1.0,up 2.5,Sale,Nelson,Johnson,2:30,D,40693.0,1.11,3.0,
"Monday, Apr 8",ATL,Home,NYM,L,7.0,8.0,9.0,6-3,1.0,up 1.5,Diekman,Johnson,López,3:27,N,37538.0,1.24,-1.0,
"Tuesday, Apr 9",ATL,Home,NYM,W,6.0,5.0,9.0,7-3,1.0,up 2.5,López,Houser,Iglesias,2:42,N,32065.0,1.22,1.0,
"Thursday, Apr 11",ATL,Home,NYM,L,4.0,16.0,9.0,7-4,1.0,up 1.0,Quintana,Winans,None,2:50,D,34352.0,1.18,-1.0,
"Friday, Apr 12",ATL,@,MIA,W,8.0,1.0,9.0,8-4,1.0,up 2.0,Fried,Rogers,None,2:37,N,14408.0,1.14,1.0,
"Saturday, Apr 13",ATL,@,MIA,L,1.0,5.0,9.0,8-5,1.0,up 1.0,Meyer,Sale,None,2:12,D,22327.0,1.16,-1.0,
"Sunday, Apr 14",ATL,@,MIA,W,9.0,7.0,9.0,9-5,1.0,up 2.0,Minter,Scott,Iglesias,2:32,D,20757.0,1.12,1.0,
"Monday, Apr 15",ATL,@,HOU,W,6.0,1.0,9.0,10-5,1.0,up 2.0,Bummer,Arrighetti,None,3:07,N,32407.0,1.08,2.0,
"Tuesday, Apr 16",ATL,@,HOU,W,6.0,2.0,9.0,11-5,1.0,up 2.0,López,Brown,Iglesias,2:55,N,34144.0,1.14,3.0,
"Wednesday, Apr 17",ATL,@,HOU,W,5.0,4.0,10.0,12-5,1.0,up 2.0,Minter,Martinez,Iglesias,3:11,D,29073.0,1.13,4.0,
"Friday, Apr 19",ATL,Home,TEX,W,8.0,3.0,9.0,13-5,1.0,up 2.0,Sale,Latz,None,2:30,N,40810.0,1.18,5.0,
"Saturday, Apr 20",ATL,Home,TEX,W,5.0,2.0,9.0,14-5,1.0,up 2.0,Morton,Eovaldi,Iglesias,2:32,N,41744.0,1.18,6.0,
"Sunday, Apr 21",ATL,Home,TEX,L,4.0,6.0,9.0,14-6,1.0,up 1.0,Lorenzen,Vines,Yates,2:28,N,36581.0,1.18,-1.0,
"Monday, Apr 22",ATL,Home,MIA,W,3.0,0.0,9.0,15-6,1.0,up 1.0,Elder,Weathers,Iglesias,2:16,N,31572.0,1.15,1.0,
"Tuesday, Apr 23",ATL,Home,MIA,W,5.0,0.0,9.0,16-6,1.0,up 2.0,Fried,Rogers,None,1:54,N,33533.0,1.17,2.0,
"Wednesday, Apr 24",ATL,Home,MIA,W-wo,4.0,3.0,10.0,17-6,1.0,up 3.0,Minter,Scott,None,2:40,N,38950.0,1.19,3.0,
"Friday, Apr 26",ATL,Home,CLE,W,6.0,2.0,9.0,18-6,1.0,up 2.5,Sale,Allen,None,2:35,N,40210.0,1.16,4.0,
"Saturday, Apr 27",ATL,Home,CLE,L,2.0,4.0,11.0,18-7,1.0,up 1.5,Barlow,Lee,Sandlin,2:47,N,41696.0,1.17,-1.0,
"Sunday, Apr 28",ATL,Home,CLE,W-wo,4.0,3.0,10.0,19-7,1.0,up 1.5,Minter,Clase,None,2:55,D,40758.0,1.15,1.0,
"Monday, Apr 29",ATL,@,SEA,L-wo,1.0,2.0,9.0,19-8,1.0,up 1.5,Voth,Minter,None,2:29,N,26452.0,1.12,-1.0,
"Tuesday, Apr 30",ATL,@,SEA,L,2.0,3.0,9.0,19-9,1.0,up 0.5,Castillo,López,Muñoz,2:16,N,23534.0,1.17,-2.0,
"Wednesday, May 1",ATL,@,SEA,W,5.0,2.0,9.0,20-9,1.0,up 0.5,Sale,Hancock,Iglesias,2:34,D,21689.0,1.17,1.0,
"Friday, May 3",ATL,@,LAD,L-wo,3.0,4.0,11.0,20-10,2.0,0.5,Grove,Chavez,None,3:00,N,50859.0,1.23,-1.0,
"Saturday, May 4",ATL,@,LAD,L,2.0,11.0,9.0,20-11,2.0,1.5,Glasnow,Elder,None,2:24,N,44474.0,1.26,-2.0,
"Sunday, May 5",ATL,@,LAD,L,1.0,5.0,9.0,20-12,2.0,2.5,Paxton,Fried,None,2:07,D,52733.0,1.24,-3.0,
"Tuesday, May 7",ATL,Home,BOS,W,4.0,2.0,9.0,21-12,2.0,3.0,Jiménez,Slaten,Iglesias,2:31,N,38142.0,1.12,1.0,
"Wednesday, May 8",ATL,Home,BOS,W,5.0,0.0,9.0,22-12,2.0,2.0,Sale,Pivetta,None,2:21,N,37015.0,1.08,2.0,
"Friday, May 10",ATL,@,NYM,W,4.0,2.0,9.0,23-12,2.0,2.0,Morton,Quintana,Iglesias,2:27,N,23355.0,1.20,3.0,
"Saturday, May 11",ATL,@,NYM,W,4.0,1.0,9.0,24-12,2.0,2.0,Fried,Scott,None,2:45,D,38919.0,1.21,4.0,
"Sunday, May 12",ATL,@,NYM,L-wo,3.0,4.0,9.0,24-13,2.0,2.0,Díaz,Minter,None,2:50,N,18944.0,1.17,-1.0,
"Monday, May 13",ATL,Home,CHC,W,2.0,0.0,9.0,25-13,2.0,2.0,Kerr,Wesneski,Minter,2:31,N,34582.0,1.21,1.0,
"Tuesday, May 14",ATL,Home,CHC,W,7.0,0.0,9.0,26-13,2.0,2.0,Sale,Taillon,None,2:12,N,37357.0,1.20,2.0,
"Wednesday, May 15",ATL,Home,CHC,L,1.0,7.0,9.0,26-14,2.0,3.0,Assad,Morton,None,2:30,N,36623.0,1.17,-1.0,
"Friday, May 17",ATL,Home,SDP,L,1.0,3.0,9.0,26-15,2.0,3.5,Waldron,Fried,Estrada,2:54,N,40186.0,1.19,-2.0,
"Sunday, May 19",ATL,Home,SDP,L,1.0,9.0,9.0,26-16,2.0,5.0,Darvish,Elder,None,2:53,N,39203.0,1.11,-3.0,
"Monday, May 20 (1)",ATL,Home,SDP,L,5.0,6.0,9.0,26-17,2.0,5.0,Brito,Jiménez,Suarez,2:43,D,35113.0,1.11,-4.0,
"Monday, May 20 (2)",ATL,Home,SDP,W,3.0,0.0,9.0,27-17,2.0,5.0,Sale,Vásquez,Iglesias,2:18,N,34753.0,1.12,1.0,
"Tuesday, May 21",ATL,@,CHC,L-wo,3.0,4.0,10.0,27-18,2.0,6.0,Little,Bummer,None,3:14,N,36121.0,1.15,-1.0,
"Wednesday, May 22",ATL,@,CHC,W,9.0,2.0,9.0,28-18,2.0,6.0,Fried,Steele,None,2:08,N,37584.0,1.13,1.0,
"Thursday, May 23",ATL,@,CHC,W,3.0,0.0,9.0,29-18,2.0,6.0,Lee,Wesneski,Iglesias,2:34,D,35646.0,1.14,2.0,
"Friday, May 24",ATL,@,PIT,L,5.0,11.0,9.0,29-19,2.0,6.0,Falter,Kerr,None,2:38,N,35822.0,1.10,-1.0,
"Saturday, May 25",ATL,@,PIT,L,1.0,4.0,9.0,29-20,2.0,7.0,Keller,López,Bednar,2:14,D,31459.0,1.11,-2.0,
"Sunday, May 26",ATL,@,PIT,W,8.0,1.0,9.0,30-20,2.0,6.0,Sale,Mlodzinski,None,2:34,D,27416.0,1.11,1.0,
"Monday, May 27",ATL,Home,WSN,L,4.0,8.0,9.0,30-21,2.0,6.0,Parker,Morton,None,2:39,D,38858.0,1.14,-1.0,
"Tuesday, May 28",ATL,Home,WSN,W,2.0,0.0,9.0,31-21,2.0,5.0,Fried,Barnes,Iglesias,2:04,N,37598.0,1.15,1.0,
"Wednesday, May 29",ATL,Home,WSN,L,2.0,7.0,9.0,31-22,2.0,6.0,Gore,Schwellenbach,None,2:52,N,33654.0,1.17,-1.0,
"Thursday, May 30",ATL,Home,WSN,L,1.0,3.0,9.0,31-23,2.0,6.5,Williams,Kerr,Finnegan,2:35,N,37784.0,1.20,-2.0,
"Friday, May 31",ATL,Home,OAK,W,4.0,2.0,9.0,32-23,2.0,6.5,López,Sears,Iglesias,2:07,N,40204.0,1.05,1.0,
"Saturday, Jun 1",ATL,Home,OAK,L,9.0,11.0,9.0,32-24,2.0,7.5,Kelly,Herget,Jiménez,2:53,D,41181.0,1.05,-1.0,
"Sunday, Jun 2",ATL,Home,OAK,W,3.0,1.0,9.0,33-24,2.0,6.5,Lee,Adams,Iglesias,2:28,D,37853.0,1.02,1.0,
"Tuesday, Jun 4",ATL,@,BOS,W,8.0,3.0,9.0,34-24,2.0,7.0,Fried,Crawford,None,2:16,N,34628.0,1.00,2.0,
"Wednesday, Jun 5",ATL,@,BOS,L,0.0,9.0,9.0,34-25,2.0,8.0,Pivetta,Schwellenbach,None,2:22,D,33760.0,1.05,-1.0,
"Thursday, Jun 6",ATL,@,WSN,W,5.0,2.0,9.0,35-25,2.0,7.5,Bummer,Harvey,Iglesias,2:07,N,27690.0,1.06,1.0,
"Friday, Jun 7",ATL,@,WSN,L,1.0,2.0,9.0,35-26,2.0,8.0,Irvin,Sale,Finnegan,2:10,N,39235.0,1.06,-1.0,
"Saturday, Jun 8",ATL,@,WSN,L,3.0,7.0,9.0,35-27,2.0,9.0,Gore,Morton,None,2:29,D,33998.0,1.04,-2.0,
