Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",BAL,Home,LAA,W,11.0,3.0,9.0,1-0,1.0,Tied,Burnes,Sandoval,None,2:43,D,45029.0,.95,1.0,
"Saturday, Mar 30",BAL,Home,LAA,W,13.0,4.0,9.0,2-0,2.0,0.5,Rodriguez,Canning,None,2:55,D,28420.0,.98,2.0,
"Sunday, Mar 31",BAL,Home,LAA,L,1.0,4.0,9.0,2-1,2.0,1.5,Detmers,Wells,Estévez,2:19,D,20576.0,1.01,-1.0,
"Monday, Apr 1",BAL,Home,KCR,W-wo,6.0,4.0,9.0,3-1,2.0,1.5,Kimbrel,Anderson,None,2:35,N,12666.0,.94,1.0,
"Tuesday, Apr 2",BAL,Home,KCR,L,1.0,4.0,9.0,3-2,3.0,1.5,Marsh,Irvin,Smith,2:17,N,9404.0,1.00,-1.0,
"Wednesday, Apr 3",BAL,Home,KCR,W-wo,4.0,3.0,9.0,4-2,3.0,1.5,Cano,Smith,None,2:35,D,11488.0,.93,1.0,
"Friday, Apr 5",BAL,@,PIT,W,5.0,2.0,9.0,5-2,3.0,0.5,Rodriguez,Jones,Kimbrel,2:23,D,38400.0,.93,2.0,
"Saturday, Apr 6",BAL,@,PIT,L-wo,4.0,5.0,11.0,5-3,3.0,1.5,Fleming,Heasley,None,3:24,D,24089.0,.98,-1.0,
"Sunday, Apr 7",BAL,@,PIT,L-wo,2.0,3.0,9.0,5-4,3.0,2.5,Hernandez,Cano,None,2:11,D,20652.0,.92,-2.0,
"Tuesday, Apr 9",BAL,@,BOS,W,7.0,1.0,9.0,6-4,3.0,3.0,Burnes,Bello,None,2:40,D,36093.0,.98,1.0,
"Wednesday, Apr 10",BAL,@,BOS,W,7.0,5.0,9.0,7-4,2.0,2.0,Baumann,Martin,Kimbrel,2:41,N,27936.0,1.02,2.0,
"Thursday, Apr 11",BAL,@,BOS,W,9.0,4.0,10.0,8-4,2.0,1.5,Kimbrel,Campbell,None,3:16,N,26230.0,1.10,3.0,
