Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",BOS,@,SEA,W,6.0,4.0,9.0,1-0,1.0,Tied,Bello,Castillo,Jansen,2:45,N,45337.0,.93,1.0,
"Friday, Mar 29",BOS,@,SEA,L,0.0,1.0,9.0,1-1,3.0,1.0,Kirby,Pivetta,Muñoz,2:24,N,30013.0,.99,-1.0,
"Saturday, Mar 30",BOS,@,SEA,L-wo,3.0,4.0,10.0,1-2,4.0,2.0,Saucedo,Rodríguez,None,2:46,N,32149.0,.94,-2.0,
"Sunday, Mar 31",BOS,@,SEA,W,5.0,1.0,9.0,2-2,3.0,2.0,Whitlock,Miller,Slaten,2:32,D,29331.0,.89,1.0,
"Monday, Apr 1",BOS,@,OAK,W,9.0,0.0,9.0,3-2,3.0,2.0,Houck,Boyle,Anderson,2:31,N,6618.0,.98,2.0,
"Tuesday, Apr 2",BOS,@,OAK,W,5.0,4.0,11.0,4-2,2.0,1.0,Winckowski,Spence,None,3:04,N,5112.0,.97,3.0,
"Wednesday, Apr 3",BOS,@,OAK,W,1.0,0.0,9.0,5-2,2.0,1.0,Pivetta,Stripling,Jansen,2:21,D,6436.0,1.02,4.0,
"Friday, Apr 5",BOS,@,LAA,W,8.0,6.0,9.0,6-2,1.0,Tied,Martin,Soriano,Jansen,3:11,N,44714.0,1.07,5.0,
"Saturday, Apr 6",BOS,@,LAA,L,1.0,2.0,9.0,6-3,2.0,1.0,Detmers,Weissert,Estévez,2:42,N,44485.0,1.10,-1.0,
"Sunday, Apr 7",BOS,@,LAA,W,12.0,2.0,9.0,7-3,2.0,1.0,Houck,Silseth,Anderson,2:56,D,38917.0,1.11,1.0,
"Tuesday, Apr 9",BOS,Home,BAL,L,1.0,7.0,9.0,7-4,2.0,2.5,Burnes,Bello,None,2:40,D,36093.0,1.15,-1.0,
"Wednesday, Apr 10",BOS,Home,BAL,L,5.0,7.0,9.0,7-5,3.0,2.5,Baumann,Martin,Kimbrel,2:41,N,27936.0,1.08,-2.0,
"Thursday, Apr 11",BOS,Home,BAL,L,4.0,9.0,10.0,7-6,3.0,3.0,Kimbrel,Campbell,None,3:16,N,26230.0,1.09,-3.0,
"Friday, Apr 12",BOS,Home,LAA,L,0.0,7.0,9.0,7-7,4.0,3.5,Detmers,Houck,None,2:20,N,26106.0,.98,-4.0,
"Saturday, Apr 13",BOS,Home,LAA,W,7.0,2.0,9.0,8-7,3.0,4.0,Weissert,Canning,None,2:28,D,31878.0,.92,1.0,
"Sunday, Apr 14",BOS,Home,LAA,W,5.0,4.0,9.0,9-7,3.0,3.0,Bello,Anderson,Jansen,2:55,D,30792.0,.99,2.0,
"Monday, Apr 15",BOS,Home,CLE,L,0.0,6.0,9.0,9-8,3.0,3.0,Herrin,Bernardino,None,2:45,D,33008.0,.96,-1.0,
"Tuesday, Apr 16",BOS,Home,CLE,L,7.0,10.0,11.0,9-9,5.0,3.0,Clase,Winckowski,Barlow,3:37,N,30133.0,.98,-2.0,
"Wednesday, Apr 17",BOS,Home,CLE,W,2.0,0.0,9.0,10-9,3.0,3.0,Houck,Lively,None,1:49,N,32024.0,.90,1.0,
"Thursday, Apr 18",BOS,Home,CLE,L,4.0,5.0,9.0,10-10,5.0,3.5,Carrasco,Criswell,Clase,2:39,D,35494.0,.97,-1.0,
"Friday, Apr 19",BOS,@,PIT,W,8.0,1.0,9.0,11-10,4.0,3.5,Bello,Priester,None,2:22,N,17959.0,.88,1.0,
"Saturday, Apr 20",BOS,@,PIT,W,4.0,2.0,9.0,12-10,4.0,2.5,Crawford,Keller,Jansen,2:48,D,26025.0,.91,2.0,
"Sunday, Apr 21",BOS,@,PIT,W,6.0,1.0,9.0,13-10,3.0,2.5,Slaten,Pérez,None,2:52,D,18814.0,.94,3.0,
"Tuesday, Apr 23",BOS,@,CLE,L,1.0,4.0,9.0,13-11,3.0,3.0,Barlow,Houck,Clase,2:18,N,13543.0,1.01,-1.0,
"Wednesday, Apr 24",BOS,@,CLE,W,8.0,0.0,9.0,14-11,3.0,3.0,Criswell,Carrasco,None,2:28,N,13916.0,.98,1.0,
"Thursday, Apr 25",BOS,@,CLE,L,4.0,6.0,9.0,14-12,3.0,3.0,Gaddis,Anderson,Clase,2:49,D,16082.0,1.07,-1.0,
"Friday, Apr 26",BOS,Home,CHC,L,1.0,7.0,9.0,14-13,3.0,3.0,Imanaga,Crawford,None,2:34,N,31801.0,.94,-2.0,
"Saturday, Apr 27",BOS,Home,CHC,W,17.0,0.0,9.0,15-13,3.0,3.0,Slaten,Brown,None,2:40,D,35169.0,.94,1.0,
"Sunday, Apr 28",BOS,Home,CHC,W-wo,5.0,4.0,9.0,16-13,3.0,3.0,Jansen,Leiter,None,2:34,N,32052.0,.97,2.0,
"Tuesday, Apr 30",BOS,Home,SFG,W,4.0,0.0,9.0,17-13,3.0,2.5,Criswell,Webb,None,2:32,N,30027.0,1.00,3.0,
"Wednesday, May 1",BOS,Home,SFG,W,6.0,2.0,9.0,18-13,3.0,1.5,Crawford,Jefferies,None,2:14,N,30787.0,1.01,4.0,
"Thursday, May 2",BOS,Home,SFG,L,1.0,3.0,9.0,18-14,3.0,2.5,Walker,Kelly,Doval,2:21,D,30065.0,1.08,-1.0,
