Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",CHC,@,TEX,L-wo,3.0,4.0,10.0,0-1,4.0,1.0,Robertson,Smyly,None,3:15,N,42130.0,.91,-1.0,
"Saturday, Mar 30",CHC,@,TEX,L,2.0,11.0,9.0,0-2,5.0,2.5,Bradford,Hendricks,None,2:32,N,37570.0,.86,-2.0,
"Sunday, Mar 31",CHC,@,TEX,W,9.0,5.0,9.0,1-2,4.0,2.5,Neris,Leclerc,None,3:02,D,32078.0,.79,1.0,
"Monday, Apr 1",CHC,Home,COL,W,5.0,0.0,9.0,2-2,4.0,2.5,Imanaga,Hudson,None,2:26,D,40072.0,.90,2.0,
"Tuesday, Apr 2",CHC,Home,COL,W,12.0,2.0,9.0,3-2,3.0,2.0,Assad,Freeland,None,2:37,N,26555.0,.89,3.0,
"Wednesday, Apr 3",CHC,Home,COL,W,9.0,8.0,9.0,4-2,3.0,1.0,Alzolay,Mears,None,3:00,N,25900.0,.95,4.0,
"Friday, Apr 5",CHC,Home,LAD,W,9.0,7.0,9.0,5-2,3.0,0.5,Smyly,Miller,Alzolay,2:57,D,34981.0,.98,5.0,
"Saturday, Apr 6",CHC,Home,LAD,L,1.0,4.0,9.0,5-3,3.0,1.5,Yamamoto,Wicks,None,2:45,D,41040.0,1.02,-1.0,
"Sunday, Apr 7",CHC,Home,LAD,W,8.0,1.0,9.0,6-3,3.0,1.5,Almonte,Stone,Palencia,2:32,D,38322.0,1.01,1.0,
"Monday, Apr 8",CHC,@,SDP,L,8.0,9.0,9.0,6-4,3.0,2.5,Peralta,Alzolay,Suarez,2:56,N,33864.0,1.04,-1.0,
"Tuesday, Apr 9",CHC,@,SDP,W,5.0,1.0,9.0,7-4,3.0,1.5,Smyly,Musgrove,None,2:51,N,35171.0,.98,1.0,
"Wednesday, Apr 10",CHC,@,SDP,L,2.0,10.0,9.0,7-5,3.0,2.0,Cease,Hendricks,None,2:30,D,39048.0,1.05,-1.0,
"Friday, Apr 12",CHC,@,SEA,L,2.0,4.0,9.0,7-6,3.0,2.5,Miller,Wicks,Stanek,2:35,N,33500.0,.97,-2.0,
"Saturday, Apr 13",CHC,@,SEA,W,4.0,1.0,9.0,8-6,3.0,2.5,Imanaga,Hancock,Alzolay,2:24,N,38104.0,.91,1.0,
"Sunday, Apr 14",CHC,@,SEA,W,3.0,2.0,9.0,9-6,3.0,1.5,Assad,Castillo,Alzolay,2:35,D,32423.0,.95,2.0,
"Monday, Apr 15",CHC,@,ARI,W,3.0,2.0,11.0,10-6,3.0,0.5,Thompson,Jarvis,None,3:16,N,24468.0,1.01,3.0,
"Tuesday, Apr 16",CHC,@,ARI,L-wo,11.0,12.0,10.0,10-7,3.0,0.5,Ginkel,Smyly,None,3:38,N,26426.0,1.08,-1.0,
"Wednesday, Apr 17",CHC,@,ARI,W,5.0,3.0,9.0,11-7,2.0,0.5,Wesneski,Pfaadt,None,2:26,D,26567.0,1.04,1.0,
"Friday, Apr 19",CHC,Home,MIA,W,8.0,3.0,9.0,12-7,2.0,0.5,Taillon,Puk,None,2:25,D,29595.0,1.07,2.0,
"Saturday, Apr 20 (1)",CHC,Home,MIA,L,2.0,3.0,9.0,12-8,2.0,1.0,Faucher,Alzolay,Scott,2:38,D,36379.0,1.10,-1.0,
"Saturday, Apr 20 (2)",CHC,Home,MIA,W,5.0,3.0,9.0,13-8,2.0,1.0,Imanaga,Bender,Neris,2:22,N,32386.0,1.08,1.0,
"Sunday, Apr 21",CHC,Home,MIA,L,3.0,6.0,9.0,13-9,2.0,2.0,Cabrera,Hendricks,Scott,2:34,D,36067.0,1.10,-1.0,
"Tuesday, Apr 23",CHC,Home,HOU,W,7.0,2.0,9.0,14-9,2.0,0.5,Wicks,France,Almonte,2:37,N,30643.0,1.04,1.0,
"Wednesday, Apr 24",CHC,Home,HOU,W,4.0,3.0,9.0,15-9,2.0,0.5,Taillon,Arrighetti,Neris,2:45,N,32327.0,1.09,2.0,
"Thursday, Apr 25",CHC,Home,HOU,W,3.0,1.0,9.0,16-9,2.0,0.5,Wesneski,Montero,Neris,2:43,D,29876.0,1.06,3.0,
"Friday, Apr 26",CHC,@,BOS,W,7.0,1.0,9.0,17-9,2.0,0.5,Imanaga,Crawford,None,2:34,N,31801.0,1.13,4.0,
"Saturday, Apr 27",CHC,@,BOS,L,0.0,17.0,9.0,17-10,2.0,0.5,Slaten,Brown,None,2:40,D,35169.0,1.11,-1.0,
"Sunday, Apr 28",CHC,@,BOS,L-wo,4.0,5.0,9.0,17-11,2.0,0.5,Jansen,Leiter,None,2:34,N,32052.0,1.10,-2.0,
"Monday, Apr 29",CHC,@,NYM,W,3.0,1.0,9.0,18-11,1.0,up 0.5,Leiter,Díaz,Neris,2:05,N,25046.0,1.17,1.0,
"Tuesday, Apr 30",CHC,@,NYM,L,2.0,4.0,9.0,18-12,2.0,0.5,Reid-Foley,Alzolay,López,2:31,N,22880.0,1.22,-1.0,
"Wednesday, May 1",CHC,@,NYM,W,1.0,0.0,9.0,19-12,2.0,0.5,Imanaga,Buttó,Neris,2:37,N,22485.0,1.22,1.0,
"Thursday, May 2",CHC,@,NYM,L-wo,6.0,7.0,11.0,19-13,2.0,1.0,Young,Palencia,None,3:17,D,22224.0,1.23,-1.0,
"Friday, May 3",CHC,Home,MIL,L,1.0,3.0,9.0,19-14,2.0,2.0,Peguero,Alzolay,Megill,2:37,D,33557.0,1.32,-2.0,
"Saturday, May 4",CHC,Home,MIL,W,6.0,5.0,9.0,20-14,2.0,1.0,Taillon,Myers,Neris,2:30,D,40505.0,1.34,1.0,
"Sunday, May 5",CHC,Home,MIL,W,5.0,0.0,9.0,21-14,1.0,Tied,Assad,Peralta,None,2:23,D,39299.0,1.30,2.0,
"Monday, May 6",CHC,Home,SDP,L,3.0,6.0,9.0,21-15,1.0,Tied,Darvish,Lovelady,Suarez,3:01,N,35560.0,1.25,-1.0,
"Tuesday, May 7",CHC,Home,SDP,W-wo,3.0,2.0,9.0,22-15,1.0,Tied,Neris,De Los Santos,None,2:31,N,38133.0,1.24,1.0,
"Wednesday, May 8",CHC,Home,SDP,L,0.0,3.0,9.0,22-16,1.0,Tied,Cease,Wesneski,Suarez,2:29,D,30138.0,1.22,-1.0,
"Friday, May 10",CHC,@,PIT,W,7.0,2.0,9.0,23-16,2.0,0.5,Brown,Jones,None,2:37,N,16454.0,1.23,1.0,
"Saturday, May 11",CHC,@,PIT,L,9.0,10.0,9.0,23-17,2.0,1.5,Holderman,Thompson,Bednar,2:56,D,34924.0,1.26,-1.0,
"Sunday, May 12",CHC,@,PIT,W,5.0,4.0,10.0,24-17,2.0,0.5,Neris,Chapman,Alzolay,3:19,D,18554.0,1.24,1.0,
"Monday, May 13",CHC,@,ATL,L,0.0,2.0,9.0,24-18,2.0,0.5,Kerr,Wesneski,Minter,2:31,N,34582.0,1.23,-1.0,
"Tuesday, May 14",CHC,@,ATL,L,0.0,7.0,9.0,24-19,2.0,1.5,Sale,Taillon,None,2:12,N,37357.0,1.23,-2.0,
"Wednesday, May 15",CHC,@,ATL,W,7.0,1.0,9.0,25-19,2.0,1.5,Assad,Morton,None,2:30,N,36623.0,1.24,1.0,
"Thursday, May 16",CHC,Home,PIT,L,4.0,5.0,9.0,25-20,2.0,2.0,Jones,Steele,Bednar,2:27,N,36202.0,1.21,-1.0,
"Friday, May 17",CHC,Home,PIT,L,3.0,9.0,9.0,25-21,2.0,2.0,Skenes,Hendricks,None,2:57,D,35372.0,1.22,-2.0,
"Saturday, May 18",CHC,Home,PIT,W-wo,1.0,0.0,9.0,26-21,2.0,2.0,Neris,Bednar,None,2:10,D,39857.0,1.23,1.0,
"Sunday, May 19",CHC,Home,PIT,L,2.0,3.0,9.0,26-22,2.0,2.0,Keller,Taillon,Bednar,2:45,D,39008.0,1.20,-1.0,
"Tuesday, May 21",CHC,Home,ATL,W-wo,4.0,3.0,10.0,27-22,2.0,1.5,Little,Bummer,None,3:14,N,36121.0,1.17,1.0,
"Wednesday, May 22",CHC,Home,ATL,L,2.0,9.0,9.0,27-23,2.0,1.5,Fried,Steele,None,2:08,N,37584.0,1.24,-1.0,
"Thursday, May 23",CHC,Home,ATL,L,0.0,3.0,9.0,27-24,2.0,2.0,Lee,Wesneski,Iglesias,2:34,D,35646.0,1.18,-2.0,
"Saturday, May 25",CHC,@,STL,L,6.0,7.0,9.0,27-25,2.0,3.5,Romero,Leiter,Helsley,2:53,N,45071.0,1.14,-3.0,
"Sunday, May 26",CHC,@,STL,L,3.0,4.0,9.0,27-26,2.0,3.5,Gray,Assad,Helsley,2:36,N,40892.0,1.13,-4.0,
"Monday, May 27",CHC,@,MIL,L,1.0,5.0,9.0,27-27,2.0,4.5,Hudson,Leiter,None,2:17,D,41882.0,1.18,-5.0,
"Tuesday, May 28",CHC,@,MIL,W,6.0,3.0,10.0,28-27,2.0,3.5,Neris,Megill,None,3:09,N,24076.0,1.11,1.0,
"Wednesday, May 29",CHC,@,MIL,L,6.0,10.0,9.0,28-28,2.0,4.5,Koenig,Imanaga,None,2:32,N,26695.0,1.17,-1.0,
"Thursday, May 30",CHC,@,MIL,L,4.0,6.0,9.0,28-29,3.0,5.5,Hudson,Little,Peguero,2:33,D,33219.0,1.12,-2.0,
"Friday, May 31",CHC,Home,CIN,L,4.0,5.0,9.0,28-30,3.0,6.5,Cruz,Smyly,Díaz,3:05,D,36281.0,.89,-3.0,
"Saturday, Jun 1",CHC,Home,CIN,W,7.0,5.0,9.0,29-30,2.0,6.5,Leiter,Sims,Neris,2:46,N,36430.0,.87,1.0,
