Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",CHW,Home,DET,L,0.0,1.0,9.0,0-1,4.0,1.0,Skubal,Crochet,Foley,2:03,D,33420.0,.99,-1.0,
"Saturday, Mar 30",CHW,Home,DET,L,6.0,7.0,10.0,0-2,4.0,2.5,Miller,García,None,3:05,D,28176.0,.96,-2.0,
"Sunday, Mar 31",CHW,Home,DET,L,2.0,3.0,9.0,0-3,5.0,3.0,Holton,Wilson,Foley,2:41,D,17478.0,.88,-3.0,
"Monday, Apr 1",CHW,Home,ATL,L,0.0,9.0,8.0,0-4,5.0,4.0,Morton,Flexen,None,2:29,D,13781.0,.77,-4.0,
"Tuesday, Apr 2",CHW,Home,ATL,W,3.0,2.0,9.0,1-4,5.0,3.5,Crochet,Minter,Kopech,2:21,N,12300.0,.71,1.0,
"Thursday, Apr 4",CHW,@,KCR,L,1.0,10.0,9.0,1-5,5.0,4.0,Lugo,Soroka,None,2:26,N,10863.0,.75,-1.0,
"Friday, Apr 5",CHW,@,KCR,L,1.0,2.0,9.0,1-6,5.0,5.0,Stratton,Kopech,McArthur,2:20,N,10592.0,.74,-2.0,
"Saturday, Apr 6",CHW,@,KCR,L,0.0,3.0,9.0,1-7,5.0,5.5,Wacha,Flexen,Stratton,2:11,N,15463.0,.66,-3.0,
"Sunday, Apr 7",CHW,@,KCR,L,3.0,5.0,9.0,1-8,5.0,6.0,Schreiber,García,McArthur,2:29,D,14251.0,.64,-4.0,
"Monday, Apr 8",CHW,@,CLE,L,0.0,4.0,9.0,1-9,5.0,7.0,McKenzie,Banks,None,2:35,N,35735.0,.59,-5.0,
"Tuesday, Apr 9",CHW,@,CLE,W,7.0,5.0,9.0,2-9,5.0,6.0,Wilson,Barlow,Kopech,2:45,N,14887.0,.57,1.0,
"Wednesday, Apr 10",CHW,@,CLE,L-wo,6.0,7.0,10.0,2-10,5.0,7.0,Morgan,Shaw,None,2:57,N,12405.0,.59,-1.0,
"Friday, Apr 12",CHW,Home,CIN,L,1.0,11.0,9.0,2-11,5.0,7.5,Abbott,Flexen,None,2:43,N,11337.0,.48,-2.0,
"Saturday, Apr 13",CHW,Home,CIN,L,0.0,5.0,9.0,2-12,5.0,7.5,Lodolo,Crochet,None,2:29,D,22598.0,.44,-3.0,
"Sunday, Apr 14",CHW,Home,CIN,L,4.0,11.0,9.0,2-13,5.0,8.0,Ashcraft,Soroka,None,2:57,D,17589.0,.43,-4.0,
"Monday, Apr 15",CHW,Home,KCR,L,0.0,2.0,9.0,2-14,5.0,9.0,Lugo,Nastrini,McArthur,2:17,N,10569.0,.43,-5.0,
"Wednesday, Apr 17 (1)",CHW,Home,KCR,L,2.0,4.0,9.0,2-15,5.0,9.0,Anderson,Kopech,McArthur,2:31,D,,.35,-6.0,
"Wednesday, Apr 17 (2)",CHW,Home,KCR,W,2.0,1.0,9.0,3-15,5.0,9.0,Fedde,Wacha,García,2:16,D,10412.0,.30,1.0,
"Friday, Apr 19",CHW,@,PHI,L,0.0,7.0,9.0,3-16,5.0,10.5,Turnbull,Crochet,None,2:18,N,39069.0,.33,-1.0,
"Saturday, Apr 20",CHW,@,PHI,L,5.0,9.0,9.0,3-17,5.0,11.5,Wheeler,Soroka,Alvarado,3:03,N,44546.0,.28,-2.0,
"Sunday, Apr 21",CHW,@,PHI,L,2.0,8.0,9.0,3-18,5.0,12.5,Nola,Nastrini,None,2:37,D,43614.0,.25,-3.0,
"Monday, Apr 22",CHW,@,MIN,L,0.0,7.0,9.0,3-19,5.0,13.0,Paddack,Cannon,None,2:19,N,12443.0,.23,-4.0,
"Tuesday, Apr 23",CHW,@,MIN,L-wo,5.0,6.0,9.0,3-20,5.0,14.0,Jackson,Wilson,None,2:46,N,11223.0,.20,-5.0,
"Wednesday, Apr 24",CHW,@,MIN,L,3.0,6.0,9.0,3-21,5.0,14.0,Ryan,Crochet,Jax,2:29,N,12546.0,.16,-6.0,
"Thursday, Apr 25",CHW,@,MIN,L,3.0,6.0,9.0,3-22,5.0,15.0,Sands,Banks,Jax,2:30,D,20363.0,.16,-7.0,
"Friday, Apr 26",CHW,Home,TBR,W,9.0,4.0,9.0,4-22,5.0,14.0,Flexen,Eflin,None,2:41,N,10323.0,.12,1.0,
"Saturday, Apr 27",CHW,Home,TBR,W-wo,8.0,7.0,10.0,5-22,5.0,14.0,García,Maton,None,2:59,N,28009.0,.14,2.0,
"Sunday, Apr 28",CHW,Home,TBR,W,4.0,2.0,9.0,6-22,5.0,13.0,Fedde,Littell,Leasure,2:06,D,12669.0,.15,3.0,
"Monday, Apr 29",CHW,Home,MIN,L,2.0,3.0,9.0,6-23,5.0,13.5,Jax,Brebbia,Thielbar,2:34,N,10772.0,.19,-1.0,
"Tuesday, Apr 30",CHW,Home,MIN,L,5.0,6.0,9.0,6-24,5.0,13.5,Thielbar,Kopech,Durán,3:04,N,11609.0,.16,-2.0,
"Wednesday, May 1",CHW,Home,MIN,L,5.0,10.0,9.0,6-25,5.0,14.5,Ober,Leone,None,2:48,D,12216.0,.13,-3.0,
"Friday, May 3",CHW,@,STL,L,0.0,3.0,9.0,6-26,5.0,14.0,Gray,Keller,Helsley,2:21,N,34010.0,.10,-4.0,
"Saturday, May 4",CHW,@,STL,W,6.0,5.0,10.0,7-26,5.0,14.0,Kopech,Fernandez,Banks,3:12,D,38559.0,.08,1.0,
"Sunday, May 5",CHW,@,STL,W,5.0,1.0,9.0,8-26,5.0,14.0,Crochet,Gallegos,None,2:28,D,43046.0,.09,2.0,
"Monday, May 6",CHW,@,TBR,L,2.0,8.0,9.0,8-27,5.0,15.0,Ramírez,Clevinger,None,2:33,N,12042.0,.11,-1.0,
"Tuesday, May 7",CHW,@,TBR,L,1.0,5.0,9.0,8-28,5.0,15.0,Eflin,Soroka,None,2:18,N,10872.0,.08,-2.0,
"Wednesday, May 8",CHW,@,TBR,W,4.0,1.0,9.0,9-28,5.0,15.0,Flexen,Civale,Kopech,2:32,N,12877.0,.07,1.0,
"Thursday, May 9",CHW,Home,CLE,W,3.0,2.0,9.0,10-28,5.0,14.0,Fedde,Lively,Kopech,2:22,N,10495.0,.09,2.0,
"Friday, May 10",CHW,Home,CLE,W,6.0,3.0,9.0,11-28,5.0,13.0,Crochet,Carrasco,Leasure,2:15,N,17319.0,.10,3.0,
"Saturday, May 11",CHW,Home,CLE,W,3.0,1.0,9.0,12-28,5.0,12.0,Hill,McKenzie,Brebbia,2:16,N,26152.0,.12,4.0,
"Sunday, May 12",CHW,Home,CLE,L,0.0,7.0,9.0,12-29,5.0,13.0,Allen,Soroka,None,2:12,D,15529.0,.14,-1.0,
"Tuesday, May 14 (1)",CHW,Home,WSN,L,3.0,6.0,9.0,12-30,5.0,14.0,Law,Brebbia,Finnegan,2:42,D,,.10,-2.0,
"Tuesday, May 14 (2)",CHW,Home,WSN,W,4.0,0.0,9.0,13-30,5.0,14.0,Fedde,Parker,None,2:15,D,11138.0,.10,1.0,
"Wednesday, May 15",CHW,Home,WSN,W,2.0,0.0,9.0,14-30,5.0,13.0,Crochet,Corbin,Kopech,2:16,D,11008.0,.11,2.0,
"Friday, May 17",CHW,@,NYY,L,2.0,4.0,9.0,14-31,5.0,14.0,Cortés,Clevinger,Holmes,2:32,N,46025.0,.13,-1.0,
"Saturday, May 18",CHW,@,NYY,L,1.0,6.0,9.0,14-32,5.0,15.0,Gil,Keller,None,2:29,D,43194.0,.11,-2.0,
"Sunday, May 19",CHW,@,NYY,L,2.0,7.0,9.0,14-33,5.0,16.0,Rodón,Flexen,None,2:33,D,41041.0,.09,-3.0,
"Monday, May 20",CHW,@,TOR,L,3.0,9.0,9.0,14-34,5.0,17.0,Berríos,Fedde,None,2:35,D,36993.0,.07,-4.0,
"Tuesday, May 21",CHW,@,TOR,W,5.0,0.0,9.0,15-34,5.0,17.0,Crochet,Kikuchi,None,2:21,N,28176.0,.08,1.0,
"Wednesday, May 22",CHW,@,TOR,L,2.0,9.0,9.0,15-35,5.0,18.0,Bassitt,Nastrini,None,2:43,N,28670.0,.07,-1.0,
"Thursday, May 23",CHW,Home,BAL,L,6.0,8.0,9.0,15-36,5.0,18.5,Rodriguez,Clevinger,Kimbrel,3:09,N,15843.0,.05,-2.0,
"Friday, May 24",CHW,Home,BAL,L,4.0,6.0,9.0,15-37,5.0,19.5,Cano,Brebbia,Kimbrel,2:57,N,18831.0,.04,-3.0,
"Saturday, May 25",CHW,Home,BAL,L,3.0,5.0,9.0,15-38,5.0,20.5,Tate,Kopech,Pérez,2:51,D,22283.0,.03,-4.0,
"Sunday, May 26",CHW,Home,BAL,L,1.0,4.0,9.0,15-39,5.0,21.5,Bradish,Crochet,Kimbrel,2:31,D,14992.0,.02,-5.0,
"Monday, May 27",CHW,Home,TOR,L,1.0,5.0,9.0,15-40,5.0,21.5,Bassitt,Nastrini,None,2:40,D,14993.0,.01,-6.0,
"Tuesday, May 28",CHW,Home,TOR,L,2.0,7.0,9.0,15-41,5.0,22.5,Gausman,Woodford,None,2:48,N,11852.0,.01,-7.0,
"Wednesday, May 29",CHW,Home,TOR,L,1.0,3.0,9.0,15-42,5.0,22.5,Richards,Flexen,Romano,2:31,N,11599.0,.01,-8.0,
"Friday, May 31",CHW,@,MIL,L,5.0,12.0,9.0,15-43,5.0,23.5,Paredes,Soroka,None,3:02,N,30931.0,.00,-9.0,
"Saturday, Jun 1",CHW,@,MIL,L-wo,3.0,4.0,10.0,15-44,5.0,24.5,Milner,Kopech,None,2:45,D,36017.0,.01,-10.0,
"Sunday, Jun 2",CHW,@,MIL,L,3.0,6.0,9.0,15-45,5.0,24.5,Peralta,Nastrini,Paredes,2:29,D,30442.0,.00,-11.0,
"Tuesday, Jun 4",CHW,@,CHC,L,6.0,7.0,9.0,15-46,5.0,25.5,Little,Leasure,Neris,2:28,N,38397.0,.00,-12.0,
"Wednesday, Jun 5",CHW,@,CHC,L-wo,6.0,7.0,9.0,15-47,5.0,26.0,Neris,Kopech,None,2:55,N,40073.0,.00,-13.0,
"Thursday, Jun 6",CHW,Home,BOS,L,2.0,14.0,9.0,15-48,5.0,26.0,Houck,Woodford,None,2:39,N,15568.0,.00,-14.0,
"Friday, Jun 7",CHW,Home,BOS,W,7.0,2.0,9.0,16-48,5.0,25.0,Crochet,Criswell,Cannon,2:32,N,19684.0,.00,1.0,
"Saturday, Jun 8",CHW,Home,BOS,W,6.0,1.0,9.0,17-48,5.0,25.0,Banks,Bello,None,2:51,D,26248.0,.00,2.0,
"Sunday, Jun 9",CHW,Home,BOS,L,4.0,6.0,10.0,17-49,5.0,26.0,Jansen,Soroka,Booser,3:22,D,21055.0,.00,-1.0,
"Monday, Jun 10",CHW,@,SEA,L-wo,4.0,8.0,9.0,17-50,5.0,26.5,Stanek,Leasure,None,2:41,N,23027.0,.00,-2.0,
"Tuesday, Jun 11",CHW,@,SEA,L,3.0,4.0,9.0,17-51,5.0,27.5,Thornton,Brebbia,Stanek,2:32,N,20005.0,.00,-3.0,
"Wednesday, Jun 12",CHW,@,SEA,L-wo,1.0,2.0,10.0,17-52,5.0,27.5,Thornton,Wilson,None,2:33,N,23312.0,.00,-4.0,
"Thursday, Jun 13",CHW,@,SEA,W,3.0,2.0,10.0,18-52,5.0,27.0,Kopech,Muñoz,Banks,2:28,N,25567.0,.00,1.0,
"Friday, Jun 14",CHW,@,ARI,L,1.0,7.0,9.0,18-53,5.0,28.0,Nelson,Flexen,None,2:19,N,23700.0,.00,-1.0,
