Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",CIN,Home,WSN,W,8.0,2.0,9.0,1-0,1.0,Tied,Montas,Gray,None,2:18,D,44030.0,.95,1.0,
"Saturday, Mar 30",CIN,Home,WSN,L,6.0,7.0,9.0,1-1,3.0,1.5,Harvey,Díaz,Finnegan,2:55,D,39674.0,.96,-1.0,
"Sunday, Mar 31",CIN,Home,WSN,W-wo,6.0,5.0,9.0,2-1,3.0,1.5,Sims,Finnegan,None,2:50,D,13590.0,.90,1.0,
"Monday, Apr 1",CIN,@,PHI,W,6.0,3.0,10.0,3-1,3.0,1.5,Díaz,Brogdon,None,3:04,N,33754.0,.94,2.0,
"Tuesday, Apr 2",CIN,@,PHI,L,4.0,9.0,9.0,3-2,3.0,2.0,Turnbull,Ashcraft,Pinto,2:44,N,28119.0,1.01,-1.0,
"Wednesday, Apr 3",CIN,@,PHI,W,4.0,1.0,9.0,4-2,3.0,1.0,Montas,Wheeler,Díaz,2:34,D,28077.0,.95,1.0,
"Friday, Apr 5",CIN,Home,NYM,L,2.0,3.0,9.0,4-3,4.0,1.5,Smith,Cruz,Díaz,2:58,N,16620.0,.97,-1.0,
"Saturday, Apr 6",CIN,Home,NYM,W,9.0,6.0,9.0,5-3,3.0,1.5,Pagán,Ramírez,None,2:38,D,28307.0,.93,1.0,
"Sunday, Apr 7",CIN,Home,NYM,L,1.0,3.0,9.0,5-4,4.0,2.5,Manaea,Abbott,Díaz,2:38,D,26656.0,.98,-1.0,
"Monday, Apr 8",CIN,Home,MIL,W,10.0,8.0,9.0,6-4,3.0,2.5,Ashcraft,Ashby,Díaz,2:48,N,10382.0,1.01,1.0,
"Tuesday, Apr 9",CIN,Home,MIL,L,5.0,9.0,9.0,6-5,4.0,2.5,Ross,Montas,None,2:57,N,12623.0,1.05,-1.0,
"Wednesday, Apr 10",CIN,Home,MIL,L,2.0,7.0,9.0,6-6,4.0,3.0,Wilson,Greene,None,2:12,N,10388.0,1.01,-2.0,
"Friday, Apr 12",CIN,@,CHW,W,11.0,1.0,9.0,7-6,3.0,2.5,Abbott,Flexen,None,2:43,N,11337.0,.88,1.0,
"Saturday, Apr 13",CIN,@,CHW,W,5.0,0.0,9.0,8-6,3.0,2.5,Lodolo,Crochet,None,2:29,D,22598.0,.88,2.0,
"Sunday, Apr 14",CIN,@,CHW,W,11.0,4.0,9.0,9-6,3.0,1.5,Ashcraft,Soroka,None,2:57,D,17589.0,.94,3.0,
"Monday, Apr 15",CIN,@,SEA,L,3.0,9.0,9.0,9-7,4.0,1.5,Kirby,Montas,None,2:30,N,16008.0,.94,-1.0,
"Tuesday, Apr 16",CIN,@,SEA,L,1.0,3.0,9.0,9-8,4.0,1.5,Gilbert,Pagán,Saucedo,2:51,N,17291.0,.93,-2.0,
"Wednesday, Apr 17",CIN,@,SEA,L,1.0,5.0,9.0,9-9,4.0,2.5,Miller,Abbott,None,2:20,D,17225.0,.92,-3.0,
"Friday, Apr 19",CIN,Home,LAA,W,7.0,1.0,9.0,10-9,4.0,2.5,Lodolo,Anderson,None,2:12,N,22539.0,.87,1.0,
"Saturday, Apr 20",CIN,Home,LAA,W,7.0,5.0,9.0,11-9,3.0,2.5,Ashcraft,Sandoval,Díaz,2:50,N,27343.0,.93,2.0,
"Sunday, Apr 21",CIN,Home,LAA,W,3.0,0.0,9.0,12-9,3.0,2.5,Pagán,Soriano,Díaz,2:36,D,25935.0,.95,3.0,
"Monday, Apr 22",CIN,Home,PHI,L,0.0,7.0,9.0,12-10,3.0,2.5,Suárez,Greene,None,2:02,N,11263.0,1.05,-1.0,
"Tuesday, Apr 23",CIN,Home,PHI,W,8.0,1.0,9.0,13-10,3.0,1.5,Cruz,Sánchez,None,2:35,N,13653.0,1.02,1.0,
"Wednesday, Apr 24",CIN,Home,PHI,W,7.0,4.0,9.0,14-10,3.0,1.5,Wilson,Domínguez,Díaz,3:04,N,14515.0,1.03,2.0,
"Thursday, Apr 25",CIN,Home,PHI,L,0.0,5.0,9.0,14-11,3.0,2.5,Wheeler,Martinez,None,2:35,D,17557.0,1.06,-1.0,
"Friday, Apr 26",CIN,@,TEX,L,1.0,2.0,9.0,14-12,3.0,3.5,Leclerc,Sims,Yates,2:21,N,28396.0,.97,-2.0,
"Saturday, Apr 27",CIN,@,TEX,W,8.0,4.0,9.0,15-12,3.0,2.5,Greene,Lorenzen,Díaz,2:34,D,36553.0,.87,1.0,
"Sunday, Apr 28",CIN,@,TEX,L,3.0,4.0,9.0,15-13,3.0,2.5,Dunning,Abbott,Yates,2:30,D,37008.0,.98,-1.0,
"Monday, Apr 29",CIN,@,SDP,W,5.0,2.0,9.0,16-13,3.0,2.0,Lodolo,Waldron,None,2:28,N,39158.0,.99,1.0,
"Tuesday, Apr 30",CIN,@,SDP,L,4.0,6.0,9.0,16-14,3.0,2.5,Darvish,Martinez,Suarez,2:41,N,36769.0,1.05,-1.0,
"Wednesday, May 1",CIN,@,SDP,L,2.0,6.0,9.0,16-15,3.0,3.5,De Los Santos,Cruz,None,2:30,D,32993.0,1.05,-2.0,
"Friday, May 3",CIN,Home,BAL,L,0.0,3.0,9.0,16-16,3.0,4.5,Irvin,Pagán,Kimbrel,2:34,N,25861.0,.95,-3.0,
"Saturday, May 4",CIN,Home,BAL,L,1.0,2.0,9.0,16-17,3.0,4.5,Means,Abbott,Cano,2:22,N,33202.0,.90,-4.0,
"Sunday, May 5",CIN,Home,BAL,L,1.0,11.0,9.0,16-18,3.0,4.5,Kremer,Lodolo,None,2:37,D,31514.0,.83,-5.0,
"Tuesday, May 7",CIN,Home,ARI,L,2.0,6.0,9.0,16-19,3.0,5.0,Gallen,Montas,None,2:27,N,14485.0,.80,-6.0,
"Wednesday, May 8",CIN,Home,ARI,L,3.0,4.0,9.0,16-20,3.0,5.0,Montgomery,Ashcraft,Mantiply,2:42,N,15660.0,.76,-7.0,
"Thursday, May 9",CIN,Home,ARI,L,4.0,5.0,9.0,16-21,4.0,6.0,Ginkel,Cruz,Sewald,2:51,D,18214.0,.71,-8.0,
"Friday, May 10",CIN,@,SFG,W,4.0,2.0,9.0,17-21,3.0,6.0,Abbott,Webb,Díaz,2:30,N,32867.0,.64,1.0,
"Saturday, May 11",CIN,@,SFG,L,1.0,5.0,9.0,17-22,4.0,7.0,Rogers,Lodolo,None,2:35,D,37321.0,.68,-1.0,
"Sunday, May 12",CIN,@,SFG,L-wo,5.0,6.0,10.0,17-23,4.0,7.0,Jackson,Pagán,None,3:13,D,36210.0,.65,-2.0,
"Monday, May 13",CIN,@,ARI,L-wo,5.0,6.0,9.0,17-24,4.0,7.0,Martinez,Díaz,None,3:18,N,18017.0,.60,-3.0,
"Tuesday, May 14",CIN,@,ARI,W,6.0,2.0,9.0,18-24,4.0,7.0,Greene,Cecconi,None,2:30,N,20068.0,.56,1.0,
"Wednesday, May 15",CIN,@,ARI,L,1.0,2.0,9.0,18-25,4.0,8.0,Thompson,Cruz,Sewald,1:59,D,16826.0,.60,-1.0,
"Thursday, May 16",CIN,@,LAD,W,7.0,2.0,9.0,19-25,4.0,7.5,Martinez,Glasnow,None,2:49,N,53527.0,.58,1.0,
"Friday, May 17",CIN,@,LAD,L,3.0,7.0,9.0,19-26,5.0,7.5,Grove,Cruz,None,2:19,N,46832.0,.63,-1.0,
