Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",CLE,@,OAK,W,8.0,0.0,9.0,1-0,1.0,Tied,Bieber,Wood,None,2:22,N,13522.0,.96,1.0,
"Friday, Mar 29",CLE,@,OAK,W,6.0,4.0,9.0,2-0,1.0,up 0.5,Allen,Stripling,Clase,2:39,N,3837.0,1.00,2.0,
"Saturday, Mar 30",CLE,@,OAK,W,12.0,3.0,9.0,3-0,1.0,up 0.5,Sandlin,Sears,None,3:01,D,5425.0,1.04,3.0,
"Sunday, Mar 31",CLE,@,OAK,L-wo,3.0,4.0,9.0,3-1,2.0,0.5,Jiménez,Barlow,None,2:30,D,4118.0,1.05,-1.0,
"Monday, Apr 1",CLE,@,SEA,L,4.0,5.0,9.0,3-2,2.0,1.5,Hancock,McKenzie,Stanek,2:35,N,21322.0,1.03,-2.0,
"Tuesday, Apr 2",CLE,@,SEA,W,5.0,2.0,9.0,4-2,2.0,1.0,Bieber,Castillo,Clase,2:27,N,20646.0,1.02,1.0,
"Wednesday, Apr 3",CLE,@,SEA,W,8.0,0.0,9.0,5-2,2.0,0.5,Allen,Kirby,None,2:22,D,22583.0,1.02,2.0,
"Thursday, Apr 4",CLE,@,MIN,W,4.0,2.0,9.0,6-2,1.0,Tied,Bibee,López,Clase,2:57,D,35595.0,1.12,3.0,
"Saturday, Apr 6",CLE,@,MIN,W,3.0,1.0,9.0,7-2,1.0,up 0.5,Sandlin,Ryan,Clase,2:51,D,25806.0,1.16,4.0,
"Monday, Apr 8",CLE,Home,CHW,W,4.0,0.0,9.0,8-2,1.0,up 2.0,McKenzie,Banks,None,2:35,N,35735.0,1.11,5.0,
"Tuesday, Apr 9",CLE,Home,CHW,L,5.0,7.0,9.0,8-3,1.0,up 1.0,Wilson,Barlow,Kopech,2:45,N,14887.0,1.16,-1.0,
"Wednesday, Apr 10",CLE,Home,CHW,W-wo,7.0,6.0,10.0,9-3,1.0,up 1.0,Morgan,Shaw,None,2:57,N,12405.0,1.16,1.0,
"Saturday, Apr 13 (1)",CLE,Home,NYY,L,2.0,3.0,9.0,9-4,2.0,0.5,Schmidt,Carrasco,Holmes,2:57,D,17089.0,1.14,-1.0,
"Saturday, Apr 13 (2)",CLE,Home,NYY,L,2.0,8.0,9.0,9-5,2.0,0.5,Poteet,McKenzie,None,2:28,N,31066.0,1.15,-2.0,
"Sunday, Apr 14",CLE,Home,NYY,W-wo,8.0,7.0,10.0,10-5,1.0,up 0.5,Beede,Ferguson,None,3:08,D,28119.0,1.16,1.0,
"Monday, Apr 15",CLE,@,BOS,W,6.0,0.0,9.0,11-5,1.0,up 0.5,Herrin,Bernardino,None,2:45,D,33008.0,1.18,2.0,
"Tuesday, Apr 16",CLE,@,BOS,W,10.0,7.0,11.0,12-5,1.0,up 1.0,Clase,Winckowski,Barlow,3:37,N,30133.0,1.19,3.0,
"Wednesday, Apr 17",CLE,@,BOS,L,0.0,2.0,9.0,12-6,1.0,up 0.5,Houck,Lively,None,1:49,N,32024.0,1.18,-1.0,
"Thursday, Apr 18",CLE,@,BOS,W,5.0,4.0,9.0,13-6,1.0,up 1.0,Carrasco,Criswell,Clase,2:39,D,35494.0,1.16,1.0,
"Friday, Apr 19",CLE,Home,OAK,W,10.0,2.0,9.0,14-6,1.0,up 1.0,McKenzie,Boyle,None,2:15,N,16262.0,1.19,2.0,
"Saturday, Apr 20",CLE,Home,OAK,W,6.0,3.0,9.0,15-6,1.0,up 2.0,Allen,Wood,Clase,2:36,N,19487.0,1.17,3.0,
"Sunday, Apr 21",CLE,Home,OAK,W,6.0,2.0,9.0,16-6,1.0,up 3.0,Bibee,Stripling,None,2:39,D,16905.0,1.20,4.0,
"Tuesday, Apr 23",CLE,Home,BOS,W,4.0,1.0,9.0,17-6,1.0,up 3.5,Barlow,Houck,Clase,2:18,N,13543.0,1.21,5.0,
"Wednesday, Apr 24",CLE,Home,BOS,L,0.0,8.0,9.0,17-7,1.0,up 2.5,Criswell,Carrasco,None,2:28,N,13916.0,1.17,-1.0,
"Thursday, Apr 25",CLE,Home,BOS,W,6.0,4.0,9.0,18-7,1.0,up 2.5,Gaddis,Anderson,Clase,2:49,D,16082.0,1.22,1.0,
"Friday, Apr 26",CLE,@,ATL,L,2.0,6.0,9.0,18-8,1.0,up 1.5,Sale,Allen,None,2:35,N,40210.0,1.19,-1.0,
"Saturday, Apr 27",CLE,@,ATL,W,4.0,2.0,11.0,19-8,1.0,up 2.5,Barlow,Lee,Sandlin,2:47,N,41696.0,1.15,1.0,
"Sunday, Apr 28",CLE,@,ATL,L-wo,3.0,4.0,10.0,19-9,1.0,up 2.5,Minter,Clase,None,2:55,D,40758.0,1.16,-1.0,
"Tuesday, Apr 30",CLE,@,HOU,L-wo,9.0,10.0,10.0,19-10,1.0,up 2.0,Hader,Gaddis,None,3:17,N,29711.0,1.22,-2.0,
"Wednesday, May 1",CLE,@,HOU,W,3.0,2.0,10.0,20-10,1.0,up 2.0,Smith,Dubin,Clase,2:36,N,25733.0,1.23,1.0,
"Thursday, May 2",CLE,@,HOU,L,2.0,8.0,9.0,20-11,1.0,up 1.5,Scott,Allen,None,2:39,N,26600.0,1.18,-1.0,
"Friday, May 3",CLE,Home,LAA,L,0.0,6.0,9.0,20-12,1.0,up 0.5,Soriano,Bibee,None,2:41,N,19698.0,1.20,-2.0,
"Saturday, May 4",CLE,Home,LAA,W,7.0,1.0,9.0,21-12,1.0,up 1.5,Lively,Detmers,None,2:15,N,26292.0,1.21,1.0,
"Sunday, May 5",CLE,Home,LAA,W,4.0,1.0,9.0,22-12,1.0,up 2.5,Carrasco,Canning,Clase,2:15,D,19579.0,1.25,2.0,
"Monday, May 6",CLE,Home,DET,W,2.0,1.0,9.0,23-12,1.0,up 2.5,Sandlin,Flaherty,Clase,2:21,N,15029.0,1.34,3.0,
"Tuesday, May 7",CLE,Home,DET,L,7.0,11.0,9.0,23-13,1.0,up 2.5,Holton,Avila,None,2:45,N,15531.0,1.35,-1.0,
"Wednesday, May 8",CLE,Home,DET,W-wo,5.0,4.0,10.0,24-13,1.0,up 2.5,Clase,Lange,None,2:42,D,20788.0,1.36,1.0,
"Thursday, May 9",CLE,@,CHW,L,2.0,3.0,9.0,24-14,1.0,up 1.5,Fedde,Lively,Kopech,2:22,N,10495.0,1.16,-1.0,
"Friday, May 10",CLE,@,CHW,L,3.0,6.0,9.0,24-15,1.0,up 0.5,Crochet,Carrasco,Leasure,2:15,N,17319.0,1.17,-2.0,
"Saturday, May 11",CLE,@,CHW,L,1.0,3.0,9.0,24-16,1.0,up 0.5,Hill,McKenzie,Brebbia,2:16,N,26152.0,1.23,-3.0,
"Sunday, May 12",CLE,@,CHW,W,7.0,0.0,9.0,25-16,1.0,up 0.5,Allen,Soroka,None,2:12,D,15529.0,1.21,1.0,
"Monday, May 13",CLE,@,TEX,W,7.0,0.0,9.0,26-16,1.0,up 1.0,Gaddis,Leclerc,None,2:46,N,27100.0,1.28,2.0,
"Tuesday, May 14",CLE,@,TEX,W,7.0,4.0,9.0,27-16,1.0,up 1.5,Lively,Leiter,Clase,2:56,N,33885.0,1.30,3.0,
"Wednesday, May 15",CLE,@,TEX,L,0.0,4.0,9.0,27-17,1.0,up 1.5,Gray,Carrasco,None,2:26,N,29276.0,1.29,-1.0,
"Friday, May 17",CLE,Home,MIN,W,3.0,2.0,9.0,28-17,1.0,up 1.5,Herrin,Durán,Clase,2:32,N,30121.0,1.43,1.0,
"Saturday, May 18",CLE,Home,MIN,W,11.0,4.0,9.0,29-17,1.0,up 1.5,Allen,Ober,None,2:45,N,35545.0,1.40,2.0,
"Sunday, May 19",CLE,Home,MIN,W-wo,5.0,2.0,9.0,30-17,1.0,up 1.5,Clase,Durán,None,2:16,D,25136.0,1.38,3.0,
"Monday, May 20",CLE,Home,NYM,W,3.0,1.0,9.0,31-17,1.0,up 1.5,Lively,Megill,Clase,2:16,N,20046.0,1.15,4.0,
"Tuesday, May 21",CLE,Home,NYM,W,7.0,6.0,9.0,32-17,1.0,up 1.5,Sandlin,Houser,Clase,2:35,N,20977.0,1.17,5.0,
"Wednesday, May 22",CLE,Home,NYM,W,6.0,3.0,9.0,33-17,1.0,up 1.5,Gaddis,Garrett,Smith,2:45,D,22322.0,1.16,6.0,
"Friday, May 24",CLE,@,LAA,W,10.0,4.0,9.0,34-17,1.0,up 1.5,Allen,Sandoval,None,2:40,N,37618.0,1.12,7.0,
"Saturday, May 25",CLE,@,LAA,W,4.0,3.0,9.0,35-17,1.0,up 1.5,Bibee,Soriano,Clase,2:22,N,35861.0,1.08,8.0,
"Sunday, May 26",CLE,@,LAA,W,5.0,4.0,9.0,36-17,1.0,up 2.5,Lively,Detmers,Clase,2:33,D,38741.0,1.02,9.0,
"Monday, May 27",CLE,@,COL,L,6.0,8.0,9.0,36-18,1.0,up 2.5,Rogers,Curry,Beeks,2:42,D,35122.0,1.02,-1.0,
