Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",COL,@,ARI,L,1.0,16.0,9.0,0-1,4.0,1.0,Gallen,Freeland,None,2:37,N,49011.0,1.00,-1.0,
"Friday, Mar 29",COL,@,ARI,L,3.0,7.0,9.0,0-2,5.0,2.0,Kelly,Quantrill,None,2:36,N,29480.0,.96,-2.0,
"Saturday, Mar 30",COL,@,ARI,W,9.0,4.0,9.0,1-2,4.0,1.0,Lambert,Henry,None,3:17,N,32133.0,.92,1.0,
"Sunday, Mar 31",COL,@,ARI,L,1.0,5.0,9.0,1-3,5.0,2.0,Pfaadt,Feltner,None,2:22,D,21824.0,.97,-1.0,
"Monday, Apr 1",COL,@,CHC,L,0.0,5.0,9.0,1-4,5.0,3.0,Imanaga,Hudson,None,2:26,D,40072.0,.85,-2.0,
"Tuesday, Apr 2",COL,@,CHC,L,2.0,12.0,9.0,1-5,5.0,4.0,Assad,Freeland,None,2:37,N,26555.0,.83,-3.0,
"Wednesday, Apr 3",COL,@,CHC,L,8.0,9.0,9.0,1-6,5.0,5.0,Alzolay,Mears,None,3:00,N,25900.0,.81,-4.0,
"Friday, Apr 5",COL,Home,TBR,W-wo,10.0,7.0,9.0,2-6,5.0,4.0,Beeks,Fairbanks,None,3:10,D,48399.0,.72,1.0,
"Saturday, Apr 6",COL,Home,TBR,L,6.0,8.0,9.0,2-7,5.0,5.0,Cleavinger,Beeks,Poche,3:03,N,29238.0,.71,-1.0,
"Sunday, Apr 7",COL,Home,TBR,L,2.0,3.0,9.0,2-8,5.0,5.0,Pepiot,Hudson,Armstrong,2:43,D,25566.0,.68,-2.0,
"Monday, Apr 8",COL,Home,ARI,W,7.0,5.0,9.0,3-8,5.0,5.0,Lambert,McGough,Bird,3:07,N,18870.0,.72,1.0,
"Tuesday, Apr 9",COL,Home,ARI,L,2.0,3.0,9.0,3-9,5.0,6.0,Kelly,Quantrill,Ginkel,2:38,N,19359.0,.79,-1.0,
"Wednesday, Apr 10",COL,Home,ARI,L,3.0,5.0,9.0,3-10,5.0,6.0,Mantiply,Lawrence,Ginkel,2:53,D,18311.0,.69,-2.0,
"Friday, Apr 12",COL,@,TOR,W,12.0,4.0,9.0,4-10,5.0,5.0,Feltner,Gausman,None,2:53,N,29035.0,.62,1.0,
"Saturday, Apr 13",COL,@,TOR,L,3.0,5.0,9.0,4-11,5.0,6.0,Francis,Hudson,García,2:32,D,31472.0,.66,-1.0,
"Sunday, Apr 14",COL,@,TOR,L,0.0,5.0,9.0,4-12,5.0,6.0,Berríos,Freeland,None,2:32,D,27481.0,.59,-2.0,
"Monday, Apr 15",COL,@,PHI,L-wo,1.0,2.0,10.0,4-13,5.0,6.0,Domínguez,Bird,None,2:40,N,35496.0,.58,-3.0,
"Tuesday, Apr 16",COL,@,PHI,L,0.0,5.0,9.0,4-14,5.0,7.0,Suárez,Gomber,None,2:07,N,35010.0,.53,-4.0,
"Wednesday, Apr 17",COL,@,PHI,L,6.0,7.0,9.0,4-15,5.0,7.0,Sánchez,Feltner,Alvarado,2:51,N,35706.0,.51,-5.0,
"Saturday, Apr 20",COL,Home,SEA,L,0.0,7.0,9.0,4-16,5.0,6.5,Castillo,Hudson,None,2:32,N,25376.0,.42,-6.0,
"Sunday, Apr 21 (1)",COL,Home,SEA,W-wo,2.0,1.0,10.0,5-16,5.0,7.0,Lawrence,Muñoz,None,2:57,D,33283.0,.37,1.0,
"Sunday, Apr 21 (2)",COL,Home,SEA,L,2.0,10.0,9.0,5-17,5.0,7.0,Hancock,Lambert,None,2:33,N,19756.0,.40,-1.0,
"Monday, Apr 22",COL,Home,SDP,L,1.0,3.0,9.0,5-18,5.0,7.5,Cease,Mears,Suarez,2:15,N,18515.0,.41,-2.0,
"Tuesday, Apr 23",COL,Home,SDP,W,7.0,4.0,9.0,6-18,5.0,7.5,Beeks,King,Lawrence,2:42,N,18822.0,.36,1.0,
"Wednesday, Apr 24",COL,Home,SDP,L,2.0,5.0,9.0,6-19,5.0,8.5,Waldron,Blach,Suarez,2:18,N,19356.0,.39,-1.0,
"Thursday, Apr 25",COL,Home,SDP,W,10.0,9.0,9.0,7-19,5.0,8.5,Kinley,Peralta,Lawrence,3:06,D,27705.0,.32,1.0,
"Saturday, Apr 27",COL,Home,HOU,L,4.0,12.0,9.0,7-20,5.0,10.0,Blanco,Quantrill,None,3:09,N,19934.0,.32,-1.0,
"Sunday, Apr 28",COL,Home,HOU,L,2.0,8.0,9.0,7-21,5.0,10.0,Valdez,Gomber,None,2:23,D,19841.0,.27,-2.0,
"Tuesday, Apr 30",COL,@,MIA,L-wo,6.0,7.0,10.0,7-22,5.0,10.5,Scott,Beeks,None,2:41,N,6706.0,.28,-3.0,
