Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",DET,@,CHW,W,1.0,0.0,9.0,1-0,1.0,Tied,Skubal,Crochet,Foley,2:03,D,33420.0,.99,1.0,
"Saturday, Mar 30",DET,@,CHW,W,7.0,6.0,10.0,2-0,2.0,0.5,Miller,García,None,3:05,D,28176.0,1.02,2.0,
"Sunday, Mar 31",DET,@,CHW,W,3.0,2.0,9.0,3-0,1.0,up 0.5,Holton,Wilson,Foley,2:41,D,17478.0,1.05,3.0,
"Monday, Apr 1",DET,@,NYM,W,5.0,0.0,10.0,4-0,1.0,up 1.5,Foley,Tonkin,None,2:46,N,16853.0,1.02,4.0,
"Thursday, Apr 4 (1)",DET,@,NYM,W,6.0,3.0,11.0,5-0,1.0,Tied,Miller,Tonkin,None,3:25,D,,.99,5.0,
"Thursday, Apr 4 (2)",DET,@,NYM,L-wo,1.0,2.0,9.0,5-1,1.0,Tied,Garrett,Faedo,None,2:23,D,15020.0,1.02,-1.0,
"Friday, Apr 5",DET,Home,OAK,W,5.0,4.0,9.0,6-1,1.0,up 0.5,Foley,Erceg,Lange,2:33,D,44711.0,1.09,1.0,
"Saturday, Apr 6",DET,Home,OAK,L,0.0,4.0,9.0,6-2,2.0,0.5,Blackburn,Maeda,None,2:31,D,27529.0,1.10,-1.0,
"Sunday, Apr 7",DET,Home,OAK,L,1.0,7.0,9.0,6-3,2.0,1.0,Boyle,Flaherty,None,2:34,D,15174.0,1.07,-2.0,
"Monday, Apr 8",DET,@,PIT,L,4.0,7.0,9.0,6-4,2.0,2.0,Keller,Olson,None,2:35,N,9957.0,1.02,-3.0,
"Tuesday, Apr 9",DET,@,PIT,W,5.0,3.0,9.0,7-4,2.0,1.0,Miller,Bednar,Foley,2:20,D,10058.0,.97,1.0,
"Friday, Apr 12",DET,Home,MIN,W,8.0,2.0,9.0,8-4,2.0,1.0,Skubal,López,None,2:47,N,12434.0,1.12,2.0,
"Saturday, Apr 13 (1)",DET,Home,MIN,L,5.0,11.0,12.0,8-5,3.0,1.5,Alcalá,Lange,None,3:13,D,,1.16,-1.0,
"Saturday, Apr 13 (2)",DET,Home,MIN,L,1.0,4.0,9.0,8-6,3.0,1.5,Woods Richardson,Manning,Sands,2:15,D,22548.0,1.14,-2.0,
"Sunday, Apr 14",DET,Home,MIN,W,4.0,3.0,9.0,9-6,3.0,1.0,Vest,Jax,Foley,2:27,D,17317.0,1.09,1.0,
"Monday, Apr 15",DET,Home,TEX,L,0.0,1.0,9.0,9-7,3.0,2.0,Lorenzen,Olson,Yates,2:21,N,12005.0,1.10,-1.0,
"Tuesday, Apr 16",DET,Home,TEX,W,4.0,2.0,9.0,10-7,3.0,2.0,Chafin,Ureña,Foley,2:23,D,10377.0,1.02,1.0,
"Wednesday, Apr 17",DET,Home,TEX,L,4.0,5.0,9.0,10-8,3.0,2.0,Yates,Miller,None,2:37,D,10259.0,1.04,-1.0,
"Thursday, Apr 18",DET,Home,TEX,L,7.0,9.0,9.0,10-9,3.0,3.0,Leclerc,Miller,Yates,3:04,D,11339.0,1.06,-2.0,
"Friday, Apr 19",DET,@,MIN,W,5.0,4.0,9.0,11-9,3.0,3.0,Chafin,Thielbar,Foley,2:32,N,13849.0,1.01,1.0,
"Saturday, Apr 20",DET,@,MIN,L,3.0,4.0,9.0,11-10,3.0,4.0,Ober,Olson,Jax,2:27,D,20064.0,1.03,-1.0,
"Sunday, Apr 21",DET,@,MIN,W,6.0,1.0,9.0,12-10,3.0,4.0,Mize,Varland,None,2:37,D,17757.0,1.00,1.0,
"Monday, Apr 22",DET,@,TBR,W,7.0,1.0,9.0,13-10,2.0,3.5,Skubal,Littell,None,2:16,N,13522.0,1.05,2.0,
"Tuesday, Apr 23",DET,@,TBR,W,4.0,2.0,9.0,14-10,2.0,3.5,Faedo,Poche,Foley,2:20,N,13648.0,1.08,3.0,
"Wednesday, Apr 24",DET,@,TBR,L,5.0,7.0,9.0,14-11,3.0,3.5,Devenski,Vest,Cleavinger,2:32,N,13754.0,1.08,-1.0,
"Friday, Apr 26",DET,Home,KCR,L,0.0,8.0,9.0,14-12,3.0,4.0,Lugo,Olson,None,2:30,D,17251.0,1.15,-2.0,
"Saturday, Apr 27",DET,Home,KCR,W,6.0,5.0,9.0,15-12,3.0,4.0,Faedo,Stratton,Foley,2:30,N,22734.0,1.11,1.0,
"Sunday, Apr 28",DET,Home,KCR,W,4.0,1.0,9.0,16-12,3.0,3.0,Skubal,Wacha,Foley,2:10,D,18794.0,1.16,2.0,
"Tuesday, Apr 30 (1)",DET,Home,STL,L,1.0,2.0,9.0,16-13,3.0,2.5,Liberatore,Miller,Helsley,2:19,D,,1.04,-1.0,
"Tuesday, Apr 30 (2)",DET,Home,STL,W,11.0,6.0,9.0,17-13,3.0,2.5,Holton,Leahy,None,3:00,D,16290.0,.97,1.0,
"Wednesday, May 1",DET,Home,STL,W,4.0,1.0,9.0,18-13,3.0,2.5,Maeda,Mikolas,Lange,2:21,D,16035.0,1.07,2.0,
