Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",HOU,Home,NYY,L,4.0,5.0,9.0,0-1,2.0,1.0,Loáisiga,Pressly,Holmes,2:41,D,42642.0,.97,-1.0,
"Friday, Mar 29",HOU,Home,NYY,L,1.0,7.0,9.0,0-2,4.0,1.5,Weaver,Scott,None,3:17,N,41583.0,.92,-2.0,
"Saturday, Mar 30",HOU,Home,NYY,L,3.0,5.0,9.0,0-3,4.0,2.5,Stroman,Abreu,Holmes,2:54,N,41247.0,.85,-3.0,
"Sunday, Mar 31",HOU,Home,NYY,L,3.0,4.0,9.0,0-4,5.0,2.5,Burdi,Hader,Holmes,2:56,D,36908.0,.78,-4.0,
"Monday, Apr 1",HOU,Home,TOR,W,10.0,0.0,9.0,1-4,4.0,2.5,Blanco,Francis,None,2:01,N,27285.0,.73,1.0,
"Tuesday, Apr 2",HOU,Home,TOR,L,1.0,2.0,9.0,1-5,4.0,2.5,Green,Hader,None,2:28,N,28811.0,.81,-1.0,
"Wednesday, Apr 3",HOU,Home,TOR,W,8.0,0.0,9.0,2-5,4.0,2.5,Javier,Bassitt,None,2:45,N,26279.0,.74,1.0,
"Friday, Apr 5",HOU,@,TEX,L,2.0,10.0,9.0,2-6,4.0,3.5,Bradford,Brown,None,2:34,N,34583.0,.84,-1.0,
"Saturday, Apr 6",HOU,@,TEX,L,2.0,7.0,9.0,2-7,4.0,4.5,Yates,France,Leclerc,2:58,N,39594.0,.79,-2.0,
"Sunday, Apr 7",HOU,@,TEX,W,3.0,1.0,9.0,3-7,4.0,3.5,Blanco,Dunning,Hader,2:23,N,35681.0,.71,1.0,
"Monday, Apr 8",HOU,@,TEX,W,10.0,5.0,9.0,4-7,3.0,2.5,Martinez,Heaney,None,2:36,N,31737.0,.84,2.0,
"Tuesday, Apr 9",HOU,@,KCR,L-wo,3.0,4.0,10.0,4-8,4.0,2.5,McArthur,Suero,None,3:03,N,11926.0,.78,-1.0,
"Wednesday, Apr 10",HOU,@,KCR,L,2.0,11.0,9.0,4-9,5.0,3.5,Lugo,Arrighetti,None,2:37,N,10536.0,.75,-2.0,
