Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",KCR,Home,MIN,L,1.0,4.0,9.0,0-1,4.0,1.0,López,Ragans,Jax,2:29,D,38775.0,1.03,-1.0,
"Saturday, Mar 30",KCR,Home,MIN,L,1.0,5.0,9.0,0-2,4.0,2.5,Jax,Smith,None,2:41,D,19461.0,.95,-2.0,
"Sunday, Mar 31",KCR,Home,MIN,W,11.0,0.0,9.0,1-2,4.0,2.0,Singer,Ober,None,2:25,D,13005.0,.87,1.0,
"Monday, Apr 1",KCR,@,BAL,L-wo,4.0,6.0,9.0,1-3,4.0,3.0,Kimbrel,Anderson,None,2:35,N,12666.0,.88,-1.0,
"Tuesday, Apr 2",KCR,@,BAL,W,4.0,1.0,9.0,2-3,4.0,2.5,Marsh,Irvin,Smith,2:17,N,9404.0,.86,1.0,
"Wednesday, Apr 3",KCR,@,BAL,L-wo,3.0,4.0,9.0,2-4,4.0,3.0,Cano,Smith,None,2:35,D,11488.0,.92,-1.0,
"Thursday, Apr 4",KCR,Home,CHW,W,10.0,1.0,9.0,3-4,4.0,2.5,Lugo,Soroka,None,2:26,N,10863.0,.80,1.0,
"Friday, Apr 5",KCR,Home,CHW,W,2.0,1.0,9.0,4-4,3.0,2.5,Stratton,Kopech,McArthur,2:20,N,10592.0,.87,2.0,
"Saturday, Apr 6",KCR,Home,CHW,W,3.0,0.0,9.0,5-4,3.0,2.0,Wacha,Flexen,Stratton,2:11,N,15463.0,.92,3.0,
"Sunday, Apr 7",KCR,Home,CHW,W,5.0,3.0,9.0,6-4,3.0,1.5,Schreiber,García,McArthur,2:29,D,14251.0,.98,4.0,
"Tuesday, Apr 9",KCR,Home,HOU,W-wo,4.0,3.0,10.0,7-4,2.0,1.0,McArthur,Suero,None,3:03,N,11926.0,1.02,5.0,
"Wednesday, Apr 10",KCR,Home,HOU,W,11.0,2.0,9.0,8-4,2.0,1.0,Lugo,Arrighetti,None,2:37,N,10536.0,1.06,6.0,
"Thursday, Apr 11",KCR,Home,HOU,W,13.0,3.0,9.0,9-4,2.0,0.5,Singer,Brown,None,2:41,D,10280.0,1.06,7.0,
"Friday, Apr 12",KCR,@,NYM,L,1.0,6.0,9.0,9-5,2.0,1.0,Severino,Wacha,None,2:18,N,18822.0,1.04,-1.0,
"Saturday, Apr 13",KCR,@,NYM,W,11.0,7.0,9.0,10-5,1.0,up 0.5,Marsh,Manaea,None,2:56,D,25387.0,1.01,1.0,
"Sunday, Apr 14",KCR,@,NYM,L,1.0,2.0,9.0,10-6,2.0,0.5,Raley,Stratton,Díaz,2:22,D,32749.0,1.09,-1.0,
"Monday, Apr 15",KCR,@,CHW,W,2.0,0.0,9.0,11-6,2.0,0.5,Lugo,Nastrini,McArthur,2:17,N,10569.0,1.10,1.0,
"Wednesday, Apr 17 (1)",KCR,@,CHW,W,4.0,2.0,9.0,12-6,2.0,0.5,Anderson,Kopech,McArthur,2:31,D,,1.08,2.0,
"Wednesday, Apr 17 (2)",KCR,@,CHW,L,1.0,2.0,9.0,12-7,2.0,0.5,Fedde,Wacha,García,2:16,D,10412.0,1.08,-1.0,
"Friday, Apr 19",KCR,Home,BAL,W,9.0,4.0,9.0,13-7,2.0,1.0,Marsh,Kremer,None,2:42,N,17073.0,1.15,1.0,
"Saturday, Apr 20",KCR,Home,BAL,L,7.0,9.0,9.0,13-8,2.0,2.0,Burnes,Ragans,Kimbrel,3:04,N,23118.0,1.15,-1.0,
"Sunday, Apr 21",KCR,Home,BAL,L,0.0,5.0,9.0,13-9,2.0,3.0,Irvin,Lugo,None,2:41,D,18044.0,1.13,-2.0,
"Monday, Apr 22",KCR,Home,TOR,L,3.0,5.0,9.0,13-10,2.0,3.5,Kikuchi,Singer,Romano,2:23,N,10004.0,1.10,-3.0,
"Tuesday, Apr 23",KCR,Home,TOR,W,3.0,2.0,9.0,14-10,2.0,3.5,Stratton,Gausman,McArthur,2:33,N,11373.0,1.05,1.0,
"Wednesday, Apr 24",KCR,Home,TOR,W,3.0,2.0,9.0,15-10,2.0,2.5,Schreiber,Rodríguez,McArthur,2:38,N,10282.0,1.07,2.0,
"Thursday, Apr 25",KCR,Home,TOR,W,2.0,1.0,5.0,16-10,2.0,2.5,Ragans,Berríos,None,1:33,D,9740.0,1.12,3.0,
"Friday, Apr 26",KCR,@,DET,W,8.0,0.0,9.0,17-10,2.0,1.5,Lugo,Olson,None,2:30,D,17251.0,1.21,4.0,
"Saturday, Apr 27",KCR,@,DET,L,5.0,6.0,9.0,17-11,2.0,2.5,Faedo,Stratton,Foley,2:30,N,22734.0,1.24,-1.0,
"Sunday, Apr 28",KCR,@,DET,L,1.0,4.0,9.0,17-12,2.0,2.5,Skubal,Wacha,Foley,2:10,D,18794.0,1.28,-2.0,
"Monday, Apr 29",KCR,@,TOR,L,5.0,6.0,9.0,17-13,2.0,3.0,Cabrera,Bowlan,Pearson,2:56,N,29879.0,1.15,-3.0,
"Tuesday, Apr 30",KCR,@,TOR,W,4.0,1.0,9.0,18-13,2.0,2.0,Ragans,Berríos,McArthur,2:19,N,27189.0,1.09,1.0,
"Wednesday, May 1",KCR,@,TOR,W,6.0,1.0,9.0,19-13,2.0,2.0,Lugo,Bassitt,None,2:19,D,32307.0,1.14,2.0,
"Friday, May 3",KCR,Home,TEX,W,7.0,1.0,9.0,20-13,2.0,0.5,Schreiber,Winn,None,2:24,N,25690.0,1.15,3.0,
"Saturday, May 4",KCR,Home,TEX,L,4.0,15.0,9.0,20-14,2.0,1.5,Sborz,Wacha,None,2:50,N,26002.0,1.19,-1.0,
"Sunday, May 5",KCR,Home,TEX,L,2.0,3.0,10.0,20-15,2.0,2.5,Yates,McArthur,Robertson,2:32,D,20613.0,1.15,-2.0,
"Monday, May 6",KCR,Home,MIL,W,3.0,2.0,9.0,21-15,2.0,2.5,Anderson,Koenig,Stratton,2:27,N,10005.0,1.09,1.0,
"Tuesday, May 7",KCR,Home,MIL,L,5.0,6.0,9.0,21-16,2.0,2.5,Koenig,McArthur,Megill,2:32,N,14657.0,1.10,-1.0,
"Wednesday, May 8",KCR,Home,MIL,W,6.0,4.0,9.0,22-16,2.0,2.5,Singer,Ross,McArthur,2:38,D,22430.0,1.05,1.0,
"Thursday, May 9",KCR,@,LAA,W,10.0,4.0,9.0,23-16,2.0,1.5,Wacha,Detmers,None,2:44,N,23568.0,1.10,2.0,
"Friday, May 10",KCR,@,LAA,W,2.0,1.0,9.0,24-16,2.0,0.5,Duffey,Estévez,Schreiber,2:38,N,29126.0,1.14,3.0,
"Saturday, May 11",KCR,@,LAA,L,3.0,9.0,9.0,24-17,2.0,0.5,Anderson,Ragans,None,2:21,N,31593.0,1.16,-1.0,
"Sunday, May 12",KCR,@,LAA,W,4.0,2.0,9.0,25-17,2.0,0.5,Lugo,Sandoval,McArthur,2:18,D,27723.0,1.19,1.0,
"Monday, May 13",KCR,@,SEA,L,2.0,6.0,9.0,25-18,3.0,1.5,Kirby,Singer,Muñoz,2:32,N,14984.0,1.22,-1.0,
"Tuesday, May 14",KCR,@,SEA,W,4.0,2.0,9.0,26-18,2.0,1.5,Wacha,Gilbert,McArthur,2:31,N,20665.0,1.21,1.0,
"Wednesday, May 15",KCR,@,SEA,L,2.0,4.0,9.0,26-19,2.0,1.5,Woo,Marsh,Muñoz,2:57,D,22233.0,1.23,-1.0,
"Friday, May 17",KCR,Home,OAK,W,6.0,2.0,9.0,27-19,2.0,1.5,Ragans,Spence,None,2:27,N,24585.0,1.20,1.0,
"Saturday, May 18",KCR,Home,OAK,W,5.0,3.0,9.0,28-19,2.0,1.5,Lugo,Stripling,McArthur,2:19,N,22014.0,1.15,2.0,
