Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",LAA,@,BAL,L,3.0,11.0,9.0,0-1,2.0,1.0,Burnes,Sandoval,None,2:43,D,45029.0,.95,-1.0,
"Saturday, Mar 30",LAA,@,BAL,L,4.0,13.0,9.0,0-2,3.0,2.0,Rodriguez,Canning,None,2:55,D,28420.0,.91,-2.0,
"Sunday, Mar 31",LAA,@,BAL,W,4.0,1.0,9.0,1-2,3.0,1.0,Detmers,Wells,Estévez,2:19,D,20576.0,.86,1.0,
"Monday, Apr 1",LAA,@,MIA,W,7.0,4.0,9.0,2-2,3.0,1.0,Cimber,Scott,Estévez,2:52,N,9411.0,.89,2.0,
"Tuesday, Apr 2",LAA,@,MIA,W,3.0,1.0,9.0,3-2,1.0,Tied,Anderson,Luzardo,García,2:18,N,9033.0,.93,3.0,
"Wednesday, Apr 3",LAA,@,MIA,W,10.0,2.0,9.0,4-2,1.0,Tied,Sandoval,Puk,Zuñiga,2:46,D,8573.0,.99,4.0,
"Friday, Apr 5",LAA,Home,BOS,L,6.0,8.0,9.0,4-3,2.0,1.0,Martin,Soriano,Jansen,3:11,N,44714.0,1.04,-1.0,
"Saturday, Apr 6",LAA,Home,BOS,W,2.0,1.0,9.0,5-3,2.0,1.0,Detmers,Weissert,Estévez,2:42,N,44485.0,1.02,1.0,
"Sunday, Apr 7",LAA,Home,BOS,L,2.0,12.0,9.0,5-4,2.0,1.0,Houck,Silseth,Anderson,2:56,D,38917.0,1.07,-1.0,
"Monday, Apr 8",LAA,Home,TBR,W,7.0,1.0,9.0,6-4,1.0,Tied,Anderson,Eflin,None,2:14,N,18748.0,.98,1.0,
"Tuesday, Apr 9",LAA,Home,TBR,L,4.0,6.0,9.0,6-5,1.0,Tied,Civale,Sandoval,Fairbanks,2:46,N,20271.0,1.05,-1.0,
"Wednesday, Apr 10",LAA,Home,TBR,L,2.0,4.0,9.0,6-6,2.0,1.0,Kelly,Soriano,Fairbanks,2:32,D,16600.0,.98,-2.0,
"Friday, Apr 12",LAA,@,BOS,W,7.0,0.0,9.0,7-6,2.0,0.5,Detmers,Houck,None,2:20,N,26106.0,.94,1.0,
"Saturday, Apr 13",LAA,@,BOS,L,2.0,7.0,9.0,7-7,2.0,0.5,Weissert,Canning,None,2:28,D,31878.0,1.00,-1.0,
"Sunday, Apr 14",LAA,@,BOS,L,4.0,5.0,9.0,7-8,2.0,0.5,Bello,Anderson,Jansen,2:55,D,30792.0,.96,-2.0,
"Monday, Apr 15",LAA,@,TBR,W,7.0,3.0,9.0,8-8,2.0,0.5,García,Maton,None,2:34,N,12267.0,.96,1.0,
"Tuesday, Apr 16",LAA,@,TBR,L-wo,6.0,7.0,13.0,8-9,2.0,0.5,Cleavinger,Fulmer,None,3:29,N,12160.0,1.01,-1.0,
"Wednesday, Apr 17",LAA,@,TBR,W,5.0,4.0,9.0,9-9,2.0,0.5,Strickland,Fairbanks,None,2:42,N,10844.0,.96,1.0,
"Thursday, Apr 18",LAA,@,TBR,L,1.0,2.0,9.0,9-10,2.0,1.5,Pepiot,Canning,Poche,2:15,D,10648.0,1.00,-1.0,
"Friday, Apr 19",LAA,@,CIN,L,1.0,7.0,9.0,9-11,3.0,1.5,Lodolo,Anderson,None,2:12,N,22539.0,.94,-2.0,
"Saturday, Apr 20",LAA,@,CIN,L,5.0,7.0,9.0,9-12,3.0,1.5,Ashcraft,Sandoval,Díaz,2:50,N,27343.0,.90,-3.0,
"Sunday, Apr 21",LAA,@,CIN,L,0.0,3.0,9.0,9-13,3.0,2.5,Pagán,Soriano,Díaz,2:36,D,25935.0,.85,-4.0,
"Monday, Apr 22",LAA,Home,BAL,L,2.0,4.0,9.0,9-14,3.0,3.0,Suárez,Detmers,Kimbrel,2:36,N,26081.0,.82,-5.0,
"Tuesday, Apr 23",LAA,Home,BAL,W,7.0,4.0,9.0,10-14,3.0,2.5,Canning,Rodriguez,Estévez,2:45,N,22803.0,.74,1.0,
"Wednesday, Apr 24",LAA,Home,BAL,L,5.0,6.0,9.0,10-15,3.0,3.0,Kremer,Anderson,Kimbrel,2:57,D,19557.0,.84,-1.0,
"Friday, Apr 26",LAA,Home,MIN,L,3.0,5.0,9.0,10-16,4.0,4.0,Ober,Sandoval,Thielbar,2:50,N,31087.0,.71,-2.0,
"Saturday, Apr 27",LAA,Home,MIN,L,5.0,16.0,9.0,10-17,4.0,5.0,Paddack,Soriano,None,3:05,N,44478.0,.71,-3.0,
"Sunday, Apr 28",LAA,Home,MIN,L,5.0,11.0,9.0,10-18,4.0,5.0,López,Detmers,None,3:01,D,38955.0,.63,-4.0,
"Monday, Apr 29",LAA,Home,PHI,W,6.0,5.0,9.0,11-18,4.0,5.0,Cimber,Domínguez,Estévez,2:43,N,25449.0,.55,1.0,
"Tuesday, Apr 30",LAA,Home,PHI,L,5.0,7.0,9.0,11-19,4.0,6.0,Alvarado,Estévez,Hoffman,2:48,N,23949.0,.57,-1.0,
"Wednesday, May 1",LAA,Home,PHI,L,1.0,2.0,9.0,11-20,4.0,6.0,Wheeler,Sandoval,Soto,2:53,D,20156.0,.48,-2.0,
