Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Wednesday, Mar 20",LAD,@,SDP,W,5.0,2.0,9.0,1-0,1.0,up 0.5,Hudson,Brito,Phillips,3:05,N,15952.0,1.00,1.0,
"Thursday, Mar 21",LAD,Home,SDP,L,11.0,15.0,9.0,1-1,1.0,Tied,King,Yamamoto,Suarez,3:42,N,15928.0,1.06,-1.0,
"Thursday, Mar 28",LAD,Home,STL,W,7.0,1.0,9.0,2-1,1.0,Tied,Glasnow,Mikolas,Yarbrough,2:23,D,52667.0,.95,1.0,
"Friday, Mar 29",LAD,Home,STL,W,6.0,3.0,9.0,3-1,1.0,Tied,Miller,Thompson,Phillips,2:23,N,47524.0,1.00,2.0,
"Saturday, Mar 30",LAD,Home,STL,L,5.0,6.0,10.0,3-2,1.0,Tied,Helsley,Hurt,Gallegos,3:17,N,45019.0,1.01,-1.0,
"Sunday, Mar 31",LAD,Home,STL,W,5.0,4.0,9.0,4-2,1.0,Tied,Crismatt,King,Hudson,2:41,D,41014.0,.98,1.0,
"Monday, Apr 1",LAD,Home,SFG,W,8.0,3.0,9.0,5-2,1.0,up 1.0,Paxton,Winn,None,2:38,N,49044.0,1.08,2.0,
"Tuesday, Apr 2",LAD,Home,SFG,W,5.0,4.0,9.0,6-2,1.0,up 1.0,Yarbrough,Webb,Phillips,2:57,N,49365.0,1.18,3.0,
"Wednesday, Apr 3",LAD,Home,SFG,W,5.0,4.0,9.0,7-2,1.0,up 2.0,Glasnow,Harrison,Lamet,2:25,N,52746.0,1.16,4.0,
"Friday, Apr 5",LAD,@,CHC,L,7.0,9.0,9.0,7-3,1.0,up 2.0,Smyly,Miller,Alzolay,2:57,D,34981.0,1.14,-1.0,
"Saturday, Apr 6",LAD,@,CHC,W,4.0,1.0,9.0,8-3,1.0,up 3.0,Yamamoto,Wicks,None,2:45,D,41040.0,1.13,1.0,
"Sunday, Apr 7",LAD,@,CHC,L,1.0,8.0,9.0,8-4,1.0,up 3.0,Almonte,Stone,Palencia,2:32,D,38322.0,1.16,-1.0,
"Monday, Apr 8",LAD,@,MIN,W,4.0,2.0,9.0,9-4,1.0,up 3.0,Paxton,Jackson,Phillips,2:15,N,15177.0,1.08,1.0,
"Tuesday, Apr 9",LAD,@,MIN,W,6.0,3.0,9.0,10-4,1.0,up 4.0,Glasnow,Varland,None,2:23,N,17024.0,1.08,2.0,
"Wednesday, Apr 10",LAD,@,MIN,L,2.0,3.0,9.0,10-5,1.0,up 3.0,Funderburk,Vesia,Okert,2:31,D,18640.0,1.12,-1.0,
"Friday, Apr 12",LAD,Home,SDP,L,7.0,8.0,11.0,10-6,1.0,up 2.0,Suarez,Vesia,None,3:14,N,49606.0,1.26,-2.0,
"Saturday, Apr 13",LAD,Home,SDP,W,5.0,2.0,9.0,11-6,1.0,up 3.0,Stone,Cosgrove,Phillips,2:36,N,44582.0,1.24,1.0,
"Sunday, Apr 14",LAD,Home,SDP,L,3.0,6.0,9.0,11-7,1.0,up 2.0,Matsui,Feyereisen,Suarez,2:58,D,49432.0,1.25,-1.0,
"Monday, Apr 15",LAD,Home,WSN,L,4.0,6.0,9.0,11-8,1.0,up 1.0,Parker,Glasnow,Finnegan,2:36,N,42677.0,1.15,-2.0,
"Tuesday, Apr 16",LAD,Home,WSN,W,6.0,2.0,9.0,12-8,1.0,up 1.0,Yarbrough,Corbin,None,2:26,N,52718.0,1.11,1.0,
"Wednesday, Apr 17",LAD,Home,WSN,L,0.0,2.0,9.0,12-9,1.0,up 1.0,Irvin,Knack,Finnegan,2:16,D,44428.0,1.10,-1.0,
"Friday, Apr 19",LAD,Home,NYM,L,4.0,9.0,9.0,12-10,1.0,up 1.0,Garrett,Hudson,None,3:03,N,44783.0,1.14,-2.0,
"Saturday, Apr 20",LAD,Home,NYM,L,4.0,6.0,9.0,12-11,1.0,up 1.0,Tonkin,Yarbrough,Garrett,3:20,D,45373.0,1.07,-3.0,
"Sunday, Apr 21",LAD,Home,NYM,W,10.0,0.0,9.0,13-11,1.0,up 1.0,Glasnow,Houser,None,2:18,D,49287.0,1.03,1.0,
"Tuesday, Apr 23",LAD,@,WSN,W,4.0,1.0,9.0,14-11,1.0,up 1.5,Vesia,Harvey,Phillips,3:10,N,27806.0,1.06,2.0,
"Wednesday, Apr 24",LAD,@,WSN,W,11.0,2.0,9.0,15-11,1.0,up 1.5,Knack,Irvin,None,2:40,N,26298.0,1.09,3.0,
"Thursday, Apr 25",LAD,@,WSN,W,2.0,1.0,9.0,16-11,1.0,up 2.5,Yamamoto,Gore,Phillips,2:36,D,24185.0,1.11,4.0,
"Friday, Apr 26",LAD,@,TOR,W,12.0,2.0,9.0,17-11,1.0,up 3.5,Stone,Bassitt,None,2:39,N,39688.0,1.13,5.0,
"Saturday, Apr 27",LAD,@,TOR,W,4.0,2.0,9.0,18-11,1.0,up 4.5,Glasnow,Kikuchi,Phillips,2:49,D,39405.0,1.13,6.0,
"Sunday, Apr 28",LAD,@,TOR,L,1.0,3.0,9.0,18-12,1.0,up 3.5,Gausman,Grove,Romano,2:20,D,39053.0,1.16,-1.0,
"Monday, Apr 29",LAD,@,ARI,W,8.0,4.0,9.0,19-12,1.0,up 4.0,Paxton,Henry,None,2:50,N,36985.0,1.28,1.0,
"Tuesday, Apr 30",LAD,@,ARI,L-wo,3.0,4.0,10.0,19-13,1.0,up 4.0,McGough,Crismatt,None,2:47,N,28667.0,1.28,-1.0,
"Wednesday, May 1",LAD,@,ARI,W,8.0,0.0,9.0,20-13,1.0,up 4.5,Yamamoto,Montgomery,None,2:49,N,34088.0,1.29,1.0,
"Friday, May 3",LAD,Home,ATL,W-wo,4.0,3.0,11.0,21-13,1.0,up 4.5,Grove,Chavez,None,3:00,N,50859.0,1.26,2.0,
"Saturday, May 4",LAD,Home,ATL,W,11.0,2.0,9.0,22-13,1.0,up 4.5,Glasnow,Elder,None,2:24,N,44474.0,1.33,3.0,
"Sunday, May 5",LAD,Home,ATL,W,5.0,1.0,9.0,23-13,1.0,up 5.5,Paxton,Fried,None,2:07,D,52733.0,1.28,4.0,
"Monday, May 6",LAD,Home,MIA,W,6.0,3.0,9.0,24-13,1.0,up 5.5,Yarbrough,Muñoz,Vesia,2:19,N,44970.0,1.22,5.0,
"Tuesday, May 7",LAD,Home,MIA,W,8.0,2.0,9.0,25-13,1.0,up 6.5,Yamamoto,Cabrera,None,2:11,N,51496.0,1.20,6.0,
"Wednesday, May 8",LAD,Home,MIA,W,3.0,1.0,9.0,26-13,1.0,up 6.5,Stone,Weathers,Hudson,1:55,D,40702.0,1.19,7.0,
"Friday, May 10",LAD,@,SDP,L-wo,1.0,2.0,9.0,26-14,1.0,up 5.5,Suarez,Grove,None,2:12,N,43388.0,1.31,-1.0,
"Saturday, May 11",LAD,@,SDP,W,5.0,0.0,9.0,27-14,1.0,up 6.5,Paxton,Waldron,None,2:36,N,46701.0,1.39,1.0,
"Sunday, May 12",LAD,@,SDP,L,0.0,4.0,9.0,27-15,1.0,up 5.5,Darvish,Buehler,None,2:35,D,43881.0,1.34,-1.0,
"Monday, May 13",LAD,@,SFG,W,6.0,4.0,10.0,28-15,1.0,up 6.5,Treinen,Rogers,Feyereisen,2:55,N,35033.0,1.28,1.0,
"Tuesday, May 14",LAD,@,SFG,W,10.0,2.0,9.0,29-15,1.0,up 7.5,Stone,Winn,None,2:36,N,33575.0,1.27,2.0,
"Wednesday, May 15",LAD,@,SFG,L,1.0,4.0,9.0,29-16,1.0,up 7.5,Webb,Hernández,Doval,2:23,N,36027.0,1.22,-1.0,
"Thursday, May 16",LAD,Home,CIN,L,2.0,7.0,9.0,29-17,1.0,up 7.0,Martinez,Glasnow,None,2:49,N,53527.0,1.16,-2.0,
"Friday, May 17",LAD,Home,CIN,W,7.0,3.0,9.0,30-17,1.0,up 7.0,Grove,Cruz,None,2:19,N,46832.0,1.19,1.0,
"Saturday, May 18",LAD,Home,CIN,W,4.0,0.0,9.0,31-17,1.0,up 7.5,Buehler,Ashcraft,None,2:07,N,49239.0,1.19,2.0,
"Sunday, May 19",LAD,Home,CIN,W-wo,3.0,2.0,10.0,32-17,1.0,up 7.5,Banda,Díaz,None,2:54,D,52656.0,1.13,3.0,
"Monday, May 20",LAD,Home,ARI,W,6.0,4.0,9.0,33-17,1.0,up 8.0,Yamamoto,Cecconi,Hudson,2:39,N,37634.0,1.24,4.0,
"Tuesday, May 21",LAD,Home,ARI,L,3.0,7.0,9.0,33-18,1.0,up 8.0,Pfaadt,Stone,None,2:30,N,46180.0,1.15,-1.0,
"Wednesday, May 22",LAD,Home,ARI,L,0.0,6.0,9.0,33-19,1.0,up 7.0,Nelson,Glasnow,None,2:40,N,46593.0,1.22,-2.0,
"Friday, May 24",LAD,@,CIN,L,6.0,9.0,9.0,33-20,1.0,up 6.5,Ashcraft,Ramírez,None,2:56,N,40074.0,1.17,-3.0,
"Saturday, May 25",LAD,@,CIN,L,1.0,3.0,9.0,33-21,1.0,up 5.5,Greene,Buehler,Díaz,2:29,N,41880.0,1.19,-4.0,
"Sunday, May 26",LAD,@,CIN,L,1.0,4.0,9.0,33-22,1.0,up 5.5,Martinez,Yamamoto,Díaz,2:27,D,35619.0,1.24,-5.0,
"Tuesday, May 28 (1)",LAD,@,NYM,W,5.0,2.0,10.0,34-22,1.0,up 5.5,Hudson,López,Treinen,2:42,N,,1.25,1.0,
