Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",MIA,Home,PIT,L,5.0,6.0,12.0,0-1,4.0,0.5,Ortiz,Cronin,Hernandez,3:24,D,32564.0,.92,-1.0,
"Friday, Mar 29",MIA,Home,PIT,L,2.0,7.0,9.0,0-2,5.0,1.5,Ryan,Puk,Fleming,2:50,N,13636.0,.91,-2.0,
"Saturday, Mar 30",MIA,Home,PIT,L,3.0,9.0,9.0,0-3,5.0,2.5,Jones,Weathers,None,2:38,D,14203.0,.85,-3.0,
"Sunday, Mar 31",MIA,Home,PIT,L,7.0,9.0,10.0,0-4,5.0,2.5,Bednar,Scott,Stratton,3:01,D,15915.0,.83,-4.0,
"Monday, Apr 1",MIA,Home,LAA,L,4.0,7.0,9.0,0-5,5.0,3.5,Cimber,Scott,Estévez,2:52,N,9411.0,.75,-5.0,
"Tuesday, Apr 2",MIA,Home,LAA,L,1.0,3.0,9.0,0-6,5.0,3.5,Anderson,Luzardo,García,2:18,N,9033.0,.69,-6.0,
"Wednesday, Apr 3",MIA,Home,LAA,L,2.0,10.0,9.0,0-7,5.0,4.0,Sandoval,Puk,Zuñiga,2:46,D,8573.0,.65,-7.0,
"Thursday, Apr 4",MIA,@,STL,L,5.0,8.0,9.0,0-8,5.0,4.5,Gallegos,Sánchez,Helsley,2:47,D,47273.0,.63,-8.0,
"Saturday, Apr 6",MIA,@,STL,L,1.0,3.0,9.0,0-9,5.0,6.0,Matz,Rogers,Helsley,2:18,D,37328.0,.55,-9.0,
"Sunday, Apr 7",MIA,@,STL,W,10.0,3.0,9.0,1-9,5.0,6.0,Meyer,Gibson,None,2:27,D,39519.0,.54,1.0,
"Monday, Apr 8",MIA,@,NYY,L,0.0,7.0,9.0,1-10,5.0,6.0,Cortés,Luzardo,None,2:01,N,31071.0,.57,-1.0,
"Tuesday, Apr 9",MIA,@,NYY,L,2.0,3.0,9.0,1-11,5.0,7.0,Rodón,Puk,Holmes,2:35,N,37680.0,.48,-2.0,
"Wednesday, Apr 10",MIA,@,NYY,W,5.0,2.0,9.0,2-11,5.0,6.5,Weathers,Stroman,Scott,2:50,N,36295.0,.46,1.0,
"Friday, Apr 12",MIA,Home,ATL,L,1.0,8.0,9.0,2-12,5.0,7.0,Fried,Rogers,None,2:37,N,14408.0,.58,-1.0,
"Saturday, Apr 13",MIA,Home,ATL,W,5.0,1.0,9.0,3-12,5.0,6.0,Meyer,Sale,None,2:12,D,22327.0,.52,1.0,
"Sunday, Apr 14",MIA,Home,ATL,L,7.0,9.0,9.0,3-13,5.0,7.0,Minter,Scott,Iglesias,2:32,D,20757.0,.56,-1.0,
"Monday, Apr 15",MIA,Home,SFG,L,3.0,4.0,9.0,3-14,5.0,8.0,Harrison,Soriano,Doval,2:36,N,8290.0,.44,-2.0,
"Tuesday, Apr 16",MIA,Home,SFG,W,6.0,3.0,9.0,4-14,5.0,8.0,Weathers,Walker,Scott,2:41,N,8076.0,.39,1.0,
"Wednesday, Apr 17",MIA,Home,SFG,L,1.0,3.0,9.0,4-15,5.0,9.0,Winn,Cronin,Doval,2:24,D,8179.0,.44,-1.0,
"Friday, Apr 19",MIA,@,CHC,L,3.0,8.0,9.0,4-16,5.0,10.0,Taillon,Puk,None,2:25,D,29595.0,.39,-2.0,
"Saturday, Apr 20 (1)",MIA,@,CHC,W,3.0,2.0,9.0,5-16,5.0,10.5,Faucher,Alzolay,Scott,2:38,D,36379.0,.33,1.0,
"Saturday, Apr 20 (2)",MIA,@,CHC,L,3.0,5.0,9.0,5-17,5.0,10.5,Imanaga,Bender,Neris,2:22,N,32386.0,.38,-1.0,
"Sunday, Apr 21",MIA,@,CHC,W,6.0,3.0,9.0,6-17,5.0,9.5,Cabrera,Hendricks,Scott,2:34,D,36067.0,.33,1.0,
"Monday, Apr 22",MIA,@,ATL,L,0.0,3.0,9.0,6-18,5.0,10.5,Elder,Weathers,Iglesias,2:16,N,31572.0,.39,-1.0,
"Tuesday, Apr 23",MIA,@,ATL,L,0.0,5.0,9.0,6-19,5.0,11.5,Fried,Rogers,None,1:54,N,33533.0,.32,-2.0,
"Wednesday, Apr 24",MIA,@,ATL,L-wo,3.0,4.0,10.0,6-20,5.0,12.5,Minter,Scott,None,2:40,N,38950.0,.30,-3.0,
"Friday, Apr 26",MIA,Home,WSN,L,1.0,3.0,9.0,6-21,5.0,13.5,Law,Faucher,Finnegan,2:15,N,10201.0,.23,-4.0,
"Saturday, Apr 27",MIA,Home,WSN,L,4.0,11.0,9.0,6-22,5.0,13.5,Barnes,Cabrera,None,2:48,D,12695.0,.20,-5.0,
"Sunday, Apr 28",MIA,Home,WSN,L,9.0,12.0,9.0,6-23,5.0,14.5,Law,Bender,Finnegan,3:17,D,15894.0,.17,-6.0,
"Monday, Apr 29",MIA,Home,WSN,L,2.0,7.0,9.0,6-24,5.0,14.5,Irvin,Rogers,None,2:21,N,6376.0,.15,-7.0,
"Tuesday, Apr 30",MIA,Home,COL,W-wo,7.0,6.0,10.0,7-24,5.0,13.5,Scott,Beeks,None,2:41,N,6706.0,.12,1.0,
"Wednesday, May 1",MIA,Home,COL,W,4.0,1.0,9.0,8-24,5.0,13.5,Muñoz,Hudson,Maldonado,2:20,N,7171.0,.14,2.0,
"Thursday, May 2",MIA,Home,COL,W-wo,5.0,4.0,10.0,9-24,5.0,13.0,Smith,Lawrence,None,2:57,D,7540.0,.16,3.0,
"Friday, May 3",MIA,@,OAK,L,1.0,3.0,9.0,9-25,5.0,13.5,Sears,Weathers,Erceg,2:20,N,8533.0,.17,-1.0,
"Saturday, May 4",MIA,@,OAK,L,4.0,20.0,9.0,9-26,5.0,14.5,Blackburn,Rogers,None,2:43,D,7809.0,.16,-2.0,
"Sunday, May 5",MIA,@,OAK,W,12.0,3.0,9.0,10-26,5.0,14.5,Smith,Boyle,None,2:52,D,12212.0,.14,1.0,
"Monday, May 6",MIA,@,LAD,L,3.0,6.0,9.0,10-27,5.0,15.5,Yarbrough,Muñoz,Vesia,2:19,N,44970.0,.18,-1.0,
"Tuesday, May 7",MIA,@,LAD,L,2.0,8.0,9.0,10-28,5.0,16.5,Yamamoto,Cabrera,None,2:11,N,51496.0,.15,-2.0,
"Wednesday, May 8",MIA,@,LAD,L,1.0,3.0,9.0,10-29,5.0,16.5,Stone,Weathers,Hudson,1:55,D,40702.0,.11,-3.0,
"Friday, May 10",MIA,Home,PHI,L,2.0,8.0,9.0,10-30,5.0,17.5,Suárez,Rogers,None,2:45,N,15119.0,.11,-4.0,
"Saturday, May 11",MIA,Home,PHI,L,3.0,8.0,9.0,10-31,5.0,18.5,Walker,Luzardo,None,2:36,D,13210.0,.08,-5.0,
"Sunday, May 12",MIA,Home,PHI,W-wo,7.0,6.0,10.0,11-31,5.0,17.5,Bender,Soto,None,2:59,D,13001.0,.06,1.0,
"Monday, May 13",MIA,@,DET,L,5.0,6.0,9.0,11-32,5.0,18.5,Faedo,Maldonado,Foley,2:24,N,12901.0,.07,-1.0,
"Tuesday, May 14",MIA,@,DET,W,1.0,0.0,10.0,12-32,5.0,18.5,Scott,Lange,Puk,2:09,N,16498.0,.06,1.0,
