Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Mar 29",MIL,@,NYM,W,3.0,1.0,9.0,1-0,2.0,0.5,Peralta,Quintana,Uribe,2:28,D,42137.0,.95,1.0,
"Saturday, Mar 30",MIL,@,NYM,W,7.0,6.0,9.0,2-0,2.0,0.5,Peguero,Severino,Uribe,2:50,D,30296.0,.99,2.0,
"Sunday, Mar 31",MIL,@,NYM,W,4.0,1.0,9.0,3-0,2.0,0.5,Rea,Megill,Payamps,2:43,D,22222.0,.98,3.0,
"Tuesday, Apr 2",MIL,Home,MIN,W,3.0,2.0,9.0,4-0,2.0,0.5,Peguero,Varland,Uribe,2:24,D,41659.0,.97,4.0,
"Wednesday, Apr 3",MIL,Home,MIN,L,3.0,7.0,9.0,4-1,2.0,0.5,Duarte,Payamps,None,3:07,D,17854.0,1.00,-1.0,
"Friday, Apr 5",MIL,Home,SEA,W-wo,6.0,5.0,9.0,5-1,1.0,Tied,Uribe,Muñoz,None,2:47,N,23035.0,.97,1.0,
"Saturday, Apr 6",MIL,Home,SEA,L,3.0,5.0,9.0,5-2,2.0,1.0,Miller,Hall,Muñoz,2:25,N,35522.0,1.03,-1.0,
"Sunday, Apr 7",MIL,Home,SEA,W,12.0,4.0,9.0,6-2,2.0,1.0,Rea,Hancock,Vieira,2:36,D,25573.0,.98,1.0,
"Monday, Apr 8",MIL,@,CIN,L,8.0,10.0,9.0,6-3,2.0,2.0,Ashcraft,Ashby,Díaz,2:48,N,10382.0,1.15,-1.0,
"Tuesday, Apr 9",MIL,@,CIN,W,9.0,5.0,9.0,7-3,2.0,1.0,Ross,Montas,None,2:57,N,12623.0,1.09,1.0,
"Wednesday, Apr 10",MIL,@,CIN,W,7.0,2.0,9.0,8-3,2.0,0.5,Wilson,Greene,None,2:12,N,10388.0,1.16,2.0,
"Friday, Apr 12",MIL,@,BAL,W,11.0,1.0,9.0,9-3,1.0,Tied,Peralta,Wells,None,2:46,N,32205.0,1.10,3.0,
"Saturday, Apr 13",MIL,@,BAL,W,11.0,5.0,9.0,10-3,1.0,up 1.0,Peguero,Kremer,None,3:00,D,24327.0,1.08,4.0,
"Sunday, Apr 14",MIL,@,BAL,L,4.0,6.0,9.0,10-4,1.0,Tied,Cano,Uribe,Kimbrel,2:43,D,35085.0,1.09,-1.0,
"Monday, Apr 15",MIL,Home,SDP,L,3.0,7.0,9.0,10-5,1.0,Tied,Musgrove,Ross,Suarez,2:53,N,18396.0,1.11,-2.0,
