Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",MIN,@,KCR,W,4.0,1.0,9.0,1-0,1.0,Tied,López,Ragans,Jax,2:29,D,38775.0,1.01,1.0,
"Saturday, Mar 30",MIN,@,KCR,W,5.0,1.0,9.0,2-0,2.0,0.5,Jax,Smith,None,2:41,D,19461.0,1.03,2.0,
"Sunday, Mar 31",MIN,@,KCR,L,0.0,11.0,9.0,2-1,3.0,1.0,Singer,Ober,None,2:25,D,13005.0,1.05,-1.0,
"Tuesday, Apr 2",MIN,@,MIL,L,2.0,3.0,9.0,2-2,3.0,2.0,Peguero,Varland,Uribe,2:24,D,41659.0,.94,-2.0,
"Wednesday, Apr 3",MIN,@,MIL,W,7.0,3.0,9.0,3-2,3.0,1.5,Duarte,Payamps,None,3:07,D,17854.0,.90,1.0,
"Thursday, Apr 4",MIN,Home,CLE,L,2.0,4.0,9.0,3-3,3.0,2.0,Bibee,López,Clase,2:57,D,35595.0,1.04,-1.0,
"Saturday, Apr 6",MIN,Home,CLE,L,1.0,3.0,9.0,3-4,4.0,3.0,Sandlin,Ryan,Clase,2:51,D,25806.0,1.01,-2.0,
"Monday, Apr 8",MIN,Home,LAD,L,2.0,4.0,9.0,3-5,4.0,4.0,Paxton,Jackson,Phillips,2:15,N,15177.0,.85,-3.0,
"Tuesday, Apr 9",MIN,Home,LAD,L,3.0,6.0,9.0,3-6,4.0,4.0,Glasnow,Varland,None,2:23,N,17024.0,.81,-4.0,
"Wednesday, Apr 10",MIN,Home,LAD,W,3.0,2.0,9.0,4-6,4.0,4.0,Funderburk,Vesia,Okert,2:31,D,18640.0,.74,1.0,
"Friday, Apr 12",MIN,@,DET,L,2.0,8.0,9.0,4-7,4.0,4.5,Skubal,López,None,2:47,N,12434.0,.87,-1.0,
"Saturday, Apr 13 (1)",MIN,@,DET,W,11.0,5.0,12.0,5-7,4.0,3.0,Alcalá,Lange,None,3:13,D,,.86,1.0,
"Saturday, Apr 13 (2)",MIN,@,DET,W,4.0,1.0,9.0,6-7,4.0,3.0,Woods Richardson,Manning,Sands,2:15,D,22548.0,.90,2.0,
"Sunday, Apr 14",MIN,@,DET,L,3.0,4.0,9.0,6-8,4.0,3.5,Vest,Jax,Foley,2:27,D,17317.0,.97,-1.0,
