Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Mar 29",NYM,Home,MIL,L,1.0,3.0,9.0,0-1,2.0,1.0,Peralta,Quintana,Uribe,2:28,D,42137.0,.94,-1.0,
"Saturday, Mar 30",NYM,Home,MIL,L,6.0,7.0,9.0,0-2,3.0,2.0,Peguero,Severino,Uribe,2:50,D,30296.0,.90,-2.0,
"Sunday, Mar 31",NYM,Home,MIL,L,1.0,4.0,9.0,0-3,4.0,2.0,Rea,Megill,Payamps,2:43,D,22222.0,.86,-3.0,
"Monday, Apr 1",NYM,Home,DET,L,0.0,5.0,10.0,0-4,4.0,3.0,Foley,Tonkin,None,2:46,N,16853.0,.77,-4.0,
"Thursday, Apr 4 (1)",NYM,Home,DET,L,3.0,6.0,11.0,0-5,4.0,2.5,Miller,Tonkin,None,3:25,D,,.75,-5.0,
"Thursday, Apr 4 (2)",NYM,Home,DET,W-wo,2.0,1.0,9.0,1-5,4.0,2.5,Garrett,Faedo,None,2:23,D,15020.0,.70,1.0,
"Friday, Apr 5",NYM,@,CIN,W,3.0,2.0,9.0,2-5,3.0,2.5,Smith,Cruz,Díaz,2:58,N,16620.0,.79,2.0,
"Saturday, Apr 6",NYM,@,CIN,L,6.0,9.0,9.0,2-6,3.0,3.5,Pagán,Ramírez,None,2:38,D,28307.0,.83,-1.0,
"Sunday, Apr 7",NYM,@,CIN,W,3.0,1.0,9.0,3-6,3.0,3.5,Manaea,Abbott,Díaz,2:38,D,26656.0,.80,1.0,
"Monday, Apr 8",NYM,@,ATL,W,8.0,7.0,9.0,4-6,3.0,2.5,Diekman,Johnson,López,3:27,N,37538.0,.94,2.0,
"Tuesday, Apr 9",NYM,@,ATL,L,5.0,6.0,9.0,4-7,4.0,3.5,López,Houser,Iglesias,2:42,N,32065.0,1.00,-1.0,
"Thursday, Apr 11",NYM,@,ATL,W,16.0,4.0,9.0,5-7,3.0,2.5,Quintana,Winans,None,2:50,D,34352.0,.93,1.0,
"Friday, Apr 12",NYM,Home,KCR,W,6.0,1.0,9.0,6-7,3.0,2.5,Severino,Wacha,None,2:18,N,18822.0,.83,2.0,
"Saturday, Apr 13",NYM,Home,KCR,L,7.0,11.0,9.0,6-8,3.0,2.5,Marsh,Manaea,None,2:56,D,25387.0,.86,-1.0,
"Sunday, Apr 14",NYM,Home,KCR,W,2.0,1.0,9.0,7-8,3.0,2.5,Raley,Stratton,Díaz,2:22,D,32749.0,.81,1.0,
"Monday, Apr 15",NYM,Home,PIT,W,6.0,3.0,9.0,8-8,3.0,2.5,Ottavino,Chapman,Díaz,2:43,N,18266.0,.92,2.0,
"Tuesday, Apr 16",NYM,Home,PIT,W,3.0,1.0,9.0,9-8,3.0,2.5,Garrett,Ortiz,Smith,2:28,N,18398.0,.96,3.0,
"Wednesday, Apr 17",NYM,Home,PIT,W,9.0,1.0,9.0,10-8,3.0,2.5,Severino,Falter,None,2:33,D,18092.0,.99,4.0,
"Friday, Apr 19",NYM,@,LAD,W,9.0,4.0,9.0,11-8,3.0,2.5,Garrett,Hudson,None,3:03,N,44783.0,1.05,5.0,
"Saturday, Apr 20",NYM,@,LAD,W,6.0,4.0,9.0,12-8,3.0,2.5,Tonkin,Yarbrough,Garrett,3:20,D,45373.0,1.12,6.0,
"Sunday, Apr 21",NYM,@,LAD,L,0.0,10.0,9.0,12-9,3.0,2.5,Glasnow,Houser,None,2:18,D,49287.0,1.09,-1.0,
"Monday, Apr 22",NYM,@,SFG,L,2.0,5.0,9.0,12-10,3.0,3.5,Winn,Quintana,None,2:25,N,24138.0,1.06,-2.0,
"Tuesday, Apr 23",NYM,@,SFG,L,1.0,5.0,9.0,12-11,3.0,4.5,Webb,Severino,Doval,2:10,N,25453.0,1.02,-3.0,
"Wednesday, Apr 24",NYM,@,SFG,W,8.0,2.0,9.0,13-11,3.0,4.5,Garrett,Hjelle,None,2:50,D,30183.0,.98,1.0,
"Friday, Apr 26",NYM,Home,STL,L,2.0,4.0,9.0,13-12,3.0,5.5,Mikolas,Buttó,Helsley,2:30,N,24159.0,1.02,-1.0,
"Saturday, Apr 27",NYM,Home,STL,L,4.0,7.0,9.0,13-13,3.0,5.5,Gray,Houser,Helsley,3:03,D,32332.0,.95,-2.0,
