Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",NYY,@,HOU,W,5.0,4.0,9.0,1-0,1.0,Tied,Loáisiga,Pressly,Holmes,2:41,D,42642.0,.93,1.0,
"Friday, Mar 29",NYY,@,HOU,W,7.0,1.0,9.0,2-0,1.0,up 0.5,Weaver,Scott,None,3:17,N,41583.0,.99,2.0,
"Saturday, Mar 30",NYY,@,HOU,W,5.0,3.0,9.0,3-0,1.0,up 0.5,Stroman,Abreu,Holmes,2:54,N,41247.0,1.05,3.0,
"Sunday, Mar 31",NYY,@,HOU,W,4.0,3.0,9.0,4-0,1.0,up 1.5,Burdi,Hader,Holmes,2:56,D,36908.0,1.06,4.0,
"Monday, Apr 1",NYY,@,ARI,W,5.0,2.0,9.0,5-0,1.0,up 1.5,Weaver,Nelson,González,2:59,N,38608.0,1.04,5.0,
"Tuesday, Apr 2",NYY,@,ARI,L,0.0,7.0,9.0,5-1,1.0,up 1.0,Gallen,Cortés,None,2:27,N,39863.0,1.05,-1.0,
"Wednesday, Apr 3",NYY,@,ARI,W,6.0,5.0,11.0,6-1,1.0,up 1.0,Holmes,McGough,Ferguson,3:04,D,35038.0,1.03,1.0,
"Friday, Apr 5",NYY,Home,TOR,L,0.0,3.0,9.0,6-2,1.0,Tied,García,Ferguson,Green,2:54,D,47812.0,1.15,-1.0,
"Saturday, Apr 6",NYY,Home,TOR,W,9.0,8.0,9.0,7-2,1.0,up 1.0,Weaver,Gausman,Holmes,3:20,N,42250.0,1.14,1.0,
"Sunday, Apr 7",NYY,Home,TOR,W,8.0,3.0,9.0,8-2,1.0,up 1.0,Cousins,Francis,Santana,3:10,D,40569.0,1.22,2.0,
"Monday, Apr 8",NYY,Home,MIA,W,7.0,0.0,9.0,9-2,1.0,up 1.5,Cortés,Luzardo,None,2:01,N,31071.0,1.09,3.0,
"Tuesday, Apr 9",NYY,Home,MIA,W,3.0,2.0,9.0,10-2,1.0,up 2.5,Rodón,Puk,Holmes,2:35,N,37680.0,1.11,4.0,
"Wednesday, Apr 10",NYY,Home,MIA,L,2.0,5.0,9.0,10-3,1.0,up 2.0,Weathers,Stroman,Scott,2:50,N,36295.0,1.11,-1.0,
"Saturday, Apr 13 (1)",NYY,@,CLE,W,3.0,2.0,9.0,11-3,1.0,up 3.5,Schmidt,Carrasco,Holmes,2:57,D,17089.0,1.19,1.0,
"Saturday, Apr 13 (2)",NYY,@,CLE,W,8.0,2.0,9.0,12-3,1.0,up 3.5,Poteet,McKenzie,None,2:28,N,31066.0,1.22,2.0,
"Sunday, Apr 14",NYY,@,CLE,L-wo,7.0,8.0,10.0,12-4,1.0,up 2.5,Beede,Ferguson,None,3:08,D,28119.0,1.21,-1.0,
"Monday, Apr 15",NYY,@,TOR,L,1.0,3.0,9.0,12-5,1.0,up 1.5,Bassitt,Gil,García,2:23,N,30962.0,1.23,-2.0,
"Tuesday, Apr 16",NYY,@,TOR,L,4.0,5.0,9.0,12-6,1.0,up 0.5,Kikuchi,Rodón,Romano,2:56,N,31175.0,1.25,-3.0,
"Wednesday, Apr 17",NYY,@,TOR,W,6.0,4.0,9.0,13-6,1.0,up 0.5,González,Swanson,Holmes,3:10,D,30233.0,1.24,1.0,
"Friday, Apr 19",NYY,Home,TBR,W,5.0,3.0,9.0,14-6,1.0,up 1.5,Santana,Devenski,Holmes,2:40,N,36055.0,1.24,2.0,
"Saturday, Apr 20",NYY,Home,TBR,L,0.0,2.0,10.0,14-7,1.0,up 0.5,Adam,Ferguson,Cleavinger,2:25,D,47629.0,1.21,-1.0,
"Sunday, Apr 21",NYY,Home,TBR,W,5.0,4.0,9.0,15-7,1.0,up 0.5,Gil,Civale,González,2:42,D,40022.0,1.22,1.0,
"Monday, Apr 22",NYY,Home,OAK,L,0.0,2.0,9.0,15-8,2.0,0.5,Erceg,González,Miller,2:32,D,30366.0,1.13,-1.0,
"Tuesday, Apr 23",NYY,Home,OAK,W,4.0,3.0,9.0,16-8,1.0,up 0.5,Stroman,Blackburn,Holmes,2:29,N,30060.0,1.14,1.0,
"Wednesday, Apr 24",NYY,Home,OAK,W,7.0,3.0,9.0,17-8,1.0,up 0.5,Schmidt,Boyle,None,2:33,N,31179.0,1.17,2.0,
"Thursday, Apr 25",NYY,Home,OAK,L,1.0,3.0,9.0,17-9,1.0,Tied,Wood,Cortés,Miller,2:24,N,40141.0,1.16,-1.0,
"Friday, Apr 26",NYY,@,MIL,L-wo,6.0,7.0,11.0,17-10,1.0,Tied,Koenig,Tonkin,None,3:11,N,32314.0,1.11,-2.0,
"Saturday, Apr 27",NYY,@,MIL,W,15.0,3.0,9.0,18-10,1.0,Tied,Rodón,Ross,None,2:45,N,41620.0,1.14,1.0,
"Sunday, Apr 28",NYY,@,MIL,W,15.0,5.0,9.0,19-10,1.0,up 1.0,Marinaccio,Uribe,None,3:21,D,35295.0,1.14,2.0,
"Monday, Apr 29",NYY,@,BAL,L,0.0,2.0,9.0,19-11,1.0,Tied,Rodriguez,Schmidt,Coulombe,2:30,N,23184.0,1.38,-1.0,
"Tuesday, Apr 30",NYY,@,BAL,L,2.0,4.0,9.0,19-12,2.0,1.0,Kremer,Cortés,Webb,2:19,N,21949.0,1.33,-2.0,
"Wednesday, May 1",NYY,@,BAL,W,2.0,0.0,9.0,20-12,1.0,Tied,Gil,Burnes,Holmes,2:29,N,24180.0,1.36,1.0,
"Thursday, May 2",NYY,@,BAL,L,2.0,7.0,9.0,20-13,2.0,1.0,Akin,Rodón,None,2:39,D,27299.0,1.39,-1.0,
"Friday, May 3",NYY,Home,DET,W-wo,2.0,1.0,9.0,21-13,2.0,1.0,Santana,Foley,None,2:44,N,37386.0,1.21,1.0,
"Saturday, May 4",NYY,Home,DET,W,5.0,3.0,9.0,22-13,2.0,1.0,Schmidt,Mize,Holmes,2:34,D,45017.0,1.24,2.0,
"Sunday, May 5",NYY,Home,DET,W,5.0,2.0,8.0,23-13,2.0,1.0,González,Miller,Santana,2:40,D,35119.0,1.27,3.0,
"Tuesday, May 7",NYY,Home,HOU,W,10.0,3.0,9.0,24-13,1.0,Tied,Gil,Verlander,None,2:46,N,37126.0,1.17,4.0,
"Wednesday, May 8",NYY,Home,HOU,W,9.0,4.0,9.0,25-13,1.0,Tied,Rodón,Arrighetti,None,2:35,N,37660.0,1.22,5.0,
"Thursday, May 9",NYY,Home,HOU,L,3.0,4.0,9.0,25-14,2.0,0.5,Blanco,Stroman,Hader,2:55,N,38095.0,1.21,-1.0,
