Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",OAK,Home,CLE,L,0.0,8.0,9.0,0-1,2.0,1.0,Bieber,Wood,None,2:22,N,13522.0,.99,-1.0,
"Friday, Mar 29",OAK,Home,CLE,L,4.0,6.0,9.0,0-2,4.0,1.5,Allen,Stripling,Clase,2:39,N,3837.0,.95,-2.0,
"Saturday, Mar 30",OAK,Home,CLE,L,3.0,12.0,9.0,0-3,4.0,2.5,Sandlin,Sears,None,3:01,D,5425.0,.87,-3.0,
"Sunday, Mar 31",OAK,Home,CLE,W-wo,4.0,3.0,9.0,1-3,4.0,1.5,Jiménez,Barlow,None,2:30,D,4118.0,.82,1.0,
"Monday, Apr 1",OAK,Home,BOS,L,0.0,9.0,9.0,1-4,4.0,2.5,Houck,Boyle,Anderson,2:31,N,6618.0,.87,-1.0,
"Tuesday, Apr 2",OAK,Home,BOS,L,4.0,5.0,11.0,1-5,4.0,2.5,Winckowski,Spence,None,3:04,N,5112.0,.78,-2.0,
"Wednesday, Apr 3",OAK,Home,BOS,L,0.0,1.0,9.0,1-6,5.0,3.5,Pivetta,Stripling,Jansen,2:21,D,6436.0,.75,-3.0,
"Friday, Apr 5",OAK,@,DET,L,4.0,5.0,9.0,1-7,5.0,4.5,Foley,Erceg,Lange,2:33,D,44711.0,.69,-4.0,
"Saturday, Apr 6",OAK,@,DET,W,4.0,0.0,9.0,2-7,4.0,4.5,Blackburn,Maeda,None,2:31,D,27529.0,.65,1.0,
"Sunday, Apr 7",OAK,@,DET,W,7.0,1.0,9.0,3-7,4.0,3.5,Boyle,Flaherty,None,2:34,D,15174.0,.70,2.0,
"Tuesday, Apr 9",OAK,@,TEX,W,4.0,3.0,9.0,4-7,3.0,2.0,Kelly,Leclerc,Miller,2:23,N,18714.0,.82,3.0,
"Wednesday, Apr 10",OAK,@,TEX,L,2.0,6.0,9.0,4-8,4.0,3.0,Bradford,Stripling,None,2:22,N,30488.0,.86,-1.0,
"Thursday, Apr 11",OAK,@,TEX,W,1.0,0.0,9.0,5-8,3.0,2.0,Sears,Gray,Miller,2:18,D,19726.0,.83,1.0,
"Friday, Apr 12",OAK,Home,WSN,W-wo,2.0,1.0,10.0,6-8,3.0,2.0,Kelly,Finnegan,None,2:36,N,5777.0,.74,2.0,
"Saturday, Apr 13",OAK,Home,WSN,L,1.0,3.0,9.0,6-9,3.0,2.0,Gore,Boyle,Finnegan,2:35,D,3330.0,.81,-1.0,
"Sunday, Apr 14",OAK,Home,WSN,W,7.0,6.0,9.0,7-9,3.0,1.0,Spence,Law,Miller,2:45,D,8637.0,.78,1.0,
"Monday, Apr 15",OAK,Home,STL,L,1.0,3.0,9.0,7-10,3.0,2.0,Gray,Stripling,Helsley,2:19,N,5508.0,.80,-1.0,
"Tuesday, Apr 16",OAK,Home,STL,L,2.0,3.0,9.0,7-11,4.0,2.0,Lynn,Jiménez,Helsley,2:29,N,3296.0,.77,-2.0,
"Wednesday, Apr 17",OAK,Home,STL,W,6.0,3.0,9.0,8-11,4.0,2.0,Blackburn,Matz,Miller,2:30,D,9551.0,.73,1.0,
"Friday, Apr 19",OAK,@,CLE,L,2.0,10.0,9.0,8-12,4.0,2.5,McKenzie,Boyle,None,2:15,N,16262.0,.83,-1.0,
"Saturday, Apr 20",OAK,@,CLE,L,3.0,6.0,9.0,8-13,4.0,2.5,Allen,Wood,Clase,2:36,N,19487.0,.80,-2.0,
"Sunday, Apr 21",OAK,@,CLE,L,2.0,6.0,9.0,8-14,4.0,3.5,Bibee,Stripling,None,2:39,D,16905.0,.75,-3.0,
"Monday, Apr 22",OAK,@,NYY,W,2.0,0.0,9.0,9-14,3.0,3.0,Erceg,González,Miller,2:32,D,30366.0,.67,1.0,
"Tuesday, Apr 23",OAK,@,NYY,L,3.0,4.0,9.0,9-15,4.0,3.5,Stroman,Blackburn,Holmes,2:29,N,30060.0,.73,-1.0,
"Wednesday, Apr 24",OAK,@,NYY,L,3.0,7.0,9.0,9-16,4.0,4.0,Schmidt,Boyle,None,2:33,N,31179.0,.65,-2.0,
"Thursday, Apr 25",OAK,@,NYY,W,3.0,1.0,9.0,10-16,4.0,3.5,Wood,Cortés,Miller,2:24,N,40141.0,.60,1.0,
"Friday, Apr 26",OAK,@,BAL,W,3.0,2.0,10.0,11-16,3.0,3.5,Spence,Webb,Miller,3:00,N,22965.0,.69,2.0,
"Saturday, Apr 27",OAK,@,BAL,L,0.0,7.0,9.0,11-17,3.0,4.5,Irvin,Sears,None,2:10,D,28364.0,.74,-1.0,
"Sunday, Apr 28",OAK,@,BAL,W,7.0,6.0,9.0,12-17,3.0,3.5,McFarland,Kimbrel,Erceg,2:53,D,40887.0,.73,1.0,
"Monday, Apr 29",OAK,Home,PIT,W,5.0,1.0,9.0,13-17,3.0,3.5,Boyle,Falter,None,2:18,N,3528.0,.68,2.0,
"Tuesday, Apr 30",OAK,Home,PIT,W,5.0,2.0,9.0,14-17,3.0,3.5,Spence,Keller,Miller,2:22,N,3876.0,.71,3.0,
