Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Mar 29",PHI,Home,ATL,L,3.0,9.0,9.0,0-1,2.0,1.0,Johnson,Alvarado,None,2:54,D,44452.0,1.02,-1.0,
"Saturday, Mar 30",PHI,Home,ATL,L,4.0,12.0,9.0,0-2,3.0,2.0,Chavez,Nola,None,2:58,D,44468.0,.96,-2.0,
"Sunday, Mar 31",PHI,Home,ATL,W,5.0,4.0,9.0,1-2,2.0,1.0,Strahm,Bummer,Alvarado,2:39,D,42515.0,.91,1.0,
"Monday, Apr 1",PHI,Home,CIN,L,3.0,6.0,10.0,1-3,2.0,2.0,Díaz,Brogdon,None,3:04,N,33754.0,.90,-1.0,
"Tuesday, Apr 2",PHI,Home,CIN,W,9.0,4.0,9.0,2-3,2.0,1.0,Turnbull,Ashcraft,Pinto,2:44,N,28119.0,.89,1.0,
"Wednesday, Apr 3",PHI,Home,CIN,L,1.0,4.0,9.0,2-4,3.0,1.5,Montas,Wheeler,Díaz,2:34,D,28077.0,.88,-1.0,
"Friday, Apr 5",PHI,@,WSN,W,4.0,0.0,9.0,3-4,2.0,1.5,Nola,Corbin,None,2:51,N,21374.0,.94,1.0,
"Saturday, Apr 6",PHI,@,WSN,W,5.0,2.0,9.0,4-4,2.0,1.5,Suárez,Irvin,Alvarado,2:28,D,29718.0,1.00,2.0,
"Sunday, Apr 7",PHI,@,WSN,L,2.0,3.0,9.0,4-5,2.0,2.5,Gore,Sánchez,Finnegan,2:31,D,24765.0,1.07,-1.0,
"Monday, Apr 8",PHI,@,STL,W,5.0,3.0,10.0,5-5,2.0,1.5,Hoffman,Helsley,Soto,2:50,N,32621.0,.92,1.0,
"Tuesday, Apr 9",PHI,@,STL,L,0.0,3.0,9.0,5-6,2.0,2.5,Gray,Wheeler,Helsley,2:39,N,31972.0,1.00,-1.0,
"Wednesday, Apr 10",PHI,@,STL,W,4.0,3.0,9.0,6-6,2.0,2.0,Nola,Pallante,Hoffman,3:10,D,33104.0,.95,1.0,
"Thursday, Apr 11",PHI,Home,PIT,W,5.0,1.0,9.0,7-6,2.0,1.0,Suárez,Jones,None,2:15,N,33362.0,.97,2.0,
"Friday, Apr 12",PHI,Home,PIT,L,2.0,5.0,9.0,7-7,2.0,2.0,Falter,Sánchez,Bednar,2:48,N,35578.0,1.04,-1.0,
"Saturday, Apr 13",PHI,Home,PIT,W-wo,4.0,3.0,9.0,8-7,2.0,1.0,Hoffman,Hernandez,None,2:57,D,40519.0,1.00,1.0,
