Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",PIT,@,MIA,W,6.0,5.0,12.0,1-0,1.0,Tied,Ortiz,Cronin,Hernandez,3:24,D,32564.0,.95,1.0,
"Friday, Mar 29",PIT,@,MIA,W,7.0,2.0,9.0,2-0,1.0,up 0.5,Ryan,Puk,Fleming,2:50,N,13636.0,.95,2.0,
"Saturday, Mar 30",PIT,@,MIA,W,9.0,3.0,9.0,3-0,1.0,up 0.5,Jones,Weathers,None,2:38,D,14203.0,1.04,3.0,
"Sunday, Mar 31",PIT,@,MIA,W,9.0,7.0,10.0,4-0,1.0,up 0.5,Bednar,Scott,Stratton,3:01,D,15915.0,1.07,4.0,
"Monday, Apr 1",PIT,@,WSN,W,8.0,4.0,9.0,5-0,1.0,up 1.0,Contreras,Garcia,Chapman,3:11,D,40405.0,1.08,5.0,
"Wednesday, Apr 3",PIT,@,WSN,L,3.0,5.0,9.0,5-1,1.0,up 0.5,Williams,Keller,Finnegan,2:30,N,14022.0,1.15,-1.0,
"Thursday, Apr 4",PIT,@,WSN,W,7.0,4.0,9.0,6-1,1.0,up 1.0,Pérez,Gray,Bednar,2:52,D,11135.0,1.06,1.0,
"Friday, Apr 5",PIT,Home,BAL,L,2.0,5.0,9.0,6-2,1.0,Tied,Rodriguez,Jones,Kimbrel,2:23,D,38400.0,1.05,-1.0,
"Saturday, Apr 6",PIT,Home,BAL,W-wo,5.0,4.0,11.0,7-2,1.0,up 1.0,Fleming,Heasley,None,3:24,D,24089.0,.99,1.0,
"Sunday, Apr 7",PIT,Home,BAL,W-wo,3.0,2.0,9.0,8-2,1.0,up 1.0,Hernandez,Cano,None,2:11,D,20652.0,1.03,2.0,
"Monday, Apr 8",PIT,Home,DET,W,7.0,4.0,9.0,9-2,1.0,up 2.0,Keller,Olson,None,2:35,N,9957.0,1.07,3.0,
"Tuesday, Apr 9",PIT,Home,DET,L,3.0,5.0,9.0,9-3,1.0,up 1.0,Miller,Bednar,Foley,2:20,D,10058.0,1.13,-1.0,
"Thursday, Apr 11",PIT,@,PHI,L,1.0,5.0,9.0,9-4,1.0,Tied,Suárez,Jones,None,2:15,N,33362.0,1.12,-2.0,
"Friday, Apr 12",PIT,@,PHI,W,5.0,2.0,9.0,10-4,1.0,Tied,Falter,Sánchez,Bednar,2:48,N,35578.0,1.14,1.0,
"Saturday, Apr 13",PIT,@,PHI,L-wo,3.0,4.0,9.0,10-5,2.0,1.0,Hoffman,Hernandez,None,2:57,D,40519.0,1.16,-1.0,
"Sunday, Apr 14",PIT,@,PHI,W,9.0,2.0,9.0,11-5,1.0,Tied,Keller,Wheeler,None,2:33,D,44568.0,1.11,1.0,
"Monday, Apr 15",PIT,@,NYM,L,3.0,6.0,9.0,11-6,1.0,Tied,Ottavino,Chapman,Díaz,2:43,N,18266.0,1.12,-1.0,
"Tuesday, Apr 16",PIT,@,NYM,L,1.0,3.0,9.0,11-7,1.0,Tied,Garrett,Ortiz,Smith,2:28,N,18398.0,1.12,-2.0,
"Wednesday, Apr 17",PIT,@,NYM,L,1.0,9.0,9.0,11-8,3.0,1.0,Severino,Falter,None,2:33,D,18092.0,1.12,-3.0,
"Friday, Apr 19",PIT,Home,BOS,L,1.0,8.0,9.0,11-9,3.0,2.0,Bello,Priester,None,2:22,N,17959.0,1.03,-4.0,
"Saturday, Apr 20",PIT,Home,BOS,L,2.0,4.0,9.0,11-10,4.0,3.0,Crawford,Keller,Jansen,2:48,D,26025.0,.98,-5.0,
"Sunday, Apr 21",PIT,Home,BOS,L,1.0,6.0,9.0,11-11,4.0,4.0,Slaten,Pérez,None,2:52,D,18814.0,.92,-6.0,
"Monday, Apr 22",PIT,Home,MIL,W,4.0,2.0,9.0,12-11,4.0,3.0,Jones,Ross,Bednar,2:32,N,8461.0,1.02,1.0,
"Tuesday, Apr 23",PIT,Home,MIL,W,2.0,1.0,9.0,13-11,4.0,2.0,Falter,Myers,Bednar,2:14,N,9107.0,1.08,2.0,
"Wednesday, Apr 24",PIT,Home,MIL,L,2.0,3.0,9.0,13-12,4.0,3.0,Hudson,Fleming,Payamps,2:42,N,10370.0,1.11,-1.0,
"Thursday, Apr 25",PIT,Home,MIL,L,5.0,7.0,9.0,13-13,4.0,4.0,Koenig,Chapman,Megill,3:05,D,11570.0,1.01,-2.0,
"Friday, Apr 26",PIT,@,SFG,L-wo,0.0,3.0,9.0,13-14,4.0,5.0,Doval,Bednar,None,2:23,N,37110.0,.92,-3.0,
"Saturday, Apr 27",PIT,@,SFG,W,4.0,3.0,10.0,14-14,4.0,4.0,Stratton,Rogers,Bednar,2:46,N,34841.0,.84,1.0,
"Sunday, Apr 28",PIT,@,SFG,L,2.0,3.0,9.0,14-15,4.0,4.0,Winn,Jones,Doval,2:23,D,36380.0,.91,-1.0,
"Monday, Apr 29",PIT,@,OAK,L,1.0,5.0,9.0,14-16,4.0,4.5,Boyle,Falter,None,2:18,N,3528.0,.85,-2.0,
"Tuesday, Apr 30",PIT,@,OAK,L,2.0,5.0,9.0,14-17,5.0,5.0,Spence,Keller,Miller,2:22,N,3876.0,.81,-3.0,
"Wednesday, May 1",PIT,@,OAK,L,0.0,4.0,9.0,14-18,5.0,6.0,Stripling,Priester,None,2:21,D,4679.0,.77,-4.0,
"Friday, May 3",PIT,Home,COL,L,2.0,3.0,9.0,14-19,5.0,7.0,Quantrill,Pérez,Beeks,2:36,N,20646.0,.72,-5.0,
"Saturday, May 4",PIT,Home,COL,W-wo,1.0,0.0,9.0,15-19,5.0,6.0,Bednar,Mears,None,2:13,D,24149.0,.67,1.0,
"Sunday, May 5",PIT,Home,COL,W,5.0,3.0,9.0,16-19,4.0,5.0,Ortiz,Feltner,Bednar,2:18,D,12912.0,.69,2.0,
"Monday, May 6",PIT,Home,LAA,W,4.0,1.0,9.0,17-19,3.0,4.0,Keller,Anderson,None,1:55,N,9506.0,.78,3.0,
"Tuesday, May 7",PIT,Home,LAA,L,0.0,9.0,9.0,17-20,3.0,5.0,Sandoval,Priester,None,2:31,N,10844.0,.79,-1.0,
"Wednesday, May 8",PIT,Home,LAA,L,4.0,5.0,9.0,17-21,3.0,5.0,Cimber,Ortiz,Estévez,2:29,D,15213.0,.75,-2.0,
"Friday, May 10",PIT,Home,CHC,L,2.0,7.0,9.0,17-22,4.0,6.5,Brown,Jones,None,2:37,N,16454.0,.79,-3.0,
"Saturday, May 11",PIT,Home,CHC,W,10.0,9.0,9.0,18-22,3.0,6.5,Holderman,Thompson,Bednar,2:56,D,34924.0,.73,1.0,
