Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Wednesday, Mar 20",SDP,Home,LAD,L,2.0,5.0,9.0,0-1,5.0,1.0,Hudson,Brito,Phillips,3:05,N,15952.0,1.01,-1.0,
"Thursday, Mar 21",SDP,@,LAD,W,15.0,11.0,9.0,1-1,1.0,Tied,King,Yamamoto,Suarez,3:42,N,15928.0,.94,1.0,
"Thursday, Mar 28",SDP,Home,SFG,W,6.0,4.0,9.0,2-1,1.0,Tied,Matsui,Jackson,Suarez,2:34,D,44953.0,.98,2.0,
"Friday, Mar 29",SDP,Home,SFG,L,3.0,8.0,9.0,2-2,3.0,1.0,Harrison,Musgrove,None,2:25,N,45427.0,1.00,-1.0,
"Saturday, Mar 30",SDP,Home,SFG,L,6.0,9.0,9.0,2-3,4.0,1.0,Hicks,Cease,None,3:04,D,37104.0,1.03,-2.0,
"Sunday, Mar 31",SDP,Home,SFG,W,13.0,4.0,9.0,3-3,3.0,1.0,Avila,Jefferies,None,2:43,D,34499.0,.96,1.0,
"Monday, Apr 1",SDP,Home,STL,L,2.0,6.0,9.0,3-4,3.0,2.0,Gibson,Waldron,None,2:45,N,37566.0,.94,-1.0,
"Tuesday, Apr 2",SDP,Home,STL,L,2.0,5.0,9.0,3-5,3.0,3.0,Mikolas,Darvish,Helsley,2:23,N,43076.0,.89,-2.0,
"Wednesday, Apr 3",SDP,Home,STL,W,3.0,2.0,9.0,4-5,3.0,3.0,Musgrove,Thompson,Suarez,2:47,D,38835.0,.83,1.0,
"Friday, Apr 5",SDP,@,SFG,L-wo,2.0,3.0,9.0,4-6,3.0,3.0,Doval,De Los Santos,None,2:25,D,40645.0,.96,-1.0,
"Saturday, Apr 6",SDP,@,SFG,W,4.0,0.0,9.0,5-6,2.0,3.0,King,Winn,None,2:10,N,40114.0,.91,1.0,
"Sunday, Apr 7",SDP,@,SFG,L,2.0,3.0,9.0,5-7,2.0,3.0,Walker,Brito,Doval,2:16,D,40149.0,.98,-1.0,
"Monday, Apr 8",SDP,Home,CHC,W,9.0,8.0,9.0,6-7,2.0,3.0,Peralta,Alzolay,Suarez,2:56,N,33864.0,.89,1.0,
"Tuesday, Apr 9",SDP,Home,CHC,L,1.0,5.0,9.0,6-8,2.0,4.0,Smyly,Musgrove,None,2:51,N,35171.0,.92,-1.0,
"Wednesday, Apr 10",SDP,Home,CHC,W,10.0,2.0,9.0,7-8,2.0,3.0,Cease,Hendricks,None,2:30,D,39048.0,.86,1.0,
"Friday, Apr 12",SDP,@,LAD,W,8.0,7.0,11.0,8-8,2.0,2.0,Suarez,Vesia,None,3:14,N,49606.0,1.03,2.0,
"Saturday, Apr 13",SDP,@,LAD,L,2.0,5.0,9.0,8-9,2.0,3.0,Stone,Cosgrove,Phillips,2:36,N,44582.0,1.07,-1.0,
"Sunday, Apr 14",SDP,@,LAD,W,6.0,3.0,9.0,9-9,2.0,2.0,Matsui,Feyereisen,Suarez,2:58,D,49432.0,1.02,1.0,
"Monday, Apr 15",SDP,@,MIL,W,7.0,3.0,9.0,10-9,2.0,1.0,Musgrove,Ross,Suarez,2:53,N,18396.0,.97,2.0,
"Tuesday, Apr 16",SDP,@,MIL,W,6.0,3.0,9.0,11-9,2.0,1.0,Cease,Miley,None,2:53,N,20034.0,1.06,3.0,
"Wednesday, Apr 17",SDP,@,MIL,L,0.0,1.0,9.0,11-10,2.0,1.0,Uribe,King,Payamps,2:04,D,24521.0,1.08,-1.0,
"Friday, Apr 19",SDP,Home,TOR,L,1.0,5.0,9.0,11-11,2.0,1.0,Francis,Waldron,None,2:57,N,44890.0,1.01,-2.0,
"Saturday, Apr 20",SDP,Home,TOR,L,2.0,5.0,9.0,11-12,2.0,1.0,Berríos,Vásquez,Romano,2:36,N,43273.0,.96,-3.0,
"Sunday, Apr 21",SDP,Home,TOR,W,6.0,3.0,9.0,12-12,2.0,1.0,Musgrove,Bassitt,Suarez,2:31,D,44527.0,.84,1.0,
"Monday, Apr 22",SDP,@,COL,W,3.0,1.0,9.0,13-12,2.0,0.5,Cease,Mears,Suarez,2:15,N,18515.0,.98,2.0,
"Tuesday, Apr 23",SDP,@,COL,L,4.0,7.0,9.0,13-13,2.0,1.5,Beeks,King,Lawrence,2:42,N,18822.0,1.08,-1.0,
"Wednesday, Apr 24",SDP,@,COL,W,5.0,2.0,9.0,14-13,2.0,1.5,Waldron,Blach,Suarez,2:18,N,19356.0,.98,1.0,
"Thursday, Apr 25",SDP,@,COL,L,9.0,10.0,9.0,14-14,2.0,2.5,Kinley,Peralta,Lawrence,3:06,D,27705.0,1.01,-1.0,
"Friday, Apr 26",SDP,Home,PHI,L,3.0,9.0,9.0,14-15,2.0,3.5,Nola,Musgrove,None,2:42,N,40763.0,.97,-2.0,
"Saturday, Apr 27",SDP,Home,PHI,L,1.0,5.0,9.0,14-16,2.0,4.5,Suárez,Cease,None,2:09,N,43018.0,.90,-3.0,
