Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",SFG,@,SDP,L,4.0,6.0,9.0,0-1,4.0,1.0,Matsui,Jackson,Suarez,2:34,D,44953.0,1.01,-1.0,
"Friday, Mar 29",SFG,@,SDP,W,8.0,3.0,9.0,1-1,3.0,1.0,Harrison,Musgrove,None,2:25,N,45427.0,.97,1.0,
"Saturday, Mar 30",SFG,@,SDP,W,9.0,6.0,9.0,2-1,1.0,Tied,Hicks,Cease,None,3:04,D,37104.0,1.04,2.0,
"Sunday, Mar 31",SFG,@,SDP,L,4.0,13.0,9.0,2-2,3.0,1.0,Avila,Jefferies,None,2:43,D,34499.0,1.06,-1.0,
"Monday, Apr 1",SFG,@,LAD,L,3.0,8.0,9.0,2-3,3.0,2.0,Paxton,Winn,None,2:38,N,49044.0,1.03,-2.0,
"Tuesday, Apr 2",SFG,@,LAD,L,4.0,5.0,9.0,2-4,3.0,3.0,Yarbrough,Webb,Phillips,2:57,N,49365.0,1.00,-3.0,
"Wednesday, Apr 3",SFG,@,LAD,L,4.0,5.0,9.0,2-5,4.0,4.0,Glasnow,Harrison,Lamet,2:25,N,52746.0,.97,-4.0,
"Friday, Apr 5",SFG,Home,SDP,W-wo,3.0,2.0,9.0,3-5,3.0,3.0,Doval,De Los Santos,None,2:25,D,40645.0,.90,1.0,
"Saturday, Apr 6",SFG,Home,SDP,L,0.0,4.0,9.0,3-6,4.0,4.0,King,Winn,None,2:10,N,40114.0,.96,-1.0,
"Sunday, Apr 7",SFG,Home,SDP,W,3.0,2.0,9.0,4-6,2.0,3.0,Walker,Brito,Doval,2:16,D,40149.0,.87,1.0,
"Monday, Apr 8",SFG,Home,WSN,L,1.0,8.0,9.0,4-7,3.0,4.0,Williams,Snell,None,2:48,N,25582.0,.91,-1.0,
"Tuesday, Apr 9",SFG,Home,WSN,L,3.0,5.0,9.0,4-8,4.0,5.0,Weems,Walker,Finnegan,2:41,N,24380.0,.88,-2.0,
"Wednesday, Apr 10",SFG,Home,WSN,W,7.0,1.0,9.0,5-8,4.0,4.0,Hicks,Corbin,None,2:07,D,25558.0,.77,1.0,
"Friday, Apr 12",SFG,@,TBR,L,1.0,2.0,9.0,5-9,4.0,4.0,Cleavinger,Winn,Fairbanks,2:32,N,15146.0,.81,-1.0,
"Saturday, Apr 13",SFG,@,TBR,W,11.0,2.0,9.0,6-9,4.0,4.0,Webb,Pepiot,None,2:27,D,17411.0,.74,1.0,
"Sunday, Apr 14",SFG,@,TBR,L,4.0,9.0,9.0,6-10,4.0,4.0,Alexander,Snell,None,2:20,D,19470.0,.79,-1.0,
"Monday, Apr 15",SFG,@,MIA,W,4.0,3.0,9.0,7-10,4.0,3.0,Harrison,Soriano,Doval,2:36,N,8290.0,.76,1.0,
"Tuesday, Apr 16",SFG,@,MIA,L,3.0,6.0,9.0,7-11,4.0,4.0,Weathers,Walker,Scott,2:41,N,8076.0,.80,-1.0,
"Wednesday, Apr 17",SFG,@,MIA,W,3.0,1.0,9.0,8-11,4.0,3.0,Winn,Cronin,Doval,2:24,D,8179.0,.77,1.0,
"Thursday, Apr 18",SFG,Home,ARI,W,5.0,0.0,9.0,9-11,3.0,2.5,Webb,Allen,None,2:12,N,26896.0,.89,2.0,
"Friday, Apr 19",SFG,Home,ARI,L,1.0,17.0,9.0,9-12,4.0,2.5,Montgomery,Snell,None,3:00,N,33921.0,.93,-1.0,
"Saturday, Apr 20",SFG,Home,ARI,W,7.0,3.0,9.0,10-12,3.0,1.5,Walker,Gallen,None,2:34,D,31063.0,.94,1.0,
"Sunday, Apr 21",SFG,Home,ARI,L,3.0,5.0,9.0,10-13,4.0,2.5,Cecconi,Miller,Ginkel,2:40,D,35922.0,.98,-1.0,
"Monday, Apr 22",SFG,Home,NYM,W,5.0,2.0,9.0,11-13,3.0,2.0,Winn,Quintana,None,2:25,N,24138.0,.85,1.0,
"Tuesday, Apr 23",SFG,Home,NYM,W,5.0,1.0,9.0,12-13,3.0,2.0,Webb,Severino,Doval,2:10,N,25453.0,.89,2.0,
"Wednesday, Apr 24",SFG,Home,NYM,L,2.0,8.0,9.0,12-14,3.0,3.0,Garrett,Hjelle,None,2:50,D,30183.0,.91,-1.0,
"Friday, Apr 26",SFG,Home,PIT,W-wo,3.0,0.0,9.0,13-14,2.0,3.5,Doval,Bednar,None,2:23,N,37110.0,.89,1.0,
"Saturday, Apr 27",SFG,Home,PIT,L,3.0,4.0,10.0,13-15,2.0,4.5,Stratton,Rogers,Bednar,2:46,N,34841.0,.90,-1.0,
"Sunday, Apr 28",SFG,Home,PIT,W,3.0,2.0,9.0,14-15,2.0,3.5,Winn,Jones,Doval,2:23,D,36380.0,.85,1.0,
"Tuesday, Apr 30",SFG,@,BOS,L,0.0,4.0,9.0,14-16,2.0,4.0,Criswell,Webb,None,2:32,N,30027.0,.86,-1.0,
"Wednesday, May 1",SFG,@,BOS,L,2.0,6.0,9.0,14-17,3.0,5.0,Crawford,Jefferies,None,2:14,N,30787.0,.83,-2.0,
"Thursday, May 2",SFG,@,BOS,W,3.0,1.0,9.0,15-17,2.0,4.5,Walker,Kelly,Doval,2:21,D,30065.0,.78,1.0,
"Friday, May 3",SFG,@,PHI,L,3.0,4.0,9.0,15-18,3.0,5.5,Strahm,Hicks,Alvarado,3:00,N,40888.0,.85,-1.0,
"Saturday, May 4",SFG,@,PHI,L,3.0,14.0,9.0,15-19,3.0,6.5,Suárez,Winn,None,3:01,N,42610.0,.88,-2.0,
"Sunday, May 5",SFG,@,PHI,L,4.0,5.0,9.0,15-20,3.0,7.5,Walker,Webb,Alvarado,2:45,N,41058.0,.75,-3.0,
