Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",STL,@,LAD,L,1.0,7.0,9.0,0-1,4.0,1.0,Glasnow,Mikolas,Yarbrough,2:23,D,52667.0,.94,-1.0,
"Friday, Mar 29",STL,@,LAD,L,3.0,6.0,9.0,0-2,5.0,2.0,Miller,Thompson,Phillips,2:23,N,47524.0,.90,-2.0,
"Saturday, Mar 30",STL,@,LAD,W,6.0,5.0,10.0,1-2,4.0,2.0,Helsley,Hurt,Gallegos,3:17,N,45019.0,.85,1.0,
"Sunday, Mar 31",STL,@,LAD,L,4.0,5.0,9.0,1-3,5.0,3.0,Crismatt,King,Hudson,2:41,D,41014.0,.90,-1.0,
"Monday, Apr 1",STL,@,SDP,W,6.0,2.0,9.0,2-3,5.0,3.0,Gibson,Waldron,None,2:45,N,37566.0,.86,1.0,
"Tuesday, Apr 2",STL,@,SDP,W,5.0,2.0,9.0,3-3,5.0,2.5,Mikolas,Darvish,Helsley,2:23,N,43076.0,.90,2.0,
"Wednesday, Apr 3",STL,@,SDP,L,2.0,3.0,9.0,3-4,5.0,2.5,Musgrove,Thompson,Suarez,2:47,D,38835.0,.92,-1.0,
"Thursday, Apr 4",STL,Home,MIA,W,8.0,5.0,9.0,4-4,5.0,2.5,Gallegos,Sánchez,Helsley,2:47,D,47273.0,.91,1.0,
"Saturday, Apr 6",STL,Home,MIA,W,3.0,1.0,9.0,5-4,5.0,2.0,Matz,Rogers,Helsley,2:18,D,37328.0,.93,2.0,
"Sunday, Apr 7",STL,Home,MIA,L,3.0,10.0,9.0,5-5,5.0,3.0,Meyer,Gibson,None,2:27,D,39519.0,.94,-1.0,
"Monday, Apr 8",STL,Home,PHI,L,3.0,5.0,10.0,5-6,5.0,4.0,Hoffman,Helsley,Soto,2:50,N,32621.0,.93,-2.0,
"Tuesday, Apr 9",STL,Home,PHI,W,3.0,0.0,9.0,6-6,5.0,3.0,Gray,Wheeler,Helsley,2:39,N,31972.0,.91,1.0,
"Wednesday, Apr 10",STL,Home,PHI,L,3.0,4.0,9.0,6-7,5.0,3.5,Nola,Pallante,Hoffman,3:10,D,33104.0,.88,-1.0,
"Friday, Apr 12",STL,@,ARI,W,9.0,6.0,9.0,7-7,5.0,3.0,Gallegos,Mantiply,Helsley,2:44,N,29247.0,.92,1.0,
"Saturday, Apr 13",STL,@,ARI,L,2.0,4.0,9.0,7-8,5.0,4.0,Nelson,Gibson,Ginkel,2:22,N,33640.0,.94,-1.0,
"Sunday, Apr 14",STL,@,ARI,L,0.0,5.0,9.0,7-9,5.0,4.0,Gallen,Mikolas,None,2:29,D,26460.0,.87,-2.0,
"Monday, Apr 15",STL,@,OAK,W,3.0,1.0,9.0,8-9,5.0,3.0,Gray,Stripling,Helsley,2:19,N,5508.0,.79,1.0,
"Tuesday, Apr 16",STL,@,OAK,W,3.0,2.0,9.0,9-9,5.0,2.0,Lynn,Jiménez,Helsley,2:29,N,3296.0,.83,2.0,
"Wednesday, Apr 17",STL,@,OAK,L,3.0,6.0,9.0,9-10,5.0,3.0,Blackburn,Matz,Miller,2:30,D,9551.0,.87,-1.0,
"Friday, Apr 19",STL,Home,MIL,L,1.0,2.0,10.0,9-11,5.0,4.0,Payamps,Helsley,Milner,3:02,N,40147.0,.93,-2.0,
"Saturday, Apr 20",STL,Home,MIL,L,5.0,12.0,9.0,9-12,5.0,5.0,Wilson,Mikolas,None,3:01,D,41949.0,.87,-3.0,
"Sunday, Apr 21",STL,Home,MIL,L,0.0,2.0,9.0,9-13,5.0,6.0,Hudson,Gray,Payamps,2:34,D,40715.0,.82,-4.0,
"Monday, Apr 22",STL,Home,ARI,W-wo,5.0,3.0,9.0,10-13,5.0,5.0,Helsley,Thompson,None,2:30,N,33036.0,.76,1.0,
"Tuesday, Apr 23",STL,Home,ARI,L,1.0,14.0,9.0,10-14,5.0,5.0,Henry,Matz,Allen,2:37,N,32875.0,.76,-1.0,
"Wednesday, Apr 24",STL,Home,ARI,W,5.0,1.0,9.0,11-14,5.0,5.0,Gibson,Montgomery,None,2:21,D,36390.0,.70,1.0,
