Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",TEX,Home,CHC,W-wo,4.0,3.0,10.0,1-0,1.0,up 1.0,Robertson,Smyly,None,3:15,N,42130.0,.92,1.0,
"Saturday, Mar 30",TEX,Home,CHC,W,11.0,2.0,9.0,2-0,1.0,up 0.5,Bradford,Hendricks,None,2:32,N,37570.0,.94,2.0,
"Sunday, Mar 31",TEX,Home,CHC,L,5.0,9.0,9.0,2-1,1.0,up 0.5,Neris,Leclerc,None,3:02,D,32078.0,.98,-1.0,
"Monday, Apr 1",TEX,@,TBR,W,9.0,3.0,9.0,3-1,1.0,up 0.5,Dunning,Pepiot,None,2:34,N,14144.0,1.00,1.0,
"Tuesday, Apr 2",TEX,@,TBR,L,2.0,5.0,9.0,3-2,1.0,Tied,Eflin,Heaney,None,2:23,N,11697.0,1.03,-1.0,
"Wednesday, Apr 3",TEX,@,TBR,W,4.0,1.0,9.0,4-2,1.0,Tied,Eovaldi,Civale,None,2:26,D,18881.0,1.01,1.0,
"Friday, Apr 5",TEX,Home,HOU,W,10.0,2.0,9.0,5-2,1.0,up 1.0,Bradford,Brown,None,2:34,N,34583.0,1.10,2.0,
"Saturday, Apr 6",TEX,Home,HOU,W,7.0,2.0,9.0,6-2,1.0,up 1.0,Yates,France,Leclerc,2:58,N,39594.0,1.06,3.0,
"Sunday, Apr 7",TEX,Home,HOU,L,1.0,3.0,9.0,6-3,1.0,up 1.0,Blanco,Dunning,Hader,2:23,N,35681.0,1.13,-1.0,
"Monday, Apr 8",TEX,Home,HOU,L,5.0,10.0,9.0,6-4,1.0,Tied,Martinez,Heaney,None,2:36,N,31737.0,1.13,-2.0,
"Tuesday, Apr 9",TEX,Home,OAK,L,3.0,4.0,9.0,6-5,1.0,Tied,Kelly,Leclerc,Miller,2:23,N,18714.0,1.06,-3.0,
"Wednesday, Apr 10",TEX,Home,OAK,W,6.0,2.0,9.0,7-5,1.0,up 1.0,Bradford,Stripling,None,2:22,N,30488.0,1.04,1.0,
"Thursday, Apr 11",TEX,Home,OAK,L,0.0,1.0,9.0,7-6,1.0,up 0.5,Sears,Gray,Miller,2:18,D,19726.0,1.11,-1.0,
"Friday, Apr 12",TEX,@,HOU,W,12.0,8.0,9.0,8-6,1.0,up 0.5,Dunning,France,None,3:03,N,39842.0,1.05,1.0,
"Saturday, Apr 13",TEX,@,HOU,L,2.0,9.0,9.0,8-7,1.0,up 0.5,Abreu,Ureña,None,2:47,D,38574.0,1.06,-1.0,
"Sunday, Apr 14",TEX,@,HOU,L,5.0,8.0,9.0,8-8,1.0,up 0.5,Javier,Eovaldi,None,2:34,D,36759.0,1.04,-2.0,
"Monday, Apr 15",TEX,@,DET,W,1.0,0.0,9.0,9-8,1.0,up 0.5,Lorenzen,Olson,Yates,2:21,N,12005.0,1.02,1.0,
"Tuesday, Apr 16",TEX,@,DET,L,2.0,4.0,9.0,9-9,1.0,up 0.5,Chafin,Ureña,Foley,2:23,D,10377.0,1.00,-1.0,
"Wednesday, Apr 17",TEX,@,DET,W,5.0,4.0,9.0,10-9,1.0,up 0.5,Yates,Miller,None,2:37,D,10259.0,1.00,1.0,
"Thursday, Apr 18",TEX,@,DET,W,9.0,7.0,9.0,11-9,1.0,up 1.5,Leclerc,Miller,Yates,3:04,D,11339.0,1.04,2.0,
"Friday, Apr 19",TEX,@,ATL,L,3.0,8.0,9.0,11-10,1.0,up 1.0,Sale,Latz,None,2:30,N,40810.0,1.01,-1.0,
"Saturday, Apr 20",TEX,@,ATL,L,2.0,5.0,9.0,11-11,1.0,Tied,Morton,Eovaldi,Iglesias,2:32,N,41744.0,1.01,-2.0,
"Sunday, Apr 21",TEX,@,ATL,W,6.0,4.0,9.0,12-11,1.0,up 0.5,Lorenzen,Vines,Yates,2:28,N,36581.0,.97,1.0,
"Tuesday, Apr 23",TEX,Home,SEA,L,0.0,4.0,9.0,12-12,2.0,0.5,Gilbert,Dunning,None,2:29,N,27295.0,1.12,-1.0,
"Wednesday, Apr 24",TEX,Home,SEA,W,5.0,1.0,9.0,13-12,1.0,up 0.5,Hernández,Miller,None,2:57,N,31896.0,1.10,1.0,
"Thursday, Apr 25",TEX,Home,SEA,L,3.0,4.0,9.0,13-13,2.0,0.5,Castillo,Heaney,Muñoz,2:18,D,21782.0,1.16,-1.0,
"Friday, Apr 26",TEX,Home,CIN,W,2.0,1.0,9.0,14-13,2.0,0.5,Leclerc,Sims,Yates,2:21,N,28396.0,.96,1.0,
"Saturday, Apr 27",TEX,Home,CIN,L,4.0,8.0,9.0,14-14,2.0,1.5,Greene,Lorenzen,Díaz,2:34,D,36553.0,.96,-1.0,
"Sunday, Apr 28",TEX,Home,CIN,W,4.0,3.0,9.0,15-14,2.0,0.5,Dunning,Abbott,Yates,2:30,D,37008.0,.94,1.0,
"Tuesday, Apr 30",TEX,Home,WSN,W,7.0,1.0,9.0,16-14,2.0,1.0,Gray,Gore,None,2:19,N,27584.0,.96,2.0,
"Wednesday, May 1",TEX,Home,WSN,L,0.0,1.0,9.0,16-15,2.0,1.0,Williams,Heaney,Finnegan,2:11,N,24846.0,1.00,-1.0,
"Thursday, May 2",TEX,Home,WSN,W,6.0,0.0,9.0,17-15,2.0,0.5,Eovaldi,Parker,None,2:30,D,27529.0,.95,1.0,
"Friday, May 3",TEX,@,KCR,L,1.0,7.0,9.0,17-16,2.0,0.5,Schreiber,Winn,None,2:24,N,25690.0,1.06,-1.0,
"Saturday, May 4",TEX,@,KCR,W,15.0,4.0,9.0,18-16,2.0,0.5,Sborz,Wacha,None,2:50,N,26002.0,1.04,1.0,
"Sunday, May 5",TEX,@,KCR,W,3.0,2.0,10.0,19-16,2.0,0.5,Yates,McArthur,Robertson,2:32,D,20613.0,1.06,2.0,
"Monday, May 6",TEX,@,OAK,W,4.0,2.0,9.0,20-16,1.0,up 0.5,Leclerc,Erceg,Yates,2:26,N,2895.0,1.19,3.0,
"Tuesday, May 7",TEX,@,OAK,W,15.0,8.0,9.0,21-16,1.0,up 0.5,Ureña,Stripling,None,3:07,D,3965.0,1.19,4.0,
"Wednesday, May 8 (1)",TEX,@,OAK,L,4.0,9.0,9.0,21-17,1.0,up 1.0,Sears,Lorenzen,None,2:19,D,,1.23,-1.0,
"Wednesday, May 8 (2)",TEX,@,OAK,W,12.0,11.0,9.0,22-17,1.0,up 1.0,Robertson,Bido,Yates,3:33,D,8230.0,1.22,1.0,
"Friday, May 10",TEX,@,COL,L,2.0,4.0,9.0,22-18,1.0,up 0.5,Bird,Anderson,Beeks,2:21,N,32693.0,1.18,-1.0,
"Saturday, May 11",TEX,@,COL,L,3.0,8.0,9.0,22-19,1.0,up 0.5,Kinley,Robertson,None,2:48,N,37527.0,1.12,-2.0,
"Sunday, May 12",TEX,@,COL,L,1.0,3.0,9.0,22-20,2.0,0.5,Blach,Ureña,Beeks,2:25,D,35107.0,1.11,-3.0,
"Monday, May 13",TEX,Home,CLE,L,0.0,7.0,9.0,22-21,2.0,1.5,Gaddis,Leclerc,None,2:46,N,27100.0,1.11,-4.0,
"Tuesday, May 14",TEX,Home,CLE,L,4.0,7.0,9.0,22-22,2.0,1.5,Lively,Leiter,Clase,2:56,N,33885.0,1.06,-5.0,
"Wednesday, May 15",TEX,Home,CLE,W,4.0,0.0,9.0,23-22,2.0,1.5,Gray,Carrasco,None,2:26,N,29276.0,.98,1.0,
"Friday, May 17",TEX,Home,LAA,L,3.0,9.0,9.0,23-23,2.0,1.5,Anderson,Heaney,None,2:50,N,37922.0,1.04,-1.0,
"Saturday, May 18",TEX,Home,LAA,W-wo,3.0,2.0,13.0,24-23,2.0,1.5,Rodríguez,Fulmer,None,3:44,N,36457.0,.97,1.0,
"Sunday, May 19",TEX,Home,LAA,L,1.0,4.0,9.0,24-24,2.0,1.5,Soriano,Lorenzen,García,2:23,D,36009.0,1.01,-1.0,
"Tuesday, May 21",TEX,@,PHI,L,2.0,5.0,9.0,24-25,2.0,3.0,Suárez,Gray,Alvarado,2:36,N,41083.0,.91,-2.0,
"Wednesday, May 22",TEX,@,PHI,L,4.0,11.0,9.0,24-26,2.0,3.0,Strahm,Dunning,None,2:49,N,39595.0,.87,-3.0,
"Thursday, May 23",TEX,@,PHI,L,2.0,5.0,9.0,24-27,2.0,3.0,Wheeler,Heaney,Hoffman,2:28,D,42377.0,.82,-4.0,
"Friday, May 24",TEX,@,MIN,L,2.0,3.0,9.0,24-28,2.0,3.0,Ober,Ureña,Durán,2:35,N,21857.0,.79,-5.0,
"Saturday, May 25",TEX,@,MIN,L,3.0,5.0,9.0,24-29,2.0,3.0,Sands,Robertson,Durán,2:36,D,30957.0,.75,-6.0,
"Sunday, May 26",TEX,@,MIN,W,6.0,2.0,9.0,25-29,2.0,3.0,Latz,López,None,2:55,D,27917.0,.71,1.0,
"Tuesday, May 28",TEX,Home,ARI,W,4.0,2.0,9.0,26-29,2.0,3.5,Heaney,Pfaadt,Yates,2:11,N,37977.0,.69,2.0,
"Wednesday, May 29",TEX,Home,ARI,W,6.0,1.0,9.0,27-29,2.0,3.5,Dunning,Nelson,None,2:42,D,34023.0,.73,3.0,
"Friday, May 31",TEX,@,MIA,L,2.0,8.0,9.0,27-30,2.0,4.0,Cronin,Ureña,None,2:19,N,11687.0,.76,-1.0,
"Saturday, Jun 1",TEX,@,MIA,W,7.0,0.0,9.0,28-30,2.0,4.0,Lorenzen,Weathers,None,2:41,D,21388.0,.69,1.0,
"Sunday, Jun 2",TEX,@,MIA,W,6.0,0.0,9.0,29-30,2.0,4.0,Heaney,Rogers,None,2:24,D,13351.0,.73,2.0,
"Monday, Jun 3",TEX,Home,DET,L,1.0,2.0,9.0,29-31,2.0,4.5,Brieske,Leclerc,None,2:13,N,28620.0,.79,-1.0,
"Tuesday, Jun 4",TEX,Home,DET,L,1.0,3.0,9.0,29-32,2.0,5.5,Flaherty,Dunning,Foley,2:28,N,35095.0,.77,-2.0,
"Wednesday, Jun 5",TEX,Home,DET,W,9.0,1.0,9.0,30-32,2.0,4.5,Ureña,Wentz,None,2:43,N,29748.0,.69,1.0,
"Friday, Jun 7",TEX,Home,SFG,L,2.0,5.0,9.0,30-33,2.0,5.0,Webb,Robertson,Doval,2:37,N,35868.0,.73,-1.0,
"Saturday, Jun 8",TEX,Home,SFG,L,1.0,3.0,9.0,30-34,2.0,5.0,Miller,Heaney,Doval,2:33,D,34843.0,.67,-2.0,
"Sunday, Jun 9",TEX,Home,SFG,W,7.0,2.0,9.0,31-34,2.0,5.0,Eovaldi,Winn,None,2:16,D,34912.0,.62,1.0,
"Tuesday, Jun 11",TEX,@,LAD,L,2.0,15.0,9.0,31-35,2.0,6.5,Paxton,Dunning,None,2:40,N,51416.0,.62,-1.0,
"Wednesday, Jun 12",TEX,@,LAD,W,3.0,2.0,9.0,32-35,2.0,6.5,Latz,Buehler,Yates,2:51,N,48930.0,.58,1.0,
"Thursday, Jun 13",TEX,@,LAD,W,3.0,1.0,9.0,33-35,2.0,5.5,Lorenzen,Grove,Yates,2:31,N,50134.0,.63,2.0,
"Friday, Jun 14",TEX,@,SEA,L,2.0,3.0,9.0,33-36,2.0,6.5,Castillo,Heaney,Stanek,2:25,N,41814.0,.95,-1.0,
"Saturday, Jun 15",TEX,@,SEA,L,5.0,7.0,9.0,33-37,2.0,7.5,Kirby,Eovaldi,Stanek,2:46,D,43448.0,.81,-2.0,
"Sunday, Jun 16",TEX,@,SEA,L,0.0,5.0,9.0,33-38,2.0,8.5,Gilbert,Dunning,None,2:18,D,45584.0,.74,-3.0,
"Monday, Jun 17",TEX,Home,NYM,L,2.0,14.0,9.0,33-39,2.0,9.0,Peterson,Gray,None,2:53,N,32590.0,.50,-4.0,
"Tuesday, Jun 18",TEX,Home,NYM,L,6.0,7.0,9.0,33-40,2.0,10.0,Garrett,Yates,Díaz,2:44,N,36274.0,.41,-5.0,
"Wednesday, Jun 19",TEX,Home,NYM,W,5.0,3.0,9.0,34-40,2.0,9.0,Ureña,Smith,Yates,2:27,N,36095.0,.36,1.0,
"Friday, Jun 21",TEX,Home,KCR,W,6.0,2.0,9.0,35-40,3.0,7.5,Eovaldi,Schreiber,None,2:38,N,37678.0,.49,2.0,
"Saturday, Jun 22",TEX,Home,KCR,W,6.0,0.0,9.0,36-40,3.0,7.5,Gray,Wacha,None,2:17,D,38301.0,.56,3.0,
"Sunday, Jun 23",TEX,Home,KCR,W,4.0,0.0,9.0,37-40,3.0,6.5,Scherzer,Marsh,Ureña,2:05,D,35762.0,.59,4.0,
"Monday, Jun 24",TEX,@,MIL,L,3.0,6.0,9.0,37-41,3.0,6.5,Peguero,Latz,Megill,2:58,N,27924.0,.60,-1.0,
"Tuesday, Jun 25",TEX,@,MIL,L,1.0,3.0,9.0,37-42,3.0,6.5,Wilson,Heaney,Peguero,2:15,N,30892.0,.55,-2.0,
"Wednesday, Jun 26",TEX,@,MIL,L-wo,5.0,6.0,10.0,37-43,3.0,7.5,Koenig,Latz,None,2:43,D,36552.0,.53,-3.0,
"Thursday, Jun 27",TEX,@,BAL,L,2.0,11.0,9.0,37-44,3.0,8.0,Burnes,Gray,None,2:28,N,29479.0,.45,-4.0,
"Friday, Jun 28",TEX,@,BAL,L,1.0,2.0,9.0,37-45,3.0,9.0,Suárez,Scherzer,Kimbrel,2:29,N,27666.0,.37,-5.0,
"Saturday, Jun 29",TEX,@,BAL,L,5.0,6.0,9.0,37-46,3.0,9.0,Povich,Lorenzen,Kimbrel,2:53,N,44286.0,.30,-6.0,
"Sunday, Jun 30",TEX,@,BAL,W,11.0,2.0,9.0,38-46,3.0,8.0,Heaney,Irvin,None,2:47,N,23439.0,.34,1.0,
"Tuesday, Jul 2",TEX,Home,SDP,W,7.0,0.0,9.0,39-46,3.0,7.0,Eovaldi,Cease,None,2:20,N,33965.0,.32,2.0,
"Wednesday, Jul 3",TEX,Home,SDP,L,4.0,6.0,9.0,39-47,3.0,7.0,Morejón,Dunning,Suarez,3:07,N,37859.0,.39,-1.0,
"Thursday, Jul 4",TEX,Home,SDP,L,1.0,3.0,9.0,39-48,3.0,8.0,King,Scherzer,Suarez,2:28,D,38607.0,.31,-2.0,
"Friday, Jul 5",TEX,Home,TBR,W,3.0,0.0,9.0,40-48,3.0,8.0,Lorenzen,Baz,Yates,2:40,N,32175.0,.27,1.0,
"Saturday, Jul 6",TEX,Home,TBR,W,4.0,3.0,9.0,41-48,3.0,7.0,Hernández,Kelly,Yates,2:20,D,31560.0,.31,2.0,
"Sunday, Jul 7",TEX,Home,TBR,W,13.0,2.0,9.0,42-48,3.0,6.0,Eovaldi,Littell,None,2:27,D,32113.0,.36,3.0,
"Monday, Jul 8",TEX,@,LAA,W,9.0,4.0,9.0,43-48,3.0,5.5,Gray,Daniel,None,2:38,N,25193.0,.40,4.0,
"Tuesday, Jul 9",TEX,@,LAA,W,5.0,4.0,9.0,44-48,3.0,5.5,Leclerc,García,Yates,2:31,N,23791.0,.50,5.0,
"Wednesday, Jul 10",TEX,@,LAA,L,2.0,7.0,9.0,44-49,3.0,6.5,Crouse,Lorenzen,None,2:30,N,23230.0,.49,-1.0,
"Friday, Jul 12",TEX,@,HOU,L,3.0,6.0,9.0,44-50,3.0,7.0,Brown,Heaney,Hader,2:22,N,39666.0,.48,-2.0,
"Saturday, Jul 13",TEX,@,HOU,W,2.0,1.0,10.0,45-50,3.0,6.0,Robertson,Scott,Yates,2:51,D,42094.0,.40,1.0,
"Sunday, Jul 14",TEX,@,HOU,W,4.0,2.0,9.0,46-50,3.0,5.0,Sborz,Blanco,Yates,2:24,D,38622.0,.54,2.0,
"Friday, Jul 19",TEX,Home,BAL,,,,,,,,,,,,,,,,
"Saturday, Jul 20",TEX,Home,BAL,,,,,,,,,,,,,,,,
"Sunday, Jul 21",TEX,Home,BAL,,,,,,,,,,,,,,,,
"Monday, Jul 22",TEX,Home,CHW,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",TEX,Home,CHW,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",TEX,Home,CHW,,,,,,,,,,,,,,,,
"Thursday, Jul 25",TEX,Home,CHW,,,,,,,,,,,,,,,,
"Friday, Jul 26",TEX,@,TOR,,,,,,,,,,,,,,,,
"Saturday, Jul 27",TEX,@,TOR,,,,,,,,,,,,,,,,
"Sunday, Jul 28",TEX,@,TOR,,,,,,,,,,,,,,,,
"Monday, Jul 29",TEX,@,STL,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",TEX,@,STL,,,,,,,,,,,,,,,,
"Wednesday, Jul 31",TEX,@,STL,,,,,,,,,,,,,,,,
"Friday, Aug 2",TEX,Home,BOS,,,,,,,,,,,,,,,,
"Saturday, Aug 3",TEX,Home,BOS,,,,,,,,,,,,,,,,
"Sunday, Aug 4",TEX,Home,BOS,,,,,,,,,,,,,,,,
"Monday, Aug 5",TEX,Home,HOU,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",TEX,Home,HOU,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",TEX,Home,HOU,,,,,,,,,,,,,,,,
"Friday, Aug 9",TEX,@,NYY,,,,,,,,,,,,,,,,
"Saturday, Aug 10",TEX,@,NYY,,,,,,,,,,,,,,,,
"Sunday, Aug 11",TEX,@,NYY,,,,,,,,,,,,,,,,
"Monday, Aug 12",TEX,@,BOS,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",TEX,@,BOS,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",TEX,@,BOS,,,,,,,,,,,,,,,,
"Thursday, Aug 15",TEX,Home,MIN,,,,,,,,,,,,,,,,
"Friday, Aug 16",TEX,Home,MIN,,,,,,,,,,,,,,,,
"Saturday, Aug 17",TEX,Home,MIN,,,,,,,,,,,,,,,,
"Sunday, Aug 18",TEX,Home,MIN,,,,,,,,,,,,,,,,
"Monday, Aug 19",TEX,Home,PIT,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",TEX,Home,PIT,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",TEX,Home,PIT,,,,,,,,,,,,,,,,
"Friday, Aug 23",TEX,@,CLE,,,,,,,,,,,,,,,,
"Saturday, Aug 24",TEX,@,CLE,,,,,,,,,,,,,,,,
"Sunday, Aug 25",TEX,@,CLE,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",TEX,@,CHW,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",TEX,@,CHW,,,,,,,,,,,,,,,,
"Thursday, Aug 29",TEX,@,CHW,,,,,,,,,,,,,,,,
"Friday, Aug 30",TEX,Home,OAK,,,,,,,,,,,,,,,,
"Saturday, Aug 31",TEX,Home,OAK,,,,,,,,,,,,,,,,
"Sunday, Sep 1",TEX,Home,OAK,,,,,,,,,,,,,,,,
"Monday, Sep 2",TEX,Home,NYY,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",TEX,Home,NYY,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",TEX,Home,NYY,,,,,,,,,,,,,,,,
"Thursday, Sep 5",TEX,Home,LAA,,,,,,,,,,,,,,,,
"Friday, Sep 6",TEX,Home,LAA,,,,,,,,,,,,,,,,
"Saturday, Sep 7",TEX,Home,LAA,,,,,,,,,,,,,,,,
"Sunday, Sep 8",TEX,Home,LAA,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",TEX,@,ARI,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",TEX,@,ARI,,,,,,,,,,,,,,,,
"Thursday, Sep 12",TEX,@,SEA,,,,,,,,,,,,,,,,
"Friday, Sep 13",TEX,@,SEA,,,,,,,,,,,,,,,,
