Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",TOR,@,TBR,W,8.0,2.0,9.0,1-0,1.0,Tied,Berríos,Eflin,None,2:33,D,25025.0,.97,1.0,
"Friday, Mar 29",TOR,@,TBR,L,2.0,8.0,9.0,1-1,3.0,1.0,Civale,Bassitt,None,2:28,N,18653.0,1.07,-1.0,
"Saturday, Mar 30",TOR,@,TBR,L,1.0,5.0,9.0,1-2,4.0,2.0,Littell,Kikuchi,None,2:44,D,18905.0,.99,-2.0,
"Sunday, Mar 31",TOR,@,TBR,W,9.0,2.0,9.0,2-2,3.0,2.0,White,Armstrong,None,2:47,D,14875.0,.95,1.0,
"Monday, Apr 1",TOR,@,HOU,L,0.0,10.0,9.0,2-3,4.0,3.0,Blanco,Francis,None,2:01,N,27285.0,.96,-1.0,
"Tuesday, Apr 2",TOR,@,HOU,W,2.0,1.0,9.0,3-3,4.0,2.0,Green,Hader,None,2:28,N,28811.0,.89,1.0,
"Wednesday, Apr 3",TOR,@,HOU,L,0.0,8.0,9.0,3-4,4.0,3.0,Javier,Bassitt,None,2:45,N,26279.0,.92,-1.0,
"Friday, Apr 5",TOR,@,NYY,W,3.0,0.0,9.0,4-4,4.0,2.0,García,Ferguson,Green,2:54,D,47812.0,.92,1.0,
"Saturday, Apr 6",TOR,@,NYY,L,8.0,9.0,9.0,4-5,4.0,3.0,Weaver,Gausman,Holmes,3:20,N,42250.0,.99,-1.0,
"Sunday, Apr 7",TOR,@,NYY,L,3.0,8.0,9.0,4-6,5.0,4.0,Cousins,Francis,Santana,3:10,D,40569.0,.96,-2.0,
"Monday, Apr 8",TOR,Home,SEA,W,5.0,2.0,9.0,5-6,4.0,4.0,Berríos,Castillo,None,2:33,N,40069.0,.82,1.0,
"Tuesday, Apr 9",TOR,Home,SEA,W,5.0,3.0,9.0,6-6,4.0,4.0,Bassitt,Kirby,Green,2:53,N,31310.0,.89,2.0,
"Wednesday, Apr 10",TOR,Home,SEA,L,1.0,6.0,10.0,6-7,5.0,4.0,Muñoz,Mayza,None,2:40,D,22960.0,.90,-1.0,
"Friday, Apr 12",TOR,Home,COL,L,4.0,12.0,9.0,6-8,5.0,4.5,Feltner,Gausman,None,2:53,N,29035.0,.81,-2.0,
"Saturday, Apr 13",TOR,Home,COL,W,5.0,3.0,9.0,7-8,5.0,5.0,Francis,Hudson,García,2:32,D,31472.0,.79,1.0,
"Sunday, Apr 14",TOR,Home,COL,W,5.0,0.0,9.0,8-8,5.0,4.0,Berríos,Freeland,None,2:32,D,27481.0,.83,2.0,
"Monday, Apr 15",TOR,Home,NYY,W,3.0,1.0,9.0,9-8,3.0,3.0,Bassitt,Gil,García,2:23,N,30962.0,1.02,3.0,
"Tuesday, Apr 16",TOR,Home,NYY,W,5.0,4.0,9.0,10-8,3.0,2.0,Kikuchi,Rodón,Romano,2:56,N,31175.0,1.07,4.0,
"Wednesday, Apr 17",TOR,Home,NYY,L,4.0,6.0,9.0,10-9,3.0,3.0,González,Swanson,Holmes,3:10,D,30233.0,1.10,-1.0,
"Friday, Apr 19",TOR,@,SDP,W,5.0,1.0,9.0,11-9,3.0,3.0,Francis,Waldron,None,2:57,N,44890.0,.92,1.0,
"Saturday, Apr 20",TOR,@,SDP,W,5.0,2.0,9.0,12-9,3.0,2.0,Berríos,Vásquez,Romano,2:36,N,43273.0,.95,2.0,
"Sunday, Apr 21",TOR,@,SDP,L,3.0,6.0,9.0,12-10,4.0,3.0,Musgrove,Bassitt,Suarez,2:31,D,44527.0,.97,-1.0,
"Monday, Apr 22",TOR,@,KCR,W,5.0,3.0,9.0,13-10,3.0,2.5,Kikuchi,Singer,Romano,2:23,N,10004.0,1.01,1.0,
"Tuesday, Apr 23",TOR,@,KCR,L,2.0,3.0,9.0,13-11,3.0,3.0,Stratton,Gausman,McArthur,2:33,N,11373.0,1.01,-1.0,
"Wednesday, Apr 24",TOR,@,KCR,L,2.0,3.0,9.0,13-12,4.0,4.0,Schreiber,Rodríguez,McArthur,2:38,N,10282.0,1.02,-2.0,
"Thursday, Apr 25",TOR,@,KCR,L,1.0,2.0,5.0,13-13,4.0,4.0,Ragans,Berríos,None,1:33,D,9740.0,.97,-3.0,
"Friday, Apr 26",TOR,Home,LAD,L,2.0,12.0,9.0,13-14,4.0,4.0,Stone,Bassitt,None,2:39,N,39688.0,.88,-4.0,
"Saturday, Apr 27",TOR,Home,LAD,L,2.0,4.0,9.0,13-15,4.0,5.0,Glasnow,Kikuchi,Phillips,2:49,D,39405.0,.84,-5.0,
