Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",WSN,@,CIN,L,2.0,8.0,9.0,0-1,4.0,0.5,Montas,Gray,None,2:18,D,44030.0,.96,-1.0,
"Saturday, Mar 30",WSN,@,CIN,W,7.0,6.0,9.0,1-1,2.0,1.0,Harvey,Díaz,Finnegan,2:55,D,39674.0,.90,1.0,
"Sunday, Mar 31",WSN,@,CIN,L-wo,5.0,6.0,9.0,1-2,2.0,1.0,Sims,Finnegan,None,2:50,D,13590.0,.98,-1.0,
"Monday, Apr 1",WSN,Home,PIT,L,4.0,8.0,9.0,1-3,2.0,2.0,Contreras,Garcia,Chapman,3:11,D,40405.0,.96,-2.0,
"Wednesday, Apr 3",WSN,Home,PIT,W,5.0,3.0,9.0,2-3,2.0,1.0,Williams,Keller,Finnegan,2:30,N,14022.0,.89,1.0,
"Thursday, Apr 4",WSN,Home,PIT,L,4.0,7.0,9.0,2-4,2.0,1.5,Pérez,Gray,Bednar,2:52,D,11135.0,.95,-1.0,
"Friday, Apr 5",WSN,Home,PHI,L,0.0,4.0,9.0,2-5,3.0,2.5,Nola,Corbin,None,2:51,N,21374.0,.94,-2.0,
"Saturday, Apr 6",WSN,Home,PHI,L,2.0,5.0,9.0,2-6,3.0,3.5,Suárez,Irvin,Alvarado,2:28,D,29718.0,.88,-3.0,
"Sunday, Apr 7",WSN,Home,PHI,W,3.0,2.0,9.0,3-6,3.0,3.5,Gore,Sánchez,Finnegan,2:31,D,24765.0,.87,1.0,
"Monday, Apr 8",WSN,@,SFG,W,8.0,1.0,9.0,4-6,3.0,2.5,Williams,Snell,None,2:48,N,25582.0,.83,2.0,
"Tuesday, Apr 9",WSN,@,SFG,W,5.0,3.0,9.0,5-6,2.0,2.5,Weems,Walker,Finnegan,2:41,N,24380.0,.88,3.0,
"Wednesday, Apr 10",WSN,@,SFG,L,1.0,7.0,9.0,5-7,3.0,3.0,Hicks,Corbin,None,2:07,D,25558.0,.92,-1.0,
"Friday, Apr 12",WSN,@,OAK,L-wo,1.0,2.0,10.0,5-8,4.0,3.5,Kelly,Finnegan,None,2:36,N,5777.0,.83,-2.0,
"Saturday, Apr 13",WSN,@,OAK,W,3.0,1.0,9.0,6-8,3.0,2.5,Gore,Boyle,Finnegan,2:35,D,3330.0,.77,1.0,
"Sunday, Apr 14",WSN,@,OAK,L,6.0,7.0,9.0,6-9,4.0,3.5,Spence,Law,Miller,2:45,D,8637.0,.85,-1.0,
"Monday, Apr 15",WSN,@,LAD,W,6.0,4.0,9.0,7-9,4.0,3.5,Parker,Glasnow,Finnegan,2:36,N,42677.0,.87,1.0,
