Game Time,Home Team,Away Team,Home Wager %,Away Wager %,Home Opener Odds,Away Opener Odds
2022-03-17 17:05:00,Boston,Minnesota,N/A,N/A,-112,-106
2022-03-17 20:05:00,Chi. Cubs,Chi. White Sox,N/A,N/A,0,0
2022-03-17 20:05:00,Chi. White Sox,Chi. Cubs,N/A,N/A,0,0
2022-03-17 20:10:00,Colorado,Arizona,N/A,N/A,-118,100
2022-03-18 17:05:00,St. Louis,Houston,N/A,N/A,-126,108
2022-03-18 17:05:00,Boston,Tampa Bay,N/A,N/A,-112,-104
2022-03-18 17:05:00,Baltimore,Toronto,N/A,N/A,134,-158
2022-03-18 17:05:00,Detroit,Philadelphia,N/A,N/A,-136,116
2022-03-18 17:05:00,Atlanta,Minnesota,N/A,N/A,-136,116
2022-03-18 17:05:00,Pittsburgh,NY Yankees,N/A,N/A,134,-158
2022-03-18 20:05:00,Texas,Kansas City,N/A,N/A,-126,108
2022-03-18 20:05:00,LA Dodgers,Milwaukee,N/A,N/A,-142,120
2022-03-18 20:05:00,Cleveland,Cincinnati,N/A,N/A,-120,102
2022-03-18 20:05:00,Oakland,LA Angels,N/A,N/A,-108,-108
2022-03-18 20:10:00,San Diego,Seattle,N/A,N/A,-136,116
2022-03-18 20:10:00,Arizona,Colorado,N/A,N/A,-120,102
2022-03-18 22:05:00,Washington,Miami,N/A,N/A,-126,108
2022-03-19 02:05:00,San Francisco,Chi. Cubs,N/A,N/A,-142,120
2022-03-19 17:05:00,Pittsburgh,Detroit,N/A,N/A,-104,-112
2022-03-19 17:05:00,Minnesota,Boston,N/A,N/A,-146,124
2022-03-19 17:05:00,Philadelphia,Toronto,N/A,N/A,-124,106
2022-03-19 17:05:00,Tampa Bay,Atlanta,N/A,N/A,-130,110
2022-03-19 17:05:00,Miami,Houston,N/A,N/A,-112,-104
2022-03-19 17:05:00,Baltimore,NY Yankees,N/A,N/A,140,-166
2022-03-19 20:05:00,Chi. Cubs,San Diego,N/A,N/A,-118,100
2022-03-19 20:05:00,Chi. White Sox,Cleveland,N/A,N/A,-148,126
2022-03-19 20:05:00,Texas,Milwaukee,N/A,N/A,-104,-112
2022-03-19 20:10:00,Seattle,LA Dodgers,N/A,N/A,116,-136
2022-03-19 20:10:00,Colorado,San Francisco,N/A,N/A,106,-124
2022-03-19 20:10:00,LA Angels,Arizona,N/A,N/A,-148,126
2022-03-19 22:05:00,Washington,NY Mets,N/A,N/A,106,-124
2022-03-20 01:05:00,Cincinnati,Oakland,N/A,N/A,-136,116
2022-03-20 17:05:00,NY Yankees,Detroit,N/A,N/A,-174,146
2022-03-20 17:05:00,Minnesota,Tampa Bay,N/A,N/A,-108,-108
2022-03-20 17:05:00,Atlanta,Philadelphia,N/A,N/A,-130,110
2022-03-20 17:05:00,Houston,Washington,N/A,N/A,-146,124
2022-03-20 17:05:00,Boston,Baltimore,N/A,N/A,-205,172
2022-03-20 17:07:00,Toronto,Pittsburgh,N/A,N/A,-188,158
2022-03-20 17:10:00,NY Mets,St. Louis,N/A,N/A,-134,114
2022-03-20 20:05:00,Kansas City,Arizona,N/A,N/A,-146,124
2022-03-20 20:05:00,LA Dodgers,Chi. Cubs,N/A,N/A,-172,144
2022-03-20 20:05:00,Oakland,Cleveland,N/A,N/A,-118,100
2022-03-20 20:05:00,Cincinnati,San Francisco,N/A,N/A,-108,-108
2022-03-20 20:10:00,Seattle,LA Angels,N/A,N/A,-122,104
2022-03-20 20:10:00,Colorado,Chi. White Sox,N/A,N/A,114,-134
2022-03-20 20:10:00,Milwaukee,San Diego,N/A,N/A,-142,120
2022-03-21 17:05:00,NY Yankees,Philadelphia,N/A,N/A,-142,120
2022-03-21 17:05:00,Miami,NY Mets,N/A,N/A,-104,-112
2022-03-21 17:05:00,Boston,Atlanta,N/A,N/A,-108,-108
2022-03-21 17:05:00,Detroit,Toronto,N/A,N/A,-118,100
2022-03-21 17:05:00,Baltimore,Minnesota,N/A,N/A,106,-124
2022-03-21 17:05:00,Tampa Bay,Pittsburgh,N/A,N/A,-154,130
2022-03-21 20:05:00,Chi. Cubs,Cincinnati,N/A,N/A,-112,-104
2022-03-21 20:05:00,Cleveland,Texas,N/A,N/A,-134,114
2022-03-21 20:05:00,Chi. White Sox,LA Dodgers,N/A,N/A,-108,-108
2022-03-21 20:10:00,San Diego,Colorado,N/A,N/A,-132,112
2022-03-21 20:10:00,LA Angels,Kansas City,N/A,N/A,-118,100
2022-03-21 20:10:00,Arizona,Seattle,N/A,N/A,-108,-108
2022-03-21 22:05:00,Washington,St. Louis,N/A,N/A,-112,-104
2022-03-22 02:05:00,San Francisco,Milwaukee,N/A,N/A,-124,106
2022-03-22 17:05:00,Philadelphia,Detroit,N/A,N/A,-136,116
2022-03-22 17:05:00,Tampa Bay,Boston,N/A,N/A,-148,126
2022-03-22 17:05:00,Pittsburgh,Baltimore,N/A,N/A,-136,116
2022-03-22 17:05:00,Minnesota,Atlanta,N/A,N/A,-134,114
2022-03-22 17:05:00,St. Louis,Miami,N/A,N/A,-120,102
2022-03-22 17:07:00,Toronto,NY Yankees,N/A,N/A,-124,106
2022-03-22 20:05:00,LA Dodgers,Cincinnati,N/A,N/A,-178,150
2022-03-22 20:05:00,Kansas City,Oakland,N/A,N/A,-142,120
2022-03-22 20:05:00,Cleveland,San Diego,N/A,N/A,-130,110
2022-03-22 20:10:00,Seattle,Chi. Cubs,N/A,N/A,-134,114
2022-03-22 20:10:00,Arizona,Texas,N/A,N/A,-116,-102
2022-03-22 20:10:00,Milwaukee,Chi. White Sox,N/A,N/A,-126,108
2022-03-22 20:10:00,LA Angels,Colorado,N/A,N/A,-162,136
2022-03-22 22:10:00,NY Mets,Houston,N/A,N/A,-134,114
2022-03-23 17:05:00,Miami,Washington,N/A,N/A,-138,118
2022-03-23 17:05:00,Detroit,Pittsburgh,N/A,N/A,-144,122
2022-03-23 17:05:00,Atlanta,Tampa Bay,N/A,N/A,-124,106
2022-03-23 17:05:00,Philadelphia,Toronto,N/A,N/A,-126,108
2022-03-23 17:05:00,Boston,Minnesota,N/A,N/A,-134,114
2022-03-23 17:05:00,Houston,St. Louis,N/A,N/A,-136,116
2022-03-23 20:05:00,LA Dodgers,Cleveland,N/A,N/A,-180,152
2022-03-23 20:05:00,Chi. Cubs,Oakland,N/A,N/A,-142,120
2022-03-23 20:05:00,San Francisco,Arizona,N/A,N/A,-178,150
2022-03-23 20:05:00,Texas,Chi. White Sox,N/A,N/A,-106,-110
2022-03-23 20:10:00,Colorado,Kansas City,N/A,N/A,-108,-108
2022-03-23 20:10:00,San Diego,LA Angels,N/A,N/A,-134,114
2022-03-23 22:35:00,NY Yankees,Baltimore,N/A,N/A,-198,166
2022-03-24 01:05:00,Cincinnati,Milwaukee,N/A,N/A,-108,-108
2022-03-24 17:05:00,Minnesota,Tampa Bay,N/A,N/A,-130,110
2022-03-24 17:05:00,Pittsburgh,Philadelphia,N/A,N/A,112,-132
2022-03-24 17:05:00,Detroit,NY Yankees,N/A,N/A,112,-132
2022-03-24 20:05:00,Kansas City,Cincinnati,N/A,N/A,-126,108
2022-03-24 20:05:00,Chi. White Sox,San Francisco,N/A,N/A,-130,110
2022-03-24 20:05:00,Oakland,Texas,N/A,N/A,-126,108
2022-03-24 20:05:00,Cleveland,Seattle,N/A,N/A,-134,114
2022-03-24 20:10:00,LA Angels,Chi. Cubs,N/A,N/A,-134,114
2022-03-24 20:10:00,Milwaukee,Arizona,N/A,N/A,-194,162
2022-03-24 20:10:00,Colorado,LA Dodgers,N/A,N/A,126,-148
2022-03-24 22:05:00,Baltimore,Boston,N/A,N/A,134,-158
2022-03-24 22:05:00,Washington,Houston,N/A,N/A,102,-120
2022-03-24 22:10:00,NY Mets,Miami,N/A,N/A,-148,126
2022-03-25 17:05:00,Philadelphia,NY Yankees,N/A,N/A,-102,-116
2022-03-25 17:05:00,Tampa Bay,Baltimore,N/A,N/A,-154,132
2022-03-25 17:05:00,St. Louis,Washington,N/A,N/A,-108,-108
2022-03-25 17:05:00,Pittsburgh,Minnesota,N/A,N/A,112,-132
2022-03-25 17:05:00,Atlanta,Boston,N/A,N/A,-132,112
2022-03-25 17:07:00,Toronto,Detroit,N/A,N/A,-154,130
2022-03-25 20:05:00,Oakland,Milwaukee,N/A,N/A,-126,108
2022-03-25 20:05:00,Chi. Cubs,Colorado,N/A,N/A,-116,-102
2022-03-25 20:05:00,San Francisco,Cleveland,N/A,N/A,-126,108
2022-03-25 20:05:00,Kansas City,Texas,N/A,N/A,-120,102
2022-03-25 20:10:00,Arizona,LA Angels,N/A,N/A,-124,106
2022-03-25 22:05:00,Houston,NY Mets,N/A,N/A,-126,108
2022-03-26 01:05:00,LA Dodgers,San Diego,N/A,N/A,-148,126
2022-03-26 01:40:00,Seattle,Chi. White Sox,N/A,N/A,108,-126
2022-03-26 17:05:00,St. Louis,Miami,N/A,N/A,-136,116
2022-03-26 17:05:00,Detroit,Philadelphia,N/A,N/A,-120,102
2022-03-26 17:05:00,Boston,Tampa Bay,N/A,N/A,-126,108
2022-03-26 17:05:00,NY Yankees,Toronto,N/A,N/A,-120,102
2022-03-26 17:05:00,Atlanta,Minnesota,N/A,N/A,-142,120
2022-03-26 17:10:00,NY Mets,Washington,N/A,N/A,-176,148
2022-03-26 20:05:00,San Francisco,Cincinnati,N/A,N/A,-154,130
2022-03-26 20:05:00,Cleveland,Oakland,N/A,N/A,-142,120
2022-03-26 20:05:00,Chi. White Sox,LA Angels,N/A,N/A,-142,120
2022-03-26 20:10:00,Milwaukee,Seattle,N/A,N/A,-164,138
2022-03-26 20:10:00,San Diego,Chi. Cubs,N/A,N/A,-142,120
2022-03-26 20:10:00,Colorado,Texas,N/A,N/A,-126,108
2022-03-26 22:05:00,Baltimore,Pittsburgh,N/A,N/A,-126,108
2022-03-27 01:05:00,Kansas City,LA Dodgers,N/A,N/A,116,-136
2022-03-27 17:05:00,Tampa Bay,Atlanta,N/A,N/A,-132,112
2022-03-27 17:05:00,Miami,Houston,N/A,N/A,-116,-102
2022-03-27 17:05:00,NY Yankees,Pittsburgh,N/A,N/A,-210,176
2022-03-27 17:05:00,Minnesota,Boston,N/A,N/A,-132,112
2022-03-27 17:05:00,Baltimore,Detroit,N/A,N/A,112,-132
