teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
22,2024,LAD,30,1402,3313,3764,842,520,176,17,129,479,463,374,19,795,39,30,4,65,60,15,0.254,999,1005,535,82,15019,5600,9419,57,12,3,0.099,0.21100000000000002,0.47,0.334,0.434,0.768,0.18,0.295,0.99,0.21100000000000002,0.39299999999999996,0.396,0.08199999999999999,0.128,0.057,0.25,0.334,71.3,512,80.2,-1.7,114.0,-10.9,197.4,20.4,$163.1,4.7,118,2.57,-64.99,67.56,35.86,3.65,0.99,1.22,67,5.0,-2.39,0.503,94.0,0.218,84.7,0.079,89.5,0.071,79.9,0.091,85.8,0.035,86.9,0.004,76.5,0.005,,26.6,13.8,-5.6,6.1,27.1,1.1,0.0,0.35,0.42,-0.48,0.58,1.98,0.21,0.04,0.289,0.7090000000000001,0.467,0.644,0.853,0.778,0.424,0.615,0.10400000000000001,2.0,0.315,,0.079,0.034,0.002,0.184,0.215,0.055999999999999994,0.019,0.001,0.09,,0.004,,94.6,,90.1,86.7,83.2,93.2,84.6,79.6,81.0,51.0,85.8,,76.5,-2.4,,0.0,-5.2,2.0,-3.2,1.8,2.3,1.3,-6.3,-2.4,,-5.4,9.0,,4.6,2.2,1.5,4.4,1.2,-4.9,-4.7,8.2,3.0,,-3.0,3.8,,-4.2,-0.6,-0.6,16.4,13.3,5.1,-1.3,-0.7,27.9,,0.0,0.08,,-0.35,-0.12,-1.9,0.6,0.41,0.61,-0.46,-3.28,2.06,,0.08,0.256,0.6679999999999999,0.467,0.5870000000000001,0.848,0.778,0.513,18.7,-12.6,-0.3,1.9,23 - 37,82.2,13.8,1.1,0.39299999999999996,0.358,0.249,0.15,0.529,0.321,0.345,0.09,,0.069,0.316,0.079,0.035,0.004,,0.184,0.223,0.0,85.9,,80.0,94.6,89.6,86.6,76.7,,93.4,84.9,88.2,-2.1,,2.2,-2.3,0.1,-4.8,-5.0,,-3.0,2.3,0.0,1.7,,-6.6,8.0,3.4,0.8,-4.8,,3.2,0.0,0.0,24.5,,8.1,8.4,-7.8,2.2,0.0,,12.8,9.1,0.2,1.82,,0.78,0.18,-0.66,0.43,0.08,,0.46,0.27,3.34,0.256,0.67,0.467,0.584,0.848,0.777,0.512,18.7,1.3,104,120,95,106,110,119,100,1.06,91,107,113,98,101,102,92,101,103,89.5,15.1,237,0.09300000000000001,119.2,1066,0.41700000000000004,2556,0.159,0.263,,,,21.3
2,2024,BAL,28,1411,3317,3648,838,498,169,22,149,474,458,260,9,776,41,26,3,41,63,15,0.253,1023,1050,488,113,14015,4882,9133,54,8,2,0.071,0.213,0.34,0.313,0.452,0.764,0.199,0.285,0.97,0.191,0.39899999999999997,0.41,0.10800000000000001,0.142,0.053,0.25,0.329,56.0,483,68.3,9.0,110.5,-11.8,188.2,19.4,$155.5,5.3,116,3.93,-58.44,62.37,46.37,4.84,0.9,1.68,73,4.66,-0.32,0.475,93.9,0.214,84.3,0.086,89.3,0.08199999999999999,80.3,0.111,85.9,0.032,85.8,,,0.004,,24.8,-3.0,17.4,12.1,14.0,4.0,,0.37,-0.1,1.45,1.05,0.9,0.91,,0.32799999999999996,0.71,0.49200000000000005,0.648,0.862,0.7809999999999999,0.43,0.606,0.10800000000000001,4.3,0.336,,0.084,0.028999999999999998,,0.136,0.215,0.07400000000000001,0.013000000000000001,,0.113,,0.001,,94.1,,89.6,85.9,,93.3,84.4,79.8,83.2,,85.7,,59.0,-1.4,,0.9,-4.5,,-3.8,2.3,2.7,2.7,,-3.2,,1.8,9.4,,4.8,2.2,,4.3,1.0,-5.3,-6.2,,3.3,,3.3,19.4,,18.5,2.9,,-8.9,-8.0,12.4,0.9,,13.1,,1.1,0.41,,1.59,0.72,,-0.47,-0.27,1.2,0.47,,0.83,,9.1,0.297,0.677,0.49200000000000005,0.589,0.86,0.78,0.514,18.9,-2.8,1.2,0.9,20 - 36,72.5,8.0,2.2,0.397,0.35700000000000004,0.24600000000000002,0.151,0.51,0.33899999999999997,0.325,0.111,,0.083,0.322,0.09300000000000001,0.03,0.001,,0.139,0.221,,85.8,,80.3,94.3,89.9,85.9,58.6,,93.5,84.5,,-3.2,,3.0,-1.4,1.0,-4.2,1.5,,-3.6,2.5,,1.8,,-7.2,8.4,3.9,0.7,0.9,,3.1,-0.4,,13.4,,11.8,13.0,15.0,3.2,1.1,,-4.4,-1.7,,0.86,,1.02,0.29,1.15,0.75,9.7,,-0.23,-0.05,,0.297,0.675,0.49200000000000005,0.581,0.861,0.779,0.517,18.9,-1.5,105,88,96,101,114,127,100,0.97,96,106,124,98,101,102,93,96,110,90.0,14.8,248,0.096,114.4,1106,0.43,2571,0.158,0.265,,,,19.0
9,2024,NYY,29,1374,3269,3732,806,514,139,13,140,488,469,387,7,786,31,33,9,88,38,17,0.247,1064,948,488,95,14795,5546,9249,59,25,10,0.10400000000000001,0.21100000000000002,0.49,0.329,0.426,0.755,0.179,0.28,1.12,0.195,0.426,0.379,0.1,0.14800000000000002,0.055,0.4,0.329,57.4,494,68.9,21.4,113.0,-11.6,188.7,19.5,$155.9,3.9,116,2.96,-58.6,61.56,56.74,5.81,0.88,1.62,34,3.85,-0.49,0.45399999999999996,93.7,0.23800000000000002,84.6,0.086,89.1,0.081,79.8,0.106,85.6,0.035,86.3,,,0.003,,39.3,0.2,14.5,-0.5,-6.3,2.7,,0.58,0.01,1.14,-0.04,-0.4,0.54,,0.282,0.6579999999999999,0.442,0.647,0.862,0.7829999999999999,0.426,0.596,0.096,-11.2,0.3,,0.09,0.032,,0.15,0.237,0.076,0.006999999999999999,0.0,0.109,,,,93.8,,89.3,86.3,,93.6,84.6,79.5,81.8,45.0,85.6,,,-1.8,,0.8,-6.9,,-3.3,2.0,2.8,2.4,-2.7,-3.8,,,9.5,,4.9,2.3,,4.4,0.9,-5.7,-5.7,2.8,2.9,,,16.2,,11.5,3.2,,21.3,-3.2,0.1,0.1,0.1,-7.4,,,0.37,,0.86,0.67,,0.96,-0.09,0.01,0.1,6.51,-0.46,,,0.254,0.625,0.442,0.5870000000000001,0.86,0.7829999999999999,0.508,18.8,9.8,-5.6,-1.1,23 - 35,57.7,8.2,-2.3,0.38299999999999995,0.355,0.262,0.153,0.527,0.32,0.35200000000000004,0.111,,0.076,0.295,0.08800000000000001,0.03,,,0.153,0.247,0.0,85.7,,79.7,93.8,89.6,86.2,,,93.7,84.5,89.4,-3.8,,3.2,-1.8,1.0,-6.5,,,-3.2,2.0,0.0,1.3,,-7.6,8.4,3.9,1.0,,,3.3,-0.6,0.0,-7.5,,0.1,13.9,14.8,3.0,,,21.2,-4.6,0.0,-0.46,,0.01,0.32,1.14,0.66,,,0.94,-0.13,-0.74,0.251,0.626,0.442,0.585,0.858,0.782,0.51,18.8,6.7,103,127,95,106,107,114,98,1.0,102,98,129,94,101,108,94,99,104,89.9,12.7,260,0.10300000000000001,120.0,1050,0.415,2528,0.18100000000000002,0.27699999999999997,,,,19.5
26,2024,PHI,29,1351,3271,3677,846,556,156,16,118,477,456,334,14,804,35,29,6,59,99,22,0.259,1055,924,506,81,14139,5100,9039,85,17,4,0.091,0.21899999999999997,0.42,0.331,0.424,0.755,0.166,0.306,1.14,0.204,0.425,0.37200000000000005,0.08800000000000001,0.128,0.081,0.235,0.329,55.3,486,51.3,10.4,111.3,-11.1,181.9,18.8,$150.3,5.4,112,3.12,-60.38,63.5,31.31,3.33,0.94,1.55,55,2.22,1.11,0.473,93.7,0.252,84.2,0.067,89.3,0.076,79.9,0.098,85.3,0.03,85.4,0.003,76.4,0.005,,43.1,8.9,7.7,3.6,3.4,1.5,-0.5,0.65,0.25,0.81,0.34,0.24,0.35,-1.19,0.32299999999999995,0.693,0.478,0.606,0.8690000000000001,0.7659999999999999,0.42,0.629,0.11199999999999999,6.5,0.297,,0.071,0.027999999999999997,0.002,0.17300000000000001,0.24600000000000002,0.073,0.008,0.001,0.096,,0.003,,94.1,,89.4,85.7,80.8,92.9,84.2,79.6,81.3,43.7,85.4,,76.2,-1.0,,0.7,-5.3,-0.6,-2.2,1.6,1.8,0.8,-1.1,-0.1,,-2.1,9.2,,4.6,2.0,0.4,4.7,0.9,-4.9,-4.8,7.4,3.4,,-3.2,18.1,,5.2,1.4,-1.1,13.0,9.0,4.3,-1.6,1.7,3.9,,-0.6,0.43,,0.51,0.35,-4.54,0.53,0.26,0.42,-1.37,16.62,0.29,,-1.27,0.293,0.657,0.478,0.546,0.86,0.765,0.508,18.7,-0.7,4.7,1.3,23 - 35,57.8,13.5,-0.9,0.391,0.354,0.255,0.166,0.49700000000000005,0.337,0.342,0.096,,0.071,0.29100000000000004,0.07400000000000001,0.031,0.003,,0.17600000000000002,0.257,,85.4,,79.9,94.3,89.7,85.6,76.1,,93.1,84.4,,0.0,,2.1,-1.0,0.9,-4.9,-2.0,,-1.9,1.9,,1.9,,-7.1,8.2,3.7,0.6,-4.7,,3.4,-0.5,,1.6,,0.9,22.7,0.0,0.9,-0.6,,11.2,14.9,,0.12,,0.09,0.55,0.0,0.21,-1.27,,0.45,0.41,,0.29100000000000004,0.6559999999999999,0.478,0.541,0.86,0.765,0.513,18.7,-3.7,105,110,98,105,107,110,104,1.02,98,101,113,98,100,104,102,95,108,88.7,13.0,194,0.077,115.6,997,0.39799999999999996,2504,0.159,0.271,,,,18.2
8,2024,MIN,28,1440,3257,3641,827,505,192,15,115,466,443,279,7,757,68,30,5,77,46,18,0.254,1006,1015,500,98,13918,4978,8940,74,14,1,0.077,0.20800000000000002,0.37,0.323,0.428,0.751,0.174,0.295,0.99,0.198,0.39899999999999997,0.40299999999999997,0.09699999999999999,0.113,0.07400000000000001,0.071,0.327,48.2,474,56.2,15.5,110.2,-12.9,175.0,18.1,$144.6,4.6,113,2.6,-62.37,64.98,38.97,3.99,0.96,1.21,109,3.9,-1.18,0.444,94.2,0.23399999999999999,84.6,0.08199999999999999,89.8,0.09,80.5,0.11599999999999999,85.7,0.034,86.8,,,0.002,,23.9,6.0,1.1,4.8,9.2,0.9,,0.39,0.18,0.1,0.38,0.57,0.19,,0.32,0.695,0.47700000000000004,0.616,0.863,0.767,0.419,0.62,0.111,-2.1,0.303,,0.085,0.034,,0.136,0.233,0.07,0.024,0.0,0.11599999999999999,,,,94.4,,90.4,86.2,,93.5,84.6,79.9,82.5,52.5,85.8,,,-1.8,,0.6,-6.2,,-4.8,2.3,2.5,2.0,-1.7,-2.3,,,9.4,,4.7,2.2,,4.4,1.1,-5.0,-4.8,8.4,3.7,,,23.5,,-1.9,3.3,,-1.2,3.5,1.0,5.1,0.0,2.5,,,0.56,,-0.16,0.7,,-0.06,0.11,0.1,1.54,1.11,0.15,,,0.285,0.665,0.47700000000000004,0.5539999999999999,0.857,0.767,0.504,18.3,2.6,-3.8,3.2,23 - 38,54.2,8.0,0.9,0.419,0.345,0.237,0.166,0.516,0.318,0.316,0.11699999999999999,0.0,0.08900000000000001,0.3,0.084,0.032,,,0.13699999999999998,0.24,0.0,85.7,81.0,80.7,94.4,90.3,86.4,,,93.6,84.5,79.1,-2.1,5.3,2.8,-1.6,1.1,-5.6,,,-4.4,2.8,0.0,2.2,-9.7,-6.7,8.3,3.7,0.7,,,3.3,-0.3,0.0,0.2,0.1,-0.8,20.6,5.7,6.1,,,-1.5,5.1,-0.3,0.01,3.07,-0.07,0.49,0.49,1.36,,,-0.08,0.15,-14.83,0.284,0.6659999999999999,0.47700000000000004,0.551,0.856,0.7659999999999999,0.505,18.3,2.9,106,94,94,104,108,111,103,1.01,95,104,99,103,98,98,102,97,103,89.0,14.5,206,0.081,116.8,986,0.389,2537,0.165,0.276,,,,17.3
3,2024,BOS,29,1390,3273,3646,834,525,173,24,112,446,429,297,18,919,43,25,6,51,88,29,0.255,984,901,473,96,14310,5081,9229,73,27,6,0.081,0.252,0.32,0.323,0.425,0.748,0.17,0.318,1.09,0.201,0.41700000000000004,0.382,0.107,0.124,0.07400000000000001,0.222,0.324,41.7,468,18.3,-13.6,110.4,-11.2,114.8,11.9,$94.9,5.6,104,-0.94,-59.2,58.26,-13.44,-1.11,0.89,1.25,106,1.22,-2.27,0.478,93.5,0.225,84.3,0.084,89.5,0.086,79.9,0.09699999999999999,85.8,0.027999999999999997,86.1,0.002,77.3,0.006,,21.8,3.4,-3.9,3.0,22.4,-1.5,1.9,0.32,0.1,-0.33,0.24,1.61,-0.38,5.67,0.32,0.6829999999999999,0.475,0.609,0.84,0.7509999999999999,0.42700000000000005,0.618,0.11800000000000001,3.0,0.317,,0.084,0.031,,0.152,0.228,0.07400000000000001,0.013000000000000001,0.004,0.095,,0.002,,94.2,,90.1,85.8,,92.9,84.2,79.4,82.4,53.1,85.9,,77.4,-1.6,,0.6,-5.1,,-2.7,1.5,2.7,2.6,-5.1,-2.6,,-3.1,9.2,,5.4,1.8,,4.4,1.0,-5.0,-5.5,7.6,3.1,,-2.0,12.7,,-1.6,-3.2,,1.6,-0.4,5.8,-2.0,3.7,19.4,,2.1,0.28,,-0.13,-0.73,,0.07,-0.01,0.55,-1.06,7.06,1.43,,6.88,0.287,0.655,0.475,0.547,0.836,0.7509999999999999,0.511,18.4,-24.9,0.1,-1.4,23 - 38,21.3,8.0,0.9,0.392,0.354,0.255,0.166,0.529,0.305,0.364,0.1,,0.081,0.31,0.09300000000000001,0.027999999999999997,0.002,,0.153,0.23199999999999998,0.0,85.0,,79.9,94.4,90.3,86.0,77.2,,93.0,84.2,87.4,-2.7,,3.4,-1.7,0.8,-4.7,-2.7,,-2.5,1.6,0.0,1.7,,-7.0,8.2,4.3,0.4,-3.3,,3.2,-0.5,0.0,23.6,,6.8,13.4,-3.6,-2.9,1.8,,-0.9,-0.7,0.8,1.65,,0.59,0.3,-0.27,-0.73,5.51,,-0.04,-0.02,39.11,0.28600000000000003,0.652,0.475,0.544,0.836,0.75,0.515,18.4,-1.2,106,100,113,104,107,109,112,1.03,100,99,109,96,101,105,102,100,99,89.1,13.0,206,0.086,114.7,970,0.406,2387,0.168,0.287,,,,11.4
25,2024,NYM,30,1420,3275,3658,818,512,176,9,121,465,447,306,7,769,50,16,8,65,69,15,0.25,1050,962,495,101,14145,5000,9145,78,22,6,0.084,0.21,0.4,0.322,0.42,0.742,0.17,0.29,1.09,0.19699999999999998,0.419,0.384,0.105,0.126,0.07400000000000001,0.273,0.324,40.4,469,58.6,-5.5,110.8,-11.5,163.7,16.9,$135.3,4.6,114,3.21,-65.31,68.52,39.73,4.08,1.01,1.54,80,3.64,-0.47,0.49,93.8,0.228,84.9,0.078,88.8,0.08800000000000001,80.2,0.08199999999999999,85.5,0.031,86.6,0.003,76.5,0.003,,23.9,6.2,-8.4,3.8,19.5,-4.7,-0.2,0.35,0.19,-0.76,0.31,1.67,-1.05,-0.42,0.319,0.6859999999999999,0.479,0.612,0.875,0.7759999999999999,0.435,0.613,0.107,-2.1,0.318,,0.076,0.033,,0.166,0.23199999999999998,0.077,0.013000000000000001,0.001,0.081,,0.003,,94.2,,89.6,86.3,,93.1,84.8,79.5,83.8,43.4,85.5,,76.5,-1.6,,0.4,-3.4,,-3.7,1.8,2.5,2.0,-6.0,-0.8,,-3.2,9.3,,4.8,2.1,,4.8,1.5,-5.5,-4.0,7.6,3.0,,-2.6,20.5,,-3.2,-3.6,,-1.8,-8.7,7.0,2.0,-0.2,17.5,,-0.2,0.46,,-0.3,-0.77,,-0.08,-0.26,0.64,1.09,-1.28,1.52,,-0.42,0.287,0.654,0.479,0.54,0.87,0.775,0.522,18.8,-16.9,1.9,-1.5,22 - 38,56.4,13.4,0.1,0.402,0.361,0.237,0.162,0.524,0.314,0.327,0.083,0.0,0.087,0.317,0.081,0.027999999999999997,0.003,,0.16399999999999998,0.23600000000000002,0.0,85.7,79.0,80.4,94.3,89.9,86.3,76.5,,93.4,85.0,90.6,-0.7,5.4,2.8,-1.5,0.7,-3.2,-2.9,,-3.6,2.1,0.0,1.5,-9.1,-6.9,8.2,3.9,0.7,-3.8,,3.4,0.1,0.0,18.3,0.1,4.8,21.9,-1.9,-3.4,-0.2,,-4.7,-7.3,0.1,1.57,2.0,0.39,0.49,-0.17,-0.86,-0.42,,-0.2,-0.22,3.46,0.28600000000000003,0.655,0.479,0.546,0.866,0.775,0.523,18.8,-1.6,102,101,94,102,106,112,99,0.99,97,104,111,100,102,97,99,100,101,89.2,13.2,242,0.096,116.3,1033,0.408,2533,0.166,0.27399999999999997,,,,16.9
23,2024,MIL,28,1415,3296,3718,839,572,153,15,99,466,443,363,8,849,32,17,6,61,133,24,0.255,1127,850,459,83,14825,5470,9355,90,34,14,0.098,0.228,0.43,0.333,0.4,0.733,0.146,0.313,1.33,0.188,0.46299999999999997,0.349,0.098,0.11599999999999999,0.08,0.41200000000000003,0.323,37.3,472,34.5,19.3,112.6,-11.9,181.4,18.7,$149.9,5.7,108,-0.35,-68.77,68.43,17.35,1.98,1.05,1.5,93,-0.17,-0.16,0.49200000000000005,93.9,0.213,84.9,0.087,89.4,0.086,80.3,0.08800000000000001,85.5,0.034,86.5,,,0.003,,12.8,22.8,-3.6,-0.1,3.0,1.5,,0.18,0.72,-0.28,-0.01,0.23,0.3,,0.282,0.654,0.444,0.638,0.8590000000000001,0.78,0.434,0.608,0.098,13.2,0.322,,0.09,0.031,0.0,0.168,0.209,0.07,0.019,0.0,0.091,0.0,0.0,,94.3,,89.4,86.4,84.5,93.2,84.8,79.2,81.9,47.5,85.5,82.9,54.1,-2.1,,0.7,-4.4,4.7,-4.1,2.0,3.7,1.5,-1.1,-2.9,-5.9,-6.4,9.3,,4.7,1.7,2.4,5.0,1.2,-5.3,-4.9,5.2,3.6,-0.5,5.8,5.3,,-5.4,-0.7,0.7,0.8,19.5,6.6,-3.7,-0.1,2.9,0.0,-0.2,0.11,,-0.4,-0.14,14.32,0.03,0.63,0.64,-1.35,-3.85,0.22,1.97,-8.85,0.252,0.623,0.444,0.5710000000000001,0.858,0.779,0.518,18.5,7.5,10.4,0.3,20 - 37,47.7,13.7,-0.3,0.39399999999999996,0.364,0.243,0.16899999999999998,0.517,0.314,0.353,0.09,0.0,0.081,0.314,0.10099999999999999,0.03,0.0,0.0,0.168,0.21600000000000003,0.0,85.7,47.9,80.2,94.5,89.7,85.7,54.1,83.6,93.3,84.8,89.2,-2.7,0.3,3.7,-1.9,0.8,-3.8,-6.5,-6.0,-4.1,2.4,0.0,2.1,2.9,-7.1,8.2,3.9,0.6,2.9,-0.8,3.6,-0.3,0.0,3.2,-0.1,3.8,5.2,-4.9,1.9,-0.2,0.1,-3.4,17.9,-0.1,0.24,-3.85,0.32,0.11,-0.33,0.43,-8.85,1.97,-0.14,0.56,-2.74,0.249,0.622,0.444,0.5720000000000001,0.855,0.779,0.522,18.5,-1.6,104,118,102,106,101,96,107,0.95,107,94,103,98,103,99,104,98,101,88.7,11.0,174,0.07,118.1,960,0.38799999999999996,2474,0.184,0.282,,,,18.2
21,2024,HOU,29,1381,3302,3645,866,583,162,11,110,457,440,267,11,669,39,30,6,72,64,16,0.262,1110,990,545,81,13338,4666,8672,77,24,12,0.073,0.184,0.4,0.322,0.418,0.74,0.156,0.296,1.12,0.20600000000000002,0.42,0.374,0.08199999999999999,0.111,0.069,0.5,0.322,35.0,462,41.2,6.0,110.4,-11.1,148.8,15.4,$122.9,4.7,110,-1.84,-62.11,60.27,23.68,2.35,0.95,1.53,57,1.56,-3.49,0.479,93.8,0.231,84.7,0.068,89.6,0.085,80.0,0.102,85.1,0.034,86.7,,,0.004,,29.4,4.0,-1.4,-0.2,1.5,1.1,,0.46,0.13,-0.15,-0.01,0.11,0.24,,0.34700000000000003,0.7140000000000001,0.495,0.6559999999999999,0.8859999999999999,0.79,0.40299999999999997,0.632,0.10400000000000001,-5.6,0.314,,0.073,0.036000000000000004,,0.16,0.22899999999999998,0.07,0.017,0.0,0.10099999999999999,,,,94.0,,89.8,86.6,,93.3,84.6,79.5,81.3,59.3,85.1,,,-1.3,,0.0,-6.5,,-5.8,1.5,3.2,1.5,-6.8,-0.7,,,9.5,,5.3,1.5,,4.9,1.2,-4.8,-5.3,8.4,3.7,,,13.6,,-1.1,-1.0,,11.2,-0.8,0.7,-2.7,-0.4,-0.1,,,0.33,,-0.11,-0.2,,0.52,-0.03,0.08,-1.17,-8.6,0.0,,,0.321,0.6729999999999999,0.495,0.603,0.88,0.789,0.494,18.8,-5.1,0.4,-8.1,23 - 41,35.6,8.0,-0.5,0.414,0.35,0.23600000000000002,0.15,0.563,0.287,0.287,0.105,,0.081,0.31,0.07,0.031,,,0.162,0.24,,85.4,,80.0,94.2,90.4,86.4,,,93.6,84.8,,-0.9,,2.7,-1.1,0.1,-5.6,,,-5.5,2.0,,2.1,,-6.7,8.4,4.4,0.3,,,3.6,-0.2,,2.6,,-1.9,16.8,-7.0,-3.1,,,7.0,4.7,,0.19,,-0.18,0.41,-0.74,-0.75,,,0.32,0.15,,0.318,0.6709999999999999,0.495,0.605,0.8759999999999999,0.789,0.5,18.8,-1.0,109,90,83,104,105,99,104,1.05,100,97,97,102,100,98,92,106,93,89.0,13.8,195,0.073,116.8,1020,0.382,2670,0.153,0.257,,,,14.8
15,2024,ARI,28,1433,3279,3709,833,545,167,19,102,482,461,324,12,763,46,39,18,67,59,16,0.254,1105,931,499,115,14375,5251,9124,67,38,10,0.087,0.20600000000000002,0.42,0.326,0.41,0.736,0.156,0.298,1.19,0.19699999999999998,0.436,0.36700000000000005,0.124,0.11,0.061,0.263,0.321,32.7,467,29.9,16.0,112.3,-12.6,166.0,17.1,$137.2,5.0,107,1.61,-60.66,62.28,34.33,3.79,0.94,1.21,92,-0.59,2.3,0.494,94.2,0.222,84.7,0.062,89.9,0.077,80.7,0.105,85.6,0.033,86.6,0.006999999999999999,77.1,0.004,,42.1,-22.8,15.2,10.4,-12.9,-1.1,1.4,0.59,-0.72,1.7,0.94,-0.85,-0.24,1.49,0.299,0.6829999999999999,0.462,0.634,0.88,0.7879999999999999,0.424,0.5870000000000001,0.098,6.8,0.331,,0.068,0.03,0.001,0.163,0.214,0.059000000000000004,0.02,0.0,0.107,,0.006999999999999999,,94.4,,89.8,86.6,83.9,93.5,84.7,79.8,82.3,49.5,85.6,,77.2,-1.3,,0.6,-5.4,4.1,-2.7,1.4,1.8,0.7,-0.3,-1.2,,-4.7,9.1,,4.9,2.2,3.1,4.8,1.1,-4.8,-3.9,6.5,3.6,,-2.9,41.1,,19.8,-0.6,-0.5,-4.2,-27.9,12.2,-3.1,0.0,-14.6,,1.4,0.87,,2.02,-0.14,-3.46,-0.18,-0.91,1.43,-1.08,1.21,-0.95,,1.49,0.268,0.644,0.462,0.563,0.877,0.7879999999999999,0.514,18.6,3.4,-0.8,2.7,21 - 35,36.7,13.6,1.0,0.419,0.34299999999999997,0.23800000000000002,0.157,0.525,0.318,0.321,0.109,0.0,0.069,0.32799999999999996,0.069,0.028999999999999998,0.006999999999999999,,0.16,0.22899999999999998,0.0,85.8,79.6,80.5,94.6,90.3,86.6,77.2,,93.6,84.6,82.3,-1.3,5.4,1.9,-1.2,0.5,-4.6,-3.9,,-2.4,1.7,0.0,2.1,-8.9,-6.8,8.1,3.9,0.9,-4.6,,3.4,-0.3,0.0,-13.5,0.0,6.9,35.8,20.7,-1.1,1.4,,-1.7,-26.2,0.0,-0.86,3.46,0.7,0.76,2.09,-0.26,1.5,,-0.08,-0.79,-0.59,0.268,0.645,0.462,0.563,0.877,0.7879999999999999,0.513,18.6,-0.5,104,106,92,104,103,103,101,0.99,101,99,97,104,97,97,96,100,102,89.0,12.6,190,0.07400000000000001,117.0,998,0.387,2576,0.17,0.268,,,,16.9
