teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
13,2024,Rangers,1236,864,7593.0,2531,836,43,21,22,169,70,48,70,9,74,13,0,32,0.987,,-5,0,5,-3,41,37,1161,980,0.844,343,,,11.0,-0.1,4.6,4.3,19.8,8.2,,,24.3,,,,,,,,,,,,,1,5,-2,3.0,31,24
7,2024,Royals,1321,873,7633.0,2544,872,46,24,22,173,72,52,72,10,35,19,3,22,0.987,,2,2,3,8,35,49,1105,889,0.805,405,,,3.2,1.6,4.6,5.7,15.1,4.1,,,23.1,,,,,,,,,,,,,2,-1,-5,-1.2,21,16
23,2024,Brewers,1306,873,7725.0,2575,849,51,27,24,185,74,60,74,23,65,17,8,25,0.985,,-2,0,-2,5,23,38,1185,972,0.82,373,,,-1.8,1.1,12.4,-3.8,8.0,1.6,,,20.9,,,,,,,,,,,,,-1,4,13,-1.6,25,20
14,2024,Blue Jays,1350,873,7605.0,2535,810,56,28,27,182,70,54,70,14,76,19,4,17,0.984,,2,2,3,9,25,47,1189,957,0.805,383,,,-2.1,1.1,7.1,2.3,8.3,1.2,,,20.1,,,,,,,,,,,,,0,1,11,2.4,17,16
15,2024,Diamondbacks,1291,873,7755.0,2585,896,42,24,17,242,93,77,93,14,44,17,5,31,0.988,,1,4,-2,0,10,18,1299,1070,0.824,367,,,-4.2,1.5,4.0,13.9,15.2,0.9,,,16.6,,,,,,,,,,,,,0,2,-2,-0.5,23,19
9,2024,Yankees,1268,882,7851.0,2617,785,58,27,29,151,72,40,70,6,66,19,5,20,0.983,,-2,-5,9,3,-2,34,1200,1005,0.838,342,,,8.8,-2.4,-10.8,9.7,5.3,3.9,,,14.6,,,,,,,,,,,,,13,1,16,6.7,12,9
26,2024,Phillies,1258,864,7758.0,2586,867,56,30,26,157,72,47,72,10,63,18,6,34,0.984,,0,-6,8,0,13,9,1193,975,0.817,303,,,3.1,-3.9,-2.2,5.9,2.8,2.0,,,14.1,,,,,,,,,,,,,-6,0,-2,-3.7,12,9
8,2024,Twins,1353,864,7644.0,2548,723,45,23,22,118,46,35,46,7,60,14,2,24,0.986,,1,-2,0,4,-9,3,1102,900,0.817,322,,,-4.3,-3.7,-12.4,-2.2,-22.6,-7.6,,,12.6,,,,,,,,,,,,,2,0,11,2.9,16,11
2,2024,Orioles,1302,864,7761.0,2587,803,44,21,23,127,52,38,52,8,59,19,0,24,0.987,,1,-4,-5,1,14,24,1155,955,0.827,363,,,-2.8,0.3,2.6,13.3,13.4,1.5,,,10.4,,,,,,,,,,,,,-4,0,20,-1.5,9,8
5,2024,Guardians,1335,855,7569.0,2523,819,49,32,17,210,85,71,83,11,55,19,4,32,0.986,,-1,4,7,9,0,55,1091,902,0.827,346,,,7.3,4.4,3.2,-0.9,14.0,5.9,,,7.8,,,,,,,,,,,,,12,-1,20,6.1,3,1
21,2024,Astros,1288,864,7671.0,2557,819,41,21,19,205,83,64,83,9,74,22,1,35,0.988,,1,1,1,-4,-2,2,1180,952,0.807,344,,,-1.1,-0.5,2.4,7.8,8.6,1.6,,,7.0,,,,,,,,,,,,,-5,-3,10,-1.0,6,6
16,2024,Braves,1179,855,7578.0,2526,876,39,25,14,200,80,60,80,18,72,27,2,21,0.989,,0,-4,-1,4,16,34,1114,910,0.817,361,,,1.3,-2.2,0.1,0.8,-0.1,0.7,,,5.7,,,,,,,,,,,,,0,-1,17,0.9,1,1
